item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,14126202427153.0,13566530226970.0,11090130251092.0,9248626567434.0,9278479827420.0,8321821560382.0,7520282534087.0,6967034837757.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,711806081865.0,2070302439363.0,1365023440747.0,847857871091.0,585910587193.0,783217339870.0,822987169585.0,502270779111.0
Tiền,Cash,cash,341823833754.0,899822444310.0,444940009860.0,469261233509.0,464795726298.0,490391373838.0,576278663175.0,360402423111.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,369982248111.0,1170479995053.0,920083430887.0,378596637582.0,121114860895.0,292825966032.0,246708506410.0,141868356000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,2445276110858.0,2064880437306.0,981956468827.0,951331464704.0,1604647476453.0,1140307114085.0,657885346447.0,963626736414.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,4130442633.0,6230107978.0,6509116327.0,7269215860.0,1410012119.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,-585663043.0,-754621703.0,-1316610153.0,-2483599460.0,-22502203.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,6087471031785.0,5031730928926.0,4132251499975.0,4202309361906.0,4177668128101.0,3198080939368.0,3014848550079.0,3126214834384.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,2419637121960.0,2183060421709.0,1663264889610.0,1743926948733.0,1721316421872.0,1440262277327.0,1402608381286.0,1222578432329.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,2952891047720.0,2595626008791.0,2227719851392.0,2196408024364.0,2232893607587.0,1413268388970.0,1221607628381.0,1511920539516.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,582511875883.0,320946430834.0,309491354018.0,328677766460.0,290148805523.0,411220840966.0,457554414473.0,448116153285.0
