item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,11401411859381.0,8630482439506.0,6910759134552.0,7226742091969.0,10497488947013.0,10957164123556.0,11187671114708.0,5901242348316.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,802141351233.0,1351810461900.0,1200711815688.0,275742966899.0,689231766880.0,438747507744.0,636526058521.0,483045005565.0
Tiền,Cash,cash,547099222325.0,335408258888.0,1032846018714.0,185112139141.0,516001766880.0,285274641990.0,513894949937.0,247912110634.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,255042128908.0,1016402203012.0,167865796974.0,90630827758.0,173230000000.0,153472865754.0,122631108584.0,235132894931.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,2597389401277.0,1008047698384.0,996184918187.0,628443484003.0,660130510209.0,670110345806.0,813428434358.0,324556540247.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,379692900754.0,250324551138.0,1010346842091.0,615576040000.0,615576040000.0,615576040000.0,615576040000.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,-56089940754.0,-61897927638.0,-23757402091.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,2963668952366.0,3769489713488.0,4059839397641.0,4619145218285.0,4379715984597.0,4995625025151.0,3572279751558.0,4001479319860.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,592606122531.0,663416373513.0,485055573511.0,886397569362.0,944543542534.0,1288684432132.0,1026596905794.0,830577860480.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,454191364545.0,484826778378.0,221878941878.0,255739661779.0,657404927082.0,831935622822.0,932489082787.0,987242738910.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,902834063842.0,1242445322744.0,1931042766181.0,1842217826617.0,1269254413082.0,1353334978163.0,878820618719.0,1217623679523.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-202289122402.0,-270431891753.0,-161534245428.0,-171485215163.0,-131440408717.0,-80498529701.0,-50434786288.0,-64617329932.0
