item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,32364954148144.0,24836699016967.0,19889440906559.0,17465000719039.0,12751059518674.0,12867742344915.0,14727405324722.0,15323459276998.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,1846994307634.0,2478609465457.0,2842181486342.0,1064440156074.0,884710498842.0,1396764826755.0,800791418362.0,552833230980.0
Tiền,Cash,cash,152690591909.0,1103234242496.0,1336181486342.0,635440156074.0,410710498842.0,246931644655.0,116191418362.0,149333230980.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,1694303715725.0,1375375222961.0,1506000000000.0,429000000000.0,474000000000.0,1149833182100.0,684600000000.0,403500000000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,4437209101398.0,2188765589106.0,1768453243121.0,1778375679012.0,2400688059709.0,1980960000000.0,3241650000000.0,3907058000000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,267021030709.0,222491296959.0,248930968087.0,0.0,130000000000.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,-1037433050.0,-10347177341.0,-60723329668.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,16354424595928.0,13711781944168.0,11845187162549.0,11235427047962.0,7424568991302.0,7648321521326.0,8797679575624.0,9053952559022.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,15544745058395.0,13643860963074.0,11669914966000.0,10926639023214.0,7158963082556.0,7562109866516.0,8416090588256.0,8583155443151.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,1754775122639.0,1227315599349.0,1031585391364.0,596908711504.0,151909258810.0,150550717848.0,397567198072.0,408522628085.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,1216667065.0,488018268.0,0.0,0.0,22374832253.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,191416030160.0,178112871826.0,322341765744.0,329101846816.0,179973331904.0,167278141330.0,198529552115.0,272136385866.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-1297778028211.0,-1446741569773.0,-1257954460559.0,-1049267533572.0,-661282239087.0,-494454025912.0,-214507762819.0,-209861898080.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,7569293421681.0,4934880445316.0,2602818535216.0,2837856762717.0,1692285468779.0,1492037630688.0,1626319466015.0,1443523976605.0
Hàng tồn kho,Inventories,inventories,7649949161857.0,5089994348106.0,2663225724754.0,2908572998229.0,1720491079297.0,1522030908553.0,1626319466015.0,1443523976605.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,-80655740176.0,-155113902790.0,-60407189538.0,-70716235512.0,-28205610518.0,-29993277865.0,0.0,0.0
Tài sản lưu động khác,Other current assets,other_current_assets,2157032721503.0,1522661572920.0,830800479331.0,548901073274.0,348806500042.0,349658366146.0,260964864721.0,366091510391.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,20514142322.0,17804597382.0,13421311908.0,7735625390.0,9500954190.0,6387670315.0,3456235463.0,3715158612.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,2136518579181.0,1504841631294.0,817379167423.0,537251138572.0,332795834878.0,343270695831.0,257508629258.0,362376351779.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,0.0,15344244.0,0.0,3914309312.0,6509710974.0,0.0,0.0,0.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,2077287412836.0,2240163103081.0,1762452451166.0,1502071227628.0,1173552857857.0,1289671333968.0,1471429330005.0,1499602669344.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,0.0,515811249863.0,602893498641.0,403407794753.0,0.0,0.0,0.0,0.0
Phải thu khách hàng dài hạn,Long-term trade receivables from customers,long_term_trade_receivables_from_customers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu nội bộ dài hạn,Long-term intercompany receivables,long_term_intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu dài hạn khác,Other long-term receivables,other_long_term_receivables,0.0,461783482519.0,551283507206.0,403407794753.0,0.0,0.0,0.0,0.0
Dự phòng phải thu dài hạn,Provision for doubtful LT receivable,provision_for_doubtful_lt_receivable,-8992991435.0,-1975899091.0,0.0,0.0,0.0,0.0,0.0,0.0
Tài sản cố định,Fixed assets,fixed_assets,555139857621.0,453543138387.0,474509997337.0,560040400541.0,531147896594.0,603825141002.0,704482424910.0,743708162486.0
GTCL TSCĐ hữu hình,Tangible fixed assets,tangible_fixed_assets,456473821620.0,347088773354.0,367980114108.0,446789518824.0,420946301186.0,510821338966.0,606653633812.0,648195904621.0
Nguyên giá TSCĐ hữu hình,Cost,cost,1408649162135.0,1216927964436.0,1112210899012.0,1110734871725.0,998130665155.0,1008777580204.0,1055852299665.0,1033129306154.0
Khấu hao lũy kế TSCĐ hữu hình,Accumulated depreciation,accumulated_depreciation,-952175340515.0,-869839191082.0,-744230784904.0,-663945352901.0,-577184363969.0,-497956241238.0,-449198665853.0,-384933401533.0
GTCL tài sản thuê tài chính,Finance lease assets,finance_lease_assets,443595818.0,976202640.0,1509543046.0,2041416282.0,2574023103.0,0.0,0.0,0.0
Nguyên giá tài sản thuê tài chính,Cost,cost,2663034106.0,2663034106.0,2663034106.0,2663034106.0,2663034106.0,0.0,0.0,0.0
Khấu hao lũy kế tài sản thuê tài chính,Accumulated depreciation,accumulated_depreciation,-2219438288.0,-1686831466.0,-1153491060.0,-621617824.0,-89011003.0,0.0,0.0,0.0
GTCL tài sản cố định vô hình,Intangible fixed assets,intangible_fixed_assets,98222440183.0,105478162393.0,105020340183.0,111209465435.0,107627572305.0,93003802036.0,97828791098.0,95512257865.0
Nguyên giá TSCĐ vô hình,Cost,cost,157073526568.0,156952612568.0,146603406068.0,143308383868.0,130303137868.0,119238318503.0,118687800078.0,111780039500.0
Khấu hao lũy kế TSCĐ vô hình,Accumulated depreciation,accumulated_depreciation,-58851086385.0,-51474450175.0,-41583065885.0,-32098918433.0,-22675565563.0,-26234516467.0,-20859008980.0,-16267781635.0
Xây dựng cơ bản đang dang dở (trước 2015),Construction in progress (before 2015),construction_in_progress_before_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giá trị ròng tài sản đầu tư,Investment properties,investment_properties,302548668521.0,314645945222.0,68133087404.0,37580763475.0,40740812856.0,46847830834.0,49603357264.0,52358883694.0
Nguyên giá tài sản đầu tư,Cost,cost,344063968695.0,353110820641.0,100899635241.0,63191170137.0,64783458541.0,69677550622.0,69677550622.0,69677550622.0
Khấu hao lũy kế tài sản đầu tư,Accumulated depreciation,accumulated_depreciation,-41515300174.0,-38464875419.0,-32766547837.0,-25610406662.0,-24042645685.0,-22829719788.0,-20074193358.0,-17318666928.0
Đầu tư dài hạn,Long-term investments,long_term_investments,322250105601.0,316498781237.0,306076047583.0,311021236765.0,334844039939.0,365159081871.0,394287974564.0,350744031635.0
Đầu tư vào các công ty con,Investments in subsidiaries,investments_in_subsidiaries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Đầu tư vào các công ty liên kết,Investments in associates,investments_in_associates,2432038428.0,2453631882.0,2470570124.0,9415759306.0,33238562480.0,63553604412.0,394287974564.0,350744031635.0
Đầu tư dài hạn khác,Other long-term investments,other_long_term_investments,317680517459.0,312880517459.0,303605477459.0,301605477459.0,301605477459.0,301605477459.0,0.0,0.0
Dự phòng giảm giá đầu tư dài hạn,Provision for long-term investments,provision_for_long_term_investments,2137549714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lợi thế thương mại (trước 2015),Goodwill (before 2015),goodwill_before_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tài sản dài hạn khác,Other long-term assets,other_long_term_assets,745430788276.0,574991860415.0,191102804417.0,165093986286.0,81607631725.0,112331725711.0,161939733967.0,351785763029.0
Trả trước dài hạn,Long-term prepayments,long_term_prepayments,504668874477.0,286138081217.0,97075272039.0,97818152558.0,38175300852.0,98248717152.0,161939733967.0,348602442291.0
Thuế thu nhập hoãn lại,Deferred income tax assets,deferred_income_tax_assets,99092773799.0,150208976209.0,94027532378.0,67275833728.0,43432330873.0,14083008559.0,0.0,3183320738.0
Các tài sản dài hạn khác,Other long-term assets,other_long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TỔNG CỘNG TÀI SẢN,Total Assets,total_assets,34442241560980.0,27076862120048.0,21651893357725.0,18967071946667.0,13924612376531.0,14157413678883.0,16198834654727.0,16823061946342.0
NỢ PHẢI TRẢ,Liabilities,liabilities,25056904455426.0,18388091814259.0,13244460933549.0,10753109689422.0,5677051643717.0,5758744202842.0,7729313976168.0,8860568747448.0
Nợ ngắn hạn,Current liabilities,current_liabilities,24847828148040.0,18328090877747.0,12745683334882.0,10226584924427.0,5674507872916.0,5753169242078.0,7710283750131.0,8851372781946.0
Vay ngắn hạn,Short-term borrowings,short_term_borrowings,5062238661003.0,2633935744861.0,581932142812.0,553076670059.0,1724213630.0,0.0,0.0,0.0
Phải trả người bán,Trade accounts payable,trade_accounts_payable,8056902136672.0,7134877644503.0,5770246194439.0,5188557548080.0,3133166700253.0,3307186103090.0,4571387201404.0,5813051490169.0
