item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,14509456783696.0,13219573591341.0,9565106752268.0,13578923480222.0,9519579701251.0,6314163032937.0,5943854074804.0,5172046948960.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,1168353223865.0,1004912303570.0,1241561362115.0,2083841053069.0,2524115312966.0,2029198585342.0,2976952450033.0,1716919348616.0
Tiền,Cash,cash,324373816991.0,741876402650.0,574781435783.0,307981912328.0,567149383517.0,265139502295.0,349278804046.0,293934821687.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,843979406874.0,263035900920.0,666779926332.0,1775859140741.0,1956965929449.0,1764059083047.0,2627673645987.0,1422984526929.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,7835000000000.0,9464000000000.0,5385000000000.0,6880000000000.0,3455000000000.0,2185000000000.0,1035000000000.0,955000000000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,1389626061631.0,653185512324.0,642215358351.0,458327989385.0,488926629172.0,340731443856.0,289371734319.0,520579213356.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,1054403839965.0,276247523509.0,432251479566.0,234657477739.0,262942321240.0,223032121230.0,239163840466.0,422514452443.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,209275442658.0,227545463111.0,56288686447.0,90137615251.0,137517046753.0,58161771022.0,37348595546.0,78790739261.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,647809605735.0,532760539063.0,377802561892.0,366959646684.0,321676658968.0,292846621763.0,250709558469.0,252514839051.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-521862826727.0,-383368013359.0,-224127369554.0,-233426873759.0,-233476873759.0,-233576422659.0,-238285341239.0,-233576422659.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,3433708262496.0,1730684831761.0,1910840607214.0,3871453604350.0,2775533988246.0,1468360373620.0,1350638678171.0,1662663084855.0
Hàng tồn kho,Inventories,inventories,3433711872681.0,1731334756236.0,1942109074750.0,4010984671397.0,2778813854584.0,1494665449780.0,1370295612901.0,1665129426404.0
