item,item_en,item_id,2025,2024,2023,2022,2021
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,12222866782819.0,6860778186670.0,6563191996211.0,7767527023963.0,12445884407985.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,1212884835166.0,691648524113.0,1125181472381.0,709642327664.0,1409760105856.0
Tiền,Cash,cash,568784835166.0,568517652880.0,882133509367.0,564424378349.0,1289806005856.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,644100000000.0,123130871233.0,243047963014.0,145217949315.0,119954100000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,729274976400.0,79546000000.0,162180043357.0,224520087123.0,329850452430.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,588685480200.0,0.0,49991114316.0,1610906301.0,222815452430.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,-30000503800.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,4260806610198.0,2252910212253.0,1995722963997.0,2332529988643.0,3529916610729.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,1366349359764.0,1291432915796.0,1884000396600.0,1651053396469.0,2980223731054.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,450902015042.0,657081917022.0,92912221753.0,536960654004.0,128299511312.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,97508861969.0,109772374121.0,102230270270.0,357669879026.0,352719716172.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-168510475891.0,-176976994686.0,-233419924626.0,-223153940856.0,-221326347809.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,5605177807566.0,3680150401796.0,3074354439211.0,4360430182967.0,6780379220031.0
Hàng tồn kho,Inventories,inventories,5623616091751.0,3747167515698.0,3113503718437.0,4388737840768.0,6793267795420.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,-18438284185.0,-67017113902.0,-39149279226.0,-28307657801.0,-12888575389.0
Tài sản lưu động khác,Other current assets,other_current_assets,414722553489.0,156523048508.0,205753077265.0,140404437566.0,395978018939.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,32309453139.0,24815192830.0,16805304329.0,18162722306.0,31671627042.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,377135306957.0,119900696777.0,171297335744.0,106240169152.0,358869839206.0
