item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,39414126385838.0,22828907651783.0,20299049443139.0,19800289125653.0,29803333350042.0,13071023654906.0,8382111242069.0,8104003384888.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,8659541542782.0,4074201905889.0,3312661845659.0,3156250619707.0,4906107815875.0,1559239675695.0,920972296193.0,923667098002.0
Tiền,Cash,cash,3300072421287.0,2033549142307.0,2303490142826.0,1928295436172.0,3447691649096.0,1128453803746.0,731401196193.0,674299498002.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,5359469121495.0,2040652763582.0,1009171702833.0,1227955183535.0,1458416166779.0,430785871949.0,189571100000.0,249367600000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,9967194691272.0,5042691984219.0,4123368893945.0,2520704273989.0,7373702346881.0,1751266439506.0,1196264408377.0,1863955085242.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,7425638789063.0,4547632976936.0,3385232291770.0,2171365550185.0,7053593032908.0,1617326377863.0,1017991730244.0,1437174593265.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,-137184567815.0,-23975524800.0,-31239176854.0,-2525400000.0,-17500698920.0,0.0,-30250802698.0,-13797519588.0
Các khoản phải thu,Accounts receivable,accounts_receivable,4996929157208.0,4037190024768.0,3464393904174.0,4184462443098.0,5067886998302.0,6261469977933.0,3464510748372.0,3084065645499.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,2494564240752.0,2335783771095.0,2705919886143.0,2745412846750.0,3856064637120.0,4104680173122.0,2056273114168.0,2028883831172.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,1296315799500.0,1211916380704.0,562251214294.0,1147704122949.0,758150098602.0,383029852070.0,161005018624.0,177678908481.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,1212984853411.0,865367477127.0,725498326330.0,836624433161.0,974897495986.0,1991111903728.0,1460109974353.0,1093621431766.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-556885736455.0,-490952604158.0,-533775522593.0,-560078959762.0,-536673990153.0,-231351950987.0,-216877358773.0,-220272475139.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,14454964441243.0,8684599751876.0,8323628312640.0,9110749017578.0,11533262402556.0,3236252994646.0,2678936559794.0,2111126553972.0
Hàng tồn kho,Inventories,inventories,14701100664449.0,8879344974669.0,8588299316606.0,9281313978372.0,11665393002869.0,3256609685558.0,2699673994298.0,2132225476583.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,-246136223206.0,-194745222793.0,-264671003966.0,-170564960794.0,-132130600313.0,-20356690912.0,-20737434504.0,-21098922611.0
Tài sản lưu động khác,Other current assets,other_current_assets,1335496553333.0,990223985031.0,1074996486721.0,828122771281.0,922373786428.0,262794567126.0,121427229333.0,121189002173.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,79095047659.0,69011887537.0,73782935104.0,87192524594.0,136244196844.0,38803822867.0,27688124392.0,22061300137.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,1225058506312.0,873267399664.0,905106094185.0,698795564929.0,758621288317.0,199001623077.0,86274270059.0,89059897616.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,31342999362.0,47944697830.0,96107457432.0,42134681758.0,27508301267.0,24989121182.0,7464834882.0,10067804420.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,34178464517829.0,30953410567039.0,34777826201312.0,32584545398482.0,31386013641604.0,14081069004802.0,12879804385981.0,9142484787442.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,2246261866399.0,1409059267857.0,799021803106.0,335175420670.0,304375286415.0,30465035284.0,2857639695.0,21248160790.0
Phải thu khách hàng dài hạn,Long-term trade receivables from customers,long_term_trade_receivables_from_customers,9387653743.0,10411001970.0,7167539911.0,0.0,0.0,0.0,0.0,6740871000.0
Phải thu nội bộ dài hạn,Long-term intercompany receivables,long_term_intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu dài hạn khác,Other long-term receivables,other_long_term_receivables,1319346398931.0,293575779640.0,270337241860.0,320175420670.0,304375286415.0,30465035284.0,2857639695.0,14507289790.0
Dự phòng phải thu dài hạn,Provision for doubtful LT receivable,provision_for_doubtful_lt_receivable,-81062826923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
