item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,71586038389.0,75744139662.0,70141006770.0,69657733819.0,62643773446.0,60158797269.0,62838644975.0,103037713642.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,1378607061.0,874168132.0,3131206668.0,1578470816.0,3248948997.0,5361739014.0,7890385353.0,24731458405.0
Tiền,Cash,cash,1378607061.0,874168132.0,3131206668.0,1578470816.0,3248948997.0,361739014.0,1390385353.0,6731458405.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,0.0,0.0,0.0,0.0,0.0,5000000000.0,6500000000.0,18000000000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,43000000000.0,52000000000.0,45000000000.0,48000000000.0,37000000000.0,38000000000.0,30000000000.0,40659027778.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,1798642600.0,1593483549.0,1451784000.0,1160547945.0,374162900.0,432670440.0,2645797094.0,9641877350.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,50520000.0,49599690.0,34284000.0,0.0,0.0,84869540.0,722267671.0,8642877350.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,192922600.0,110000000.0,90000000.0,83000000.0,162900.0,50162900.0,639000000.0,181000000.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,1555200000.0,1433883859.0,1327500000.0,1077547945.0,374000000.0,297638000.0,1284529423.0,818000000.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,25408788728.0,21276487981.0,20334093683.0,18918715058.0,22020661549.0,16327502222.0,22302462528.0,27468025232.0
Hàng tồn kho,Inventories,inventories,25408788728.0,21276487981.0,20334093683.0,18918715058.0,22020661549.0,16327502222.0,22302462528.0,27468025232.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,223922419.0,0.0,0.0,36885593.0,0.0,537324877.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432000000.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,0.0,0.0,223922419.0,0.0,0.0,36885593.0,0.0,105324877.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,26781584523.0,19365200815.0,23437311522.0,24844860753.0,27194217195.0,32759130465.0,38993542628.0,41761794190.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khách hàng dài hạn,Long-term trade receivables from customers,long_term_trade_receivables_from_customers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu nội bộ dài hạn,Long-term intercompany receivables,long_term_intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu dài hạn khác,Other long-term receivables,other_long_term_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng phải thu dài hạn,Provision for doubtful LT receivable,provision_for_doubtful_lt_receivable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tài sản cố định,Fixed assets,fixed_assets,16369299932.0,14927674630.0,17796658802.0,19365429329.0,22872097896.0,29144116200.0,34638349549.0,33454431986.0
GTCL TSCĐ hữu hình,Tangible fixed assets,tangible_fixed_assets,15196806081.0,13755180779.0,16624164951.0,18027909820.0,21520237307.0,27777914531.0,33257806800.0,32059548157.0
Nguyên giá TSCĐ hữu hình,Cost,cost,307532885395.0,302550042195.0,300156807013.0,296425043195.0,296032660139.0,294888129468.0,292352934468.0,282373942923.0
