item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,35469228554.0,31907874016.0,30813738736.0,29508866117.0,28724731423.0,28592615925.0,26111241315.0,25887923768.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,3982073486.0,2806569072.0,1105140315.0,5805294881.0,8777940124.0,9891098373.0,5476160071.0,3680164591.0
Tiền,Cash,cash,982073486.0,2806569072.0,1105140315.0,1805294881.0,1277940124.0,1891098373.0,3476160071.0,2680164591.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,3000000000.0,0.0,0.0,4000000000.0,7500000000.0,8000000000.0,2000000000.0,1000000000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,20670000000.0,19340000000.0,15300000000.0,3500000000.0,2000000000.0,0.0,0.0,0.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,10320875406.0,9572828769.0,13717001230.0,18966973985.0,16333907689.0,17413089908.0,17852552942.0,21400158954.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,9410965212.0,9032612387.0,11842437228.0,15101564437.0,13810403414.0,14014957401.0,16404967891.0,18535534140.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,1388220567.0,317828825.0,918661545.0,841947469.0,2688676771.0,2925666290.0,1394130095.0,2748120580.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,944061339.0,784189594.0,1377358978.0,3446698600.0,288064025.0,808202738.0,401290427.0,494839005.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-1422371712.0,-561802037.0,-421456521.0,-423236521.0,-453236521.0,-335736521.0,-347835471.0,-378334771.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,56341470.0,63465162.0,469737372.0,913058860.0,1040000781.0,980173070.0,2539444619.0,567178102.0
Hàng tồn kho,Inventories,inventories,56341470.0,63465162.0,469737372.0,913058860.0,1040000781.0,980173070.0,2539444619.0,567178102.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tài sản lưu động khác,Other current assets,other_current_assets,439938192.0,125011013.0,221859819.0,323538391.0,572882829.0,308254574.0,243083683.0,240422121.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,49596792.0,125011013.0,161281283.0,323538391.0,272620029.0,211129588.0,243083683.0,240422121.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,390341400.0,0.0,60578536.0,0.0,300262800.0,97124986.0,0.0,0.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,7431021198.0,9990144012.0,12524142180.0,15000685130.0,15315861445.0,16591773219.0,20287438331.0,21978158827.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,501000000.0,500500000.0
