item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,290362540324.0,253399925872.0,266163357899.0,306593924342.0,166564810500.0,127341833122.0,172301241831.0,148863022124.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,70602055090.0,80145704798.0,63843947170.0,3527662176.0,5743999298.0,8402797697.0,6601698711.0,11280523209.0
Tiền,Cash,cash,30602055090.0,30645704798.0,18843947170.0,3527662176.0,5743999298.0,8402797697.0,6601698711.0,1280523209.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,40000000000.0,49500000000.0,45000000000.0,0.0,0.0,0.0,0.0,10000000000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,85104610752.0,60684193127.0,0.0,0.0,1000000.0,0.0,24000000000.0,15000000000.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,93384623216.0,61226670390.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,-8280012464.0,-542477263.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,132671003215.0,106921255819.0,184229144506.0,249391512590.0,148095192420.0,100273181246.0,128469417639.0,96787204735.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,0.0,23901471875.0,107941053673.0,163658506365.0,134498692420.0,82039721826.0,99201938235.0,92731626829.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,35000000.0,8119861600.0,21121662600.0,9200731013.0,4566500000.0,17583459420.0,19238308390.0,3455509474.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,132636003215.0,2409922344.0,2116428233.0,19332275212.0,30000000.0,650000000.0,29171014.0,600068432.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,0.0,3498566964.0,15494457442.0,50820074804.0,11915391896.0,17992697764.0,12621416235.0,25583556964.0
Hàng tồn kho,Inventories,inventories,0.0,3498566964.0,15494457442.0,50820074804.0,11915391896.0,17992697764.0,12621416235.0,25583556964.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tài sản lưu động khác,Other current assets,other_current_assets,1984871267.0,2150205164.0,2595808781.0,2854674772.0,809226886.0,673156415.0,608709246.0,211737216.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,79904166.0,36719484.0,100312167.0,112295122.0,47085838.0,0.0,18084854.0,6129547.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,1904605889.0,2113485680.0,2495496614.0,2742379650.0,762141048.0,673156415.0,590624392.0,205607669.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,361212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
