item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,569958363195.0,339141803117.0,140319183484.0,48654098492.0,31726120049.0,77861705928.0,111275304697.0,119681257726.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,2173193237.0,1877918437.0,45390607914.0,38142736788.0,19958216031.0,70664029094.0,101441405576.0,16008126709.0
Tiền,Cash,cash,2173193237.0,1877918437.0,5185048668.0,3934600108.0,19958216031.0,11259388094.0,14857550122.0,16008126709.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,0.0,0.0,40205559246.0,34208136680.0,0.0,59404641000.0,86583855454.0,0.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,520207799454.0,309451676166.0,80000000000.0,0.0,0.0,0.0,0.0,85041288631.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,47482484632.0,26012059927.0,14858435038.0,10412012746.0,9411265550.0,6942327749.0,9581301624.0,17966868706.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,38581061218.0,20197586763.0,14394237320.0,8535915293.0,7350355270.0,4437006269.0,4414416269.0,4997427269.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,1247843860.0,2315881859.0,1132976410.0,857459391.0,1251076837.0,639402684.0,2792094690.0,11478911429.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,9076815823.0,4921827574.0,754457577.0,1018638062.0,1554261604.0,2610346957.0,3119218826.0,2234958169.0
Dự phòng nợ khó đòi,Provision for doubtful debts,provision_for_doubtful_debts,-1423236269.0,-1423236269.0,-1423236269.0,0.0,-744428161.0,-744428161.0,-744428161.0,-744428161.0
"Hàng tồn kho, ròng","Inventories, Net",inventories_net,94885872.0,1800148587.0,70140532.0,99348958.0,2356638468.0,255349085.0,252597497.0,664973680.0
Hàng tồn kho,Inventories,inventories,94885872.0,1800148587.0,70140532.0,99348958.0,2356638468.0,255349085.0,252597497.0,664973680.0
Dự phòng giảm giá hàng tồn kho,Provision for decline in inventories,provision_for_decline_in_inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,1062433493304.0,1168214102579.0,1252317087871.0,1461232677666.0,1524311576452.0,1580526462198.0,1643883720886.0,1629066799078.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,0.0,0.0,0.0,9570048.0,9570048.0,11484057.0,13398066.0,15312075.0
Phải thu khách hàng dài hạn,Long-term trade receivables from customers,long_term_trade_receivables_from_customers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu nội bộ dài hạn,Long-term intercompany receivables,long_term_intercompany_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu dài hạn khác,Other long-term receivables,other_long_term_receivables,0.0,0.0,0.0,9570048.0,9570048.0,11484057.0,0.0,15312075.0
Dự phòng phải thu dài hạn,Provision for doubtful LT receivable,provision_for_doubtful_lt_receivable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tài sản cố định,Fixed assets,fixed_assets,989497055008.0,1085445045410.0,1175905150008.0,1273623581729.0,1364467044728.0,1430978985106.0,1486742077846.0,1412788023336.0
GTCL TSCĐ hữu hình,Tangible fixed assets,tangible_fixed_assets,989497055008.0,1085445045410.0,1175905150008.0,1273623581729.0,1364467044728.0,1430978985106.0,1486742077846.0,1412751480508.0
Nguyên giá TSCĐ hữu hình,Cost,cost,2577933432649.0,2568431962883.0,2556209978281.0,2556794978281.0,2557351867923.0,2556488879893.0,2530350329398.0,2379822956871.0
Khấu hao lũy kế TSCĐ hữu hình,Accumulated depreciation,accumulated_depreciation,-1588436377641.0,-1482986917473.0,-1380304828273.0,-1283171396552.0,-1192884823195.0,-1125509894787.0,-1043608251552.0,-967071476363.0
GTCL tài sản thuê tài chính,Finance lease assets,finance_lease_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nguyên giá tài sản thuê tài chính,Cost,cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khấu hao lũy kế tài sản thuê tài chính,Accumulated depreciation,accumulated_depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTCL tài sản cố định vô hình,Intangible fixed assets,intangible_fixed_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36542828.0
Nguyên giá TSCĐ vô hình,Cost,cost,915724800.0,915724800.0,915724800.0,915724800.0,915724800.0,915724800.0,915724800.0,915724800.0
Khấu hao lũy kế TSCĐ vô hình,Accumulated depreciation,accumulated_depreciation,-915724800.0,-915724800.0,-915724800.0,-915724800.0,-915724800.0,-915724800.0,-915724800.0,-879181972.0
