item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,498621651007.0,464186251921.0,411871183400.0,536831515880.0,585931386815.0,454895244097.0,362640226981.0,335125002766.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-255376854.0,-219545.0,0.0,0.0,-1201476500.0,-3001962593.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,498366274153.0,464186032376.0,411871183400.0,536831515880.0,584729910315.0,451893281504.0,362640226981.0,335125002766.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-414950398601.0,-391629224268.0,-333785749261.0,-444183172889.0,-513812453494.0,-374428155037.0,-290002414499.0,-293907503012.0
Lợi nhuận gộp,Gross Profit,gross_profit,83415875552.0,72556808108.0,78085434139.0,92648342991.0,70917456821.0,77465126467.0,72637812482.0,41217499754.0
Doanh thu hoạt động tài chính,Financial income,financial_income,8669314121.0,13619361653.0,15644059633.0,25763513797.0,24048377143.0,15578652444.0,6387768757.0,4868374727.0
Chi phí tài chính,Financial expenses,financial_expenses,-6468865736.0,-2605309655.0,-4193778271.0,-9577554881.0,-4498613330.0,-2122323373.0,-391938628.0,-180569451.0
Chi phí lãi vay,Interest expenses,interest_expenses,-2567273481.0,-1641730429.0,-3795023476.0,-9152006170.0,-3912112848.0,-2048595373.0,-371894045.0,0.0
Chi phí bán hàng,Selling expenses,selling_expenses,-28015962372.0,-28068189049.0,-27187986035.0,-21251368034.0,-17410517988.0,-14569654997.0,-12150158989.0,-10174442798.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-27521474140.0,-27336484088.0,-31049471776.0,-24599244248.0,-20969249968.0,-23777259570.0,-14280442829.0,-9660857674.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,30035059398.0,28309552990.0,31329763574.0,61171364881.0,51923691803.0,52535956208.0,52201994599.0,26068758313.0
Thu nhập khác,Other incomes,other_incomes,1514242434.0,957860169.0,241416382.0,6697535459.0,1288507839.0,1085083094.0,21659386.0,8512431.0
Chi phí khác,Other expenses,other_expenses,-2497276082.0,-2003227822.0,-1350633983.0,-2346821122.0,-2635523918.0,-1001149752.0,-962147640.0,-591932748.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-983033648.0,-1045367653.0,-1109217601.0,4350714337.0,-1347016079.0,83933342.0,-940488254.0,-583420317.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,29052025750.0,27264185337.0,30220545973.0,65522079218.0,50576675724.0,52619889550.0,51261506345.0,25485337996.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-6610293660.0,-6278393926.0,-7855123006.0,-12302451711.0,-11441615156.0,-12181659842.0,-9730839225.0,-5378397091.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,-446710340.0,44576673.0,-122977645.0,-536955482.0,-469279118.0,-920481795.0,-858964114.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-7057004000.0,-6233817253.0,-7978100651.0,-12839407193.0,-11910894274.0,-13102141637.0,-10589803339.0,-5378397091.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,21995021750.0,21030368084.0,22242445322.0,52682672025.0,38665781450.0,39517747913.0,40671703006.0,20106940905.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,3202504134.0,3237123222.0,2163189678.0,3726374996.0,1695111814.0,-428234542.0,1253039217.0,10785371.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,18792517616.0,17793244862.0,20079255644.0,48956297029.0,36970669636.0,39945982455.0,39418663789.0,20096155534.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,879.0,832.0,939.0,2458.0,1993.0,2219.0,5610.0,4344.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,879.0,832.0,939.0,2458.0,1993.0,0.0,0.0,4344.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,-43828027.0,143366021.0,31505884.0,-1812324744.0,-163760875.0,-38584763.0,-1046194.0,-1246245.0
