item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,1800823867893.0,1404814766800.0,757555679262.0,584576669626.0,499573159315.0,408298507650.0,368667110815.0,351299085239.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-1025907005.0,-48586421.0,-1156166818.0,-37484678.0,-1263479100.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,1799797960888.0,1404766180379.0,756399512444.0,584539184948.0,498309680215.0,408298507650.0,368667110815.0,351299085239.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-1349972173482.0,-1060377347500.0,-601541860648.0,-418290792322.0,-385120404896.0,-342197243151.0,-312501712214.0,-293914548415.0
Lợi nhuận gộp,Gross Profit,gross_profit,449825787406.0,344388832879.0,154857651796.0,166248392626.0,113189275319.0,66101264499.0,56165398601.0,57384536824.0
Doanh thu hoạt động tài chính,Financial income,financial_income,31579413523.0,19140303154.0,12150124411.0,9781922223.0,4143353277.0,2688168023.0,2318039759.0,1651659529.0
Chi phí tài chính,Financial expenses,financial_expenses,-73156588400.0,-54536837275.0,-41270900083.0,-12050444473.0,-9426265548.0,-10515765647.0,-9906928233.0,-11896147887.0
Chi phí lãi vay,Interest expenses,interest_expenses,-54378620769.0,-39461062264.0,-30552226137.0,-5958937498.0,-7630389357.0,-93756700284.0,-9345316291.0,-9593020262.0
Chi phí bán hàng,Selling expenses,selling_expenses,-139338301239.0,-126444927645.0,-64271657885.0,-70372337826.0,-64346866986.0,-27228019534.0,-22935734774.0,-26034946597.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-125195638449.0,-95546754420.0,-59736615793.0,-54524508343.0,-32250481746.0,-19413781385.0,-19745924899.0,-19604996416.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,143714672841.0,87000616693.0,1728602446.0,39083024207.0,11309014316.0,11631865956.0,5894850454.0,1500105453.0
Thu nhập khác,Other incomes,other_incomes,6264886844.0,874945067.0,10275757805.0,562112.0,1043100206.0,956265481.0,213699338.0,73551563.0
Chi phí khác,Other expenses,other_expenses,-580527511.0,-271632392.0,-313316254.0,-99518407.0,-105202775.0,-151617986.0,-235694617.0,-251423204.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,5684359333.0,603312675.0,9962441551.0,-98956295.0,937897431.0,804647495.0,-21995279.0,-177871641.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,149399032174.0,87603929368.0,11691043997.0,38984067912.0,12246911747.0,12436513451.0,5872855175.0,1322233812.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-18021928162.0,-14398366802.0,-3595896116.0,-6136347390.0,-2620990756.0,-219500251.0,0.0,0.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,-2132679094.0,488003601.0,1965353360.0,2359603787.0,0.0,0.0,0.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-20154607256.0,-13910363201.0,-1630542756.0,-3776743603.0,-2620990756.0,-219500251.0,0.0,0.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,129244424918.0,73693566167.0,10060501241.0,35207324309.0,9625920991.0,12217013200.0,5872855175.0,1322233812.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,5356120270.0,552495585.0,-3563546473.0,0.0,0.0,0.0,0.0,0.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,123888304648.0,73141070582.0,13624047714.0,35207324309.0,9625920991.0,12217013200.0,5872855175.0,1322233812.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,5875.0,3975.0,1412.0,4401.0,1521.0,2036.0,979.0,220.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,4401.0,1521.0,2036.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
