item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,266995747745.0,209580465103.0,210997766321.0,782603716800.0,1168012481708.0,490035760636.0,451600095067.0,828459163403.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-2777778.0,0.0,-17812053373.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,266992969967.0,209580465103.0,193185712948.0,782603716800.0,1168012481708.0,490035760636.0,451600095067.0,828459163403.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-151771710090.0,-133987687133.0,-136612796058.0,-573442545335.0,-758816001731.0,-333139297158.0,-341330729941.0,-675719344869.0
Lợi nhuận gộp,Gross Profit,gross_profit,115221259877.0,75592777970.0,56572916890.0,209161171465.0,409196479977.0,156896463478.0,110269365126.0,152739818534.0
Doanh thu hoạt động tài chính,Financial income,financial_income,24430772422.0,25073635297.0,49206287821.0,114360629989.0,22384628348.0,28025974485.0,21753137944.0,8064444571.0
Chi phí tài chính,Financial expenses,financial_expenses,-52377597348.0,-58058128399.0,-80986752598.0,-59414654337.0,-32379886616.0,-19822032236.0,-11430780958.0,-30333921137.0
Chi phí lãi vay,Interest expenses,interest_expenses,-50060182319.0,-51744930032.0,-58299638978.0,-56606086385.0,-34878655425.0,-20044337317.0,-10266617324.0,-1840930096.0
Chi phí bán hàng,Selling expenses,selling_expenses,-27652390692.0,-24837556967.0,-23750196692.0,-54672153268.0,-65886470804.0,-27835708390.0,-18731482912.0,-36179953483.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-34938250862.0,-32494227304.0,-42436567312.0,-56817374590.0,-67012796933.0,-70934668348.0,-59698829898.0,-29389786640.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,13910489199.0,-17048507764.0,-40906446873.0,152470410244.0,265861031793.0,65295030635.0,40505631756.0,64761674599.0
Thu nhập khác,Other incomes,other_incomes,2796851412.0,4773891186.0,4998682365.0,12731376270.0,11526614749.0,17870420639.0,5602143754.0,1253399878.0
Chi phí khác,Other expenses,other_expenses,-3480974848.0,-3028809286.0,-9847728272.0,-27725281864.0,-6383604604.0,-3155811894.0,-5529233465.0,-4093098064.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-684123436.0,1745081900.0,-4849045907.0,-14993905594.0,5143010145.0,14714608745.0,72910289.0,-2839698186.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,13226365763.0,-15303425864.0,-45755492780.0,137476504650.0,271004041938.0,80009639380.0,40578542045.0,61921976413.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-4532790137.0,-1307464654.0,-7533511178.0,-25175620757.0,-64239387007.0,-23110083627.0,-16396760683.0,-27135447442.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,-1203270320.0,-5546719117.0,-526183968.0,8981122420.0,-5237115863.0,-5479868384.0,0.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-5736060457.0,-6854183771.0,-8059695146.0,-16194498337.0,-69476502870.0,-28589952011.0,-16396760683.0,-27135447442.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,7490305306.0,-22157609635.0,-53815187926.0,121282006313.0,201527539068.0,51419687369.0,24181781362.0,34786528971.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,-1185329937.0,118129333.0,2023265870.0,150664364.0,56059910.0,6775275.0,3767214.0,2682992.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,8675635243.0,-22275738968.0,-55838453796.0,121131341949.0,201471479158.0,51412912094.0,24178014148.0,34783845979.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,103.0,-265.0,-664.0,1441.0,5669.0,1452.0,683.0,983.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,103.0,-265.0,-664.0,1441.0,5669.0,1452.0,683.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,-10773304198.0,-2325008361.0,487865018.0,-147209015.0,-440922179.0,-1034998354.0,-1655777546.0,-138927246.0
