item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,3869646602915.0,3625325908207.0,3196185460631.0,4288419129197.0,4330090558349.0,4299593774132.0,3826942370854.0,3680581488336.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-173405357408.0,-137347437769.0,-114820088162.0,-70101772312.0,-39308637.0,-760564293.0,-929497718.0,-2075051711.0
Doanh thu thuần,Net sales,net_sales,3696241245507.0,3487978470438.0,3081365372469.0,4218317356885.0,4330051249712.0,4298833209839.0,3826012873136.0,3678506436625.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-3334890081800.0,-3187606110821.0,-2972422202204.0,-3782193396599.0,-3842440710588.0,-3760158437764.0,-3270748346828.0,-3225232810219.0
Lợi nhuận gộp,Gross Profit,gross_profit,361351163707.0,300372359617.0,108943170265.0,436123960286.0,487610539124.0,538674772075.0,555264526308.0,453273626406.0
Doanh thu hoạt động tài chính,Financial income,financial_income,3219814321.0,2846609856.0,86117735.0,48317393.0,622005815.0,37870496.0,604316783.0,834668329.0
Chi phí tài chính,Financial expenses,financial_expenses,-32500277508.0,-36561516074.0,-49299710134.0,-36349528017.0,-44670687881.0,-76362824479.0,-111099842584.0,-90026528381.0
Chi phí lãi vay,Interest expenses,interest_expenses,-32161574791.0,-36067665018.0,-49286879311.0,-36349528017.0,-44529126461.0,-76362824479.0,-111072794175.0,-89885577984.0
Chi phí bán hàng,Selling expenses,selling_expenses,-182955445622.0,-176687291464.0,-148083124011.0,-167783519068.0,-161444544657.0,-142061562954.0,-126788308062.0,-124929203288.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-122702221809.0,-116502422715.0,-124874241528.0,-148297592156.0,-142570970290.0,-146080472736.0,-142505662802.0,-119993026420.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,26413033089.0,-26532260780.0,-213227787673.0,83741638438.0,139546342111.0,174207782402.0,175475029643.0,119159536646.0
Thu nhập khác,Other incomes,other_incomes,13627063767.0,19123743717.0,2016714269.0,7978490619.0,8626679722.0,12556869267.0,8123240159.0,11524324227.0
Chi phí khác,Other expenses,other_expenses,-14562280456.0,-724686815.0,-22320290110.0,-4669218586.0,-37079347083.0,-21497038438.0,-20565716104.0,-18321548334.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-935216689.0,18399056902.0,-20303575841.0,3309272033.0,-28452667361.0,-8940169171.0,-12442475945.0,-6797224107.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,25477816400.0,-8133203878.0,-233531363514.0,87050910471.0,111093674750.0,165267613231.0,163032553698.0,112362312539.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,0.0,-222222.0,-5115854.0,-23916184930.0,-33099501220.0,-20328028743.0,-39834242870.0,-24007854110.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,0.0,-222222.0,-5115854.0,-23916184930.0,-33099501220.0,-20328028743.0,-39834242870.0,-24007854110.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,25477816400.0,-8133426100.0,-233536479368.0,63134725541.0,77994173530.0,144939584488.0,123198310828.0,88354458429.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,-4699882777.0,-1911688499.0,-6052403711.0,-6193541539.0,-6359509004.0,-6801034267.0,-7305183362.0,-5276789716.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,30177699177.0,-6221737601.0,-227484075657.0,69328267080.0,84353682534.0,151740618755.0,130503494190.0,93631248145.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,245.0,-50.0,-1846.0,563.0,685.0,1231.0,1186.0,851.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,1231.0,1186.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
