item,item_en,item_id,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,4731106990023.0,4112374748419.0,4595934767679.0,2618253996316.0,1855006595313.0,1575879320250.0,1114094273491.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-359249435156.0,-100215858113.0,-64741593534.0,-28795402541.0,-61675185.0,0.0,-773279397.0
Doanh thu thuần,Net sales,net_sales,4371857554867.0,4012158890306.0,4531193174145.0,2589458593775.0,1854944920128.0,1575879320250.0,1113320994094.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-3221807627309.0,-2812461806552.0,-3189332351111.0,-1650466787299.0,-1434689298404.0,-1296835969473.0,-881947146239.0
Lợi nhuận gộp,Gross Profit,gross_profit,1150049927558.0,1199697083754.0,1341860823034.0,938991806476.0,420255621724.0,279043350777.0,231373847855.0
Doanh thu hoạt động tài chính,Financial income,financial_income,1940178605326.0,2087198400598.0,2548093885636.0,2346063057042.0,854305930333.0,327474585666.0,208628320184.0
Chi phí tài chính,Financial expenses,financial_expenses,-1618072691615.0,-2396172246990.0,-2401761378741.0,-1483743470592.0,-554636710060.0,-185468325232.0,-224878059174.0
Chi phí lãi vay,Interest expenses,interest_expenses,-1103932471443.0,-1582466411424.0,-1434853960245.0,-1012043165222.0,-302906288145.0,-176139970926.0,-169643124063.0
Chi phí bán hàng,Selling expenses,selling_expenses,-157457875939.0,-192306085574.0,-215786591177.0,-98413395312.0,-110384533662.0,-71375466552.0,-64443731118.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-490536305261.0,-449868785732.0,-483455987491.0,-369133623849.0,-222506858853.0,-176125224111.0,-105831576188.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,882347082040.0,213345034852.0,789001333727.0,1277354799204.0,334643441878.0,189529366493.0,41041028277.0
Thu nhập khác,Other incomes,other_incomes,166714715753.0,69983442479.0,44714922024.0,11749421741.0,12260760294.0,8998123436.0,4373293319.0
Chi phí khác,Other expenses,other_expenses,-49709470851.0,-31963493068.0,-21191509543.0,-23145374511.0,-13655214226.0,-6193039189.0,-9812196871.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,117005244902.0,38019949411.0,23523412481.0,-11395952770.0,-1394453932.0,2805084247.0,-5438903552.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,999352326942.0,251364984263.0,812524746208.0,1265958846434.0,333248987946.0,192334450740.0,35602124725.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-183450942016.0,-98728402369.0,-216053166535.0,-252025403877.0,-88019998348.0,-52169972981.0,-24633303947.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,28896575955.0,18440753399.0,-29674775486.0,-13590810341.0,21190190979.0,357350482.0,357350482.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-154554366061.0,-80287648970.0,-245727942021.0,-265616214218.0,-66829807369.0,-51812622499.0,-24275953465.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,844797960881.0,171077335293.0,566796804187.0,1000342632216.0,266419180577.0,140521828241.0,11326171260.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,440784502164.0,112094205438.0,196023260684.0,391412431081.0,55092277565.0,26104008628.0,27167063975.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,404013458717.0,58983129855.0,370773543503.0,608930201135.0,211326903012.0,114417819613.0,-15840892715.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,0.0,111.0,758.0,2678.0,1803.0,1059.0,-147.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,111.0,758.0,2678.0,1803.0,1059.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,58185421971.0,-35203331204.0,50582466.0,-56409574561.0,-52390007604.0,15980445945.0,-3807773282.0
