item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,8652300796352.0,8301777944671.0,7900964462916.0,8528862181184.0,7053412626997.0,7514370576606.0,9405060375402.0,9177750422618.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-127697482353.0,-83365816073.0,-146611563753.0,-127093121527.0,-102873441914.0,-61778467162.0,-69855327665.0,-77483501140.0
Doanh thu thuần,Net sales,net_sales,8524603313999.0,8218412128598.0,7754352899163.0,8401769059657.0,6950539185083.0,7452592109444.0,9335205047737.0,9100266921478.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-6105390956904.0,-6026881693823.0,-5839789214571.0,-6085486647149.0,-5254288802691.0,-5473064507898.0,-6878041273589.0,-6852693937959.0
Lợi nhuận gộp,Gross Profit,gross_profit,2419212357095.0,2191530434775.0,1914563684592.0,2316282412508.0,1696250382392.0,1979527601546.0,2457163774148.0,2247572983519.0
Doanh thu hoạt động tài chính,Financial income,financial_income,217708763492.0,177669945778.0,231854633312.0,146230280823.0,123606055150.0,120704137745.0,149852893194.0,140195459685.0
Chi phí tài chính,Financial expenses,financial_expenses,-6397659263.0,-5758925009.0,-6521334125.0,-10833882164.0,-14600423894.0,-24321027003.0,-31271567333.0,-46399001195.0
Chi phí lãi vay,Interest expenses,interest_expenses,-1591462963.0,-2919404255.0,-5738294772.0,-8740649818.0,-13076139187.0,-22728804045.0,-31081416735.0,-45719291702.0
Chi phí bán hàng,Selling expenses,selling_expenses,-1464421874500.0,-1377780938100.0,-1201367368741.0,-1289350725768.0,-989045745823.0,-1074390462145.0,-1439147245507.0,-1344299492651.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-599641277658.0,-513365466604.0,-507108723263.0,-554221803654.0,-441868306679.0,-515589422823.0,-503117694787.0,-429927258420.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,583384379499.0,488759121443.0,443845891414.0,615372133475.0,385091154963.0,485109488927.0,650533558054.0,611305342787.0
Thu nhập khác,Other incomes,other_incomes,38839887207.0,29677221640.0,26065207122.0,27125886491.0,35458956787.0,299215281908.0,37039751181.0,45372687071.0
Chi phí khác,Other expenses,other_expenses,-9735928229.0,-11594776199.0,-5575184674.0,-6673706224.0,-8981495881.0,-17077447662.0,-18049888534.0,-30225552447.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,29103958978.0,18082445441.0,20490022448.0,20452180267.0,26477460906.0,282137834246.0,18989862647.0,15147134624.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,612488338477.0,506841566884.0,464335913862.0,635824313742.0,411568615869.0,767247323173.0,669523420701.0,626452477411.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-114892369075.0,-117963752521.0,-107509729264.0,-131832944993.0,-87306106949.0,-110304477699.0,-147050256095.0,-166067839686.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,-4924091823.0,2262199087.0,-2141349438.0,2204313179.0,-89689035.0,3645894662.0,654710287.0,23948090759.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-119816460898.0,-115701553434.0,-109651078702.0,-129628631814.0,-87395795984.0,-106658583037.0,-146395545808.0,-142119748927.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,492671877579.0,391140013450.0,354684835160.0,506195681928.0,324172819885.0,660588740136.0,523127874893.0,484332728484.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,24155117372.0,20433413492.0,18558887414.0,41485956546.0,19720573269.0,4240552322.0,-17011566703.0,-14661427834.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,468516760207.0,370706599958.0,336125947746.0,464709725382.0,304452246616.0,656348187814.0,540139441596.0,498994156318.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,2021.0,1599.0,1426.0,1819.0,1299.0,2793.0,2281.0,2059.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,2021.0,1599.0,1426.0,1819.0,1299.0,2793.0,2281.0,2059.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,16924070333.0,16464070603.0,12424999639.0,7265851730.0,10749193817.0,-821338393.0,17053398339.0,44162651849.0
