item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,1960473581950.0,1740538474234.0,1448469697669.0,1022926667811.0,1010932811342.0,604302725845.0,253888398134.0,169864715154.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-18969099426.0,-14476875988.0,-15862831877.0,-7982490646.0,-9557417327.0,-7441879911.0,-1933499733.0,-1322190307.0
Doanh thu thuần,Net sales,net_sales,1941504482524.0,1726061598246.0,1432606865792.0,1014944177165.0,1001375394015.0,596860845934.0,251954898401.0,168542524847.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-1700620533505.0,-1541863196853.0,-1269690772321.0,-851507833741.0,-846878309462.0,-512125889576.0,-202859232095.0,-120752962830.0
Lợi nhuận gộp,Gross Profit,gross_profit,240883949019.0,184198401393.0,162916093471.0,163436343424.0,154497084553.0,84734956358.0,49095666306.0,47789562017.0
Doanh thu hoạt động tài chính,Financial income,financial_income,7641667886.0,8243435292.0,3703986685.0,1610990382.0,2800087134.0,321193115.0,40046277.0,46740287.0
Chi phí tài chính,Financial expenses,financial_expenses,-66848277146.0,-41394698582.0,-35099847238.0,-17759970531.0,-8659777603.0,-3214350349.0,-2779834559.0,-2147133667.0
Chi phí lãi vay,Interest expenses,interest_expenses,-65582044635.0,-38254618355.0,-33562518427.0,-17759970531.0,-8423725153.0,-3196177030.0,-2691361971.0,-2147133667.0
Chi phí bán hàng,Selling expenses,selling_expenses,-64623719593.0,-50434702841.0,-43926801998.0,-35318111909.0,-44615063501.0,-22422864998.0,-21109540995.0,-11874851750.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-32703841577.0,-29024692406.0,-24548278112.0,-22814450977.0,-20831394735.0,-18936635440.0,-10127504464.0,-12722379005.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,77498136034.0,71587742856.0,63045152808.0,89154800389.0,83190935848.0,40482298686.0,15118832565.0,21091937882.0
Thu nhập khác,Other incomes,other_incomes,736059129.0,2190137161.0,9761112.0,18437104.0,80708886.0,161734363.0,4817529.0,3556894.0
Chi phí khác,Other expenses,other_expenses,-10765287491.0,-4153962335.0,-5340096129.0,-2263605490.0,-707138492.0,-445881319.0,-317748785.0,-410457635.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-10029228362.0,-1963825174.0,-5330335017.0,-2245168386.0,-626429606.0,-284146956.0,-312931256.0,-406900741.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,67468907672.0,69623917682.0,57714817791.0,86909632003.0,82564506242.0,40198151730.0,14805901309.0,20685037141.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-18371325505.0,-15528721140.0,-13912290570.0,-15520512747.0,-20464937115.0,-7794789831.0,-3096024382.0,-3668817503.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,-25112035.0,255864466.0,554167273.0,-2322672814.0,3751932796.0,-36588038.0,-70998242.0,-518576173.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-18396437540.0,-15272856674.0,-13358123297.0,-17843185561.0,-16713004319.0,-7831377869.0,-3167022624.0,-4187393676.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,49072470132.0,54351061008.0,44356694494.0,69066446442.0,65851501923.0,32366773861.0,11638878685.0,16497643465.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,436062950.0,1163402905.0,565751167.0,1394121200.0,2678347369.0,527695422.0,4128361.0,429802221.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,48636407182.0,53187658103.0,43790943327.0,67672325242.0,63173154554.0,31839078439.0,11634750324.0,16067841244.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,1556.0,2033.0,1752.0,3185.0,6631.0,4046.0,1455.0,2008.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,3043.0,4349.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,-6851642555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
