item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,141582149107302.0,123027063879559.0,147423365943576.0,167126456807653.0,101114077419627.0,57959112673412.0,102823756014297.0,111952255448491.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,-2744021629.0,-34042161497.0,0.0,-3369000.0,-1868215.0
Doanh thu thuần,Net sales,net_sales,141582149107302.0,123027063879559.0,147423365943576.0,167123712786024.0,101080035258130.0,57959112673412.0,102823752645297.0,111952253580276.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-135468230531406.0,-122535994149733.0,-137663837918959.0,-151027307397420.0,-93381313715080.0,-60183939693526.0,-98850991293829.0,-106914028086136.0
Lợi nhuận gộp,Gross Profit,gross_profit,6113918575896.0,491069729826.0,9759528024617.0,16096405388604.0,7698721543050.0,-2224827020114.0,3972761351468.0,5038225494140.0
Doanh thu hoạt động tài chính,Financial income,financial_income,1917349826881.0,2230357606975.0,2652368561043.0,1750275299515.0,1014896787839.0,666178306758.0,536775450247.0,630199085799.0
Chi phí tài chính,Financial expenses,financial_expenses,-481124098984.0,-799915742468.0,-1154774797936.0,-923195487108.0,-619255475339.0,-497659186225.0,-416118869286.0,-808675321657.0
Chi phí lãi vay,Interest expenses,interest_expenses,-273642324293.0,-260793426455.0,-287654759616.0,-252789589546.0,-406811371357.0,-325082824759.0,-359859613027.0,-456017813481.0
Chi phí bán hàng,Selling expenses,selling_expenses,-824373238880.0,-652066552695.0,-1032111954829.0,-908980731417.0,-781029744856.0,-551873123765.0,-714115014949.0,-749974515892.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-751408854458.0,-561376142119.0,-623486470367.0,-514762438322.0,-406693387067.0,-269294376639.0,-389424547940.0,-338526426301.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,5974362210455.0,708068899519.0,9601523362528.0,15499742031272.0,6906639723627.0,-2877475399985.0,2989878369540.0,3771248316089.0
Thu nhập khác,Other incomes,other_incomes,42185855089.0,30070365467.0,40237225748.0,87017979405.0,35032613512.0,25771539027.0,68881593622.0,52574666840.0
Chi phí khác,Other expenses,other_expenses,-11846029264.0,-2140454368.0,-2425566035.0,-951863559.0,-995701929.0,-723577572.0,-4365721492.0,-37546600457.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,30339825825.0,27929911099.0,37811659713.0,86066115846.0,34036911583.0,25047961455.0,64515872130.0,15028066383.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,6004702036280.0,735998810618.0,9639335022241.0,15585808147118.0,6940676635210.0,-2852427438530.0,3054394241670.0,3786276382472.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-787749739943.0,-135164781790.0,-1036943196170.0,-890394134163.0,-302761744904.0,-2001392078.0,-177270179729.0,-224446425228.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,0.0,-9742441373.0,-9812854060.0,-26077223876.0,45624962070.0,-3698671766.0,-4126651594.0,-4934674747.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-787749739943.0,-144907223163.0,-1046756050230.0,-916471358039.0,-257136782834.0,-5700063844.0,-181396831323.0,-229381099975.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,5216952296337.0,591091587455.0,8592578972011.0,14669336789079.0,6683539852376.0,-2858127502374.0,2872997410347.0,3556895282497.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,3340233114.0,-40039161849.0,-57192511342.0,-56497063914.0,-31964461282.0,-39285986934.0,-40822853071.0,-49030448886.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,5213612063223.0,631130749304.0,8649771483353.0,14725833852993.0,6715504313658.0,-2818841515440.0,2913820263418.0,3605925731383.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,1040.0,203.0,2789.0,4750.0,2073.0,-909.0,898.0,0.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
