item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,268743904331.0,276517719628.0,232433439105.0,162761152465.0,103253019965.0,167191281546.0,318919863802.0,353861505091.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-37712964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,268706191367.0,276517719628.0,232433439105.0,162761152465.0,103253019965.0,167191281546.0,318919863802.0,353861505091.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-128874973269.0,-144930823865.0,-115409005800.0,-79392770756.0,-61384364891.0,-101352185246.0,-186630853951.0,-226356488523.0
Lợi nhuận gộp,Gross Profit,gross_profit,139831218098.0,131586895763.0,117024433305.0,83368381709.0,41868655074.0,65839096300.0,132289009851.0,127505016568.0
Doanh thu hoạt động tài chính,Financial income,financial_income,7430782009.0,5259832449.0,7337882639.0,4829630148.0,4978579312.0,7023131991.0,9316487530.0,6221102643.0
Chi phí tài chính,Financial expenses,financial_expenses,-918322077.0,-2847725182.0,-2109317675.0,-5725645625.0,-11125974395.0,-8675873317.0,-288501286.0,-64965857.0
Chi phí lãi vay,Interest expenses,interest_expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi phí bán hàng,Selling expenses,selling_expenses,-41470681302.0,-40440401569.0,-38349013445.0,-25193575290.0,-12278636445.0,-19208115671.0,-37680631190.0,-41296762348.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-18703432657.0,-31190411281.0,-28422614612.0,-23117237593.0,-14322438845.0,-21577489799.0,-33255659743.0,-25513467674.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,83310446533.0,59281863185.0,60666489077.0,22467999716.0,4951373562.0,14726263885.0,65409614297.0,61856647002.0
Thu nhập khác,Other incomes,other_incomes,389946590.0,327131990.0,3069136453.0,774463623.0,988178265.0,6086995458.0,2200539537.0,4641838130.0
Chi phí khác,Other expenses,other_expenses,-13094368.0,-359983279.0,-925915027.0,-535060604.0,-27376707.0,-1180774294.0,-405941961.0,-392976638.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,376852222.0,-32851289.0,2143221426.0,239403019.0,960801558.0,4906221164.0,1794597576.0,4248861492.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,83687298755.0,59249011896.0,62809710503.0,22707402735.0,5912175120.0,19632485049.0,67204211873.0,66105508494.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-16937167609.0,-12342042811.0,-11689574581.0,-6591612643.0,-1032081140.0,-1652024622.0,-14758083232.0,-12659220380.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,41593014.0,71782328.0,-1698682333.0,1585306991.0,0.0,-1150167425.0,1150167425.0,-790024802.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-16895574595.0,-12270260483.0,-13388256914.0,-5006305652.0,-1032081140.0,-2802192047.0,-13607915807.0,-13449245182.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,66791724160.0,46978751413.0,49421453589.0,17701097083.0,4880093980.0,16830293002.0,53596296066.0,52656263312.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,140536128.0,119637213.0,-56253726.0,-296517516.0,219523316.0,221392098.0,-81512361.0,0.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,66651188032.0,46859114200.0,49477707315.0,17997614599.0,4660570664.0,16608900904.0,53677808427.0,52656263312.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,4937.0,3471.0,3665.0,1285.0,324.0,1105.0,3555.0,3256.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,4937.0,3471.0,3665.0,1285.0,324.0,1105.0,3555.0,3256.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,-2859117538.0,-3086326995.0,5185118865.0,-11693553633.0,-4168811139.0,-8674485619.0,-4971090865.0,-4994276330.0
