item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,909730972434.0,1149942877969.0,1249444244471.0,1047869363067.0,338073531847.0,327368360966.0,387316596685.0,199289613789.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,-26381555.0,-3090907.0,0.0,0.0,-25500000.0
Doanh thu thuần,Net sales,net_sales,909730972434.0,1149942877969.0,1249444244471.0,1047842981512.0,338070440940.0,327368360966.0,387316596685.0,199264113789.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-841622868539.0,-1094227461592.0,-1192102436564.0,-984935713525.0,-298912521665.0,-293754177915.0,-349195199579.0,-175206854407.0
Lợi nhuận gộp,Gross Profit,gross_profit,68108103895.0,55715416377.0,57341807907.0,62907267987.0,39157919275.0,33614183051.0,38121397106.0,24057259382.0
Doanh thu hoạt động tài chính,Financial income,financial_income,31925023051.0,17985295953.0,25967727887.0,17614434824.0,1771605659.0,3476269538.0,364412201.0,241300988.0
Chi phí tài chính,Financial expenses,financial_expenses,-12875546381.0,-17991561533.0,-35718499020.0,-19218409634.0,-7717045552.0,-6723615702.0,-7005928076.0,-4300804223.0
Chi phí lãi vay,Interest expenses,interest_expenses,-12032563042.0,-16993231046.0,-34713106614.0,-18491713176.0,-7401444101.0,-6040117154.0,-6711271731.0,-4264329260.0
Chi phí bán hàng,Selling expenses,selling_expenses,-8169206393.0,-6777081772.0,-8955573266.0,-6886367479.0,-1047761221.0,-7066324478.0,-14626487490.0,-5417331336.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-21441699990.0,-19444035902.0,-20442090178.0,-19481682659.0,-10289749352.0,-9360833528.0,-10872263453.0,-8816910732.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,59533433558.0,29327693214.0,16677045421.0,35654405150.0,21858082687.0,14035051404.0,5981130288.0,5763514079.0
Thu nhập khác,Other incomes,other_incomes,401458779.0,341464743.0,7205829.0,90902072.0,1010994008.0,3324181090.0,2529755324.0,1317361861.0
Chi phí khác,Other expenses,other_expenses,-4143172528.0,-904215147.0,-466989794.0,-304637035.0,-1511081335.0,-1032266466.0,-2070453871.0,-505243494.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-3741713749.0,-562750404.0,-459783965.0,-213734963.0,-500087327.0,2291914624.0,459301453.0,812118367.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,55791719809.0,28764942810.0,16217261456.0,35440670187.0,21357995360.0,16326966028.0,6440431741.0,6575632446.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-12264419287.0,-7407643247.0,-5424458998.0,-6607060013.0,-4733867823.0,-3485691764.0,-1519976691.0,-1368130599.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,-242341538.0,501232102.0,120229189.0,-386731839.0,0.0,0.0,0.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-12506760825.0,-6906411145.0,-5304229809.0,-6993791852.0,-4733867823.0,-3485691764.0,-1519976691.0,-1368130599.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,43284958984.0,21858531665.0,10913031647.0,28446878335.0,16624127537.0,12841274264.0,4920455050.0,5207501847.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,2919275791.0,4945767671.0,1321009577.0,2666665282.0,78455677.0,0.0,0.0,0.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,40365683193.0,16912763994.0,9592022070.0,25780213053.0,16545671860.0,12841274264.0,4920455050.0,5207501847.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,648.0,274.0,155.0,430.0,426.0,691.0,445.0,774.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,648.0,274.0,155.0,430.0,426.0,691.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,1986759376.0,-160339909.0,-1516327909.0,719162111.0,-16886122.0,95372523.0,0.0,0.0
