item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,710075697512.0,696527591339.0,754554847603.0,820738681429.0,881402222185.0,738565184915.0,579536489031.0,479342952512.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-47160619323.0,-14717261824.0,-12972836600.0,-14659197044.0,-17325366487.0,-4222008969.0,-4685935453.0,-2691613462.0
Doanh thu thuần,Net sales,net_sales,662915078189.0,681810329515.0,741582011003.0,806079484385.0,864076855698.0,734343175946.0,574850553578.0,476651339050.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-524285052942.0,-544562723026.0,-595496589971.0,-656447955155.0,-679962653943.0,-591909411496.0,-445187569706.0,-371018654033.0
Lợi nhuận gộp,Gross Profit,gross_profit,138630025247.0,137247606489.0,146085421032.0,149631529230.0,184114201755.0,142433764450.0,129662983872.0,105632685017.0
Doanh thu hoạt động tài chính,Financial income,financial_income,3652137276.0,2820498416.0,5453432900.0,7526352035.0,3615674801.0,2229927576.0,1307669623.0,5909004558.0
Chi phí tài chính,Financial expenses,financial_expenses,-5286999836.0,-8720150694.0,-15683616744.0,-15139858698.0,-9025382828.0,-6855076500.0,-4146233999.0,-1486865278.0
Chi phí lãi vay,Interest expenses,interest_expenses,-3170410987.0,-5602140373.0,-11868523683.0,-9499221514.0,-6256821659.0,-5147268284.0,-3429446715.0,-1061715026.0
Chi phí bán hàng,Selling expenses,selling_expenses,-101571604225.0,-96723816555.0,-91895484100.0,-86511957520.0,-107276328366.0,-87424018878.0,-80159294628.0,-77419099364.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-30525671533.0,-31651364668.0,-31319545903.0,-33817049073.0,-33816247255.0,-28211406868.0,-32810606115.0,-34857769913.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,4897886929.0,2972772988.0,12640207185.0,21689015974.0,37611918107.0,22173189780.0,13854518753.0,-2222044980.0
Thu nhập khác,Other incomes,other_incomes,1449256520.0,830192844.0,4511330752.0,666206281.0,1322346036.0,1176999788.0,3079389912.0,1934152684.0
Chi phí khác,Other expenses,other_expenses,-748102037.0,-655479600.0,-385018340.0,-2260239819.0,-712135132.0,-447069818.0,-331794575.0,-555590237.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,701154483.0,174713244.0,4126312412.0,-1594033538.0,610210904.0,729929970.0,2747595337.0,1378562447.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,5599041412.0,3147486232.0,16766519597.0,20094982436.0,38222129011.0,22903119750.0,16602114090.0,-843482533.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-3654376369.0,-1021498570.0,-4697407466.0,-4077769488.0,-8803663735.0,-4786708915.0,-1989635188.0,-1577976572.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-3654376369.0,-1021498570.0,-4697407466.0,-4077769488.0,-8803663735.0,-4786708915.0,-1989635188.0,-1577976572.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,1944665043.0,2125987662.0,12069112131.0,16017212948.0,29418465276.0,18116410835.0,14612478902.0,-2421459105.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,1944665043.0,2125987662.0,12069112131.0,16017212948.0,29418465276.0,18116410835.0,14612478902.0,-2421459105.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,389.0,425.0,2414.0,3203.0,5884.0,3623.0,2922.0,-484.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,425.0,2414.0,3203.0,5884.0,3623.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
