item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,1656221534457.0,1452619154002.0,1235319352961.0,1196375008642.0,1078888885510.0,904427391481.0,823884542540.0,695674254294.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,-31524950.0,-126512560.0,-932737170.0
Doanh thu thuần,Net sales,net_sales,1656221534457.0,1452619154002.0,1235319352961.0,1196375008642.0,1078888885510.0,904395866531.0,823758029980.0,694741517124.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-1007448250895.0,-935084672516.0,-779598605813.0,-734397206259.0,-690970765355.0,-584619668823.0,-532568441686.0,-460504519525.0
Lợi nhuận gộp,Gross Profit,gross_profit,648773283562.0,517534481486.0,455720747148.0,461977802383.0,387918120155.0,319776197708.0,291189588294.0,234236997599.0
Doanh thu hoạt động tài chính,Financial income,financial_income,45665208988.0,35893470354.0,51419327708.0,40359417185.0,32008965070.0,31948832434.0,24529370685.0,21665716098.0
Chi phí tài chính,Financial expenses,financial_expenses,-24270432935.0,-20078245239.0,-15344965099.0,-13267146480.0,-9929530479.0,-15876879294.0,-13105083777.0,-17490061145.0
Chi phí lãi vay,Interest expenses,interest_expenses,-23683061933.0,-19938194150.0,-13481539670.0,-8926819457.0,-10121190775.0,-11427685495.0,-11662379388.0,-13916484149.0
Chi phí bán hàng,Selling expenses,selling_expenses,-23368528725.0,-19270961850.0,-17879288261.0,-17087041587.0,-9654547806.0,-5008386778.0,-5335039348.0,-3049403916.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-188293398061.0,-143063291602.0,-131341408264.0,-134731130376.0,-91635453840.0,-72363930820.0,-75651091191.0,-53217636227.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,458506132829.0,371015453149.0,342574413232.0,337251901125.0,308707553100.0,258475833250.0,221627744663.0,182145612409.0
Thu nhập khác,Other incomes,other_incomes,3055650042.0,4513459290.0,3026356198.0,1554270144.0,1466459835.0,1906494939.0,6030966854.0,1684347557.0
Chi phí khác,Other expenses,other_expenses,-1460294941.0,-237707526.0,-379631746.0,-221832824.0,-8077812639.0,-183173458.0,-201076276.0,-445202201.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,1595355101.0,4275751764.0,2646724452.0,1332437320.0,-6611352804.0,1723321481.0,5829890578.0,1239145356.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,460101487930.0,375291204913.0,345221137684.0,338584338445.0,302096200296.0,260199154731.0,227457635241.0,183384757765.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-91682995665.0,-73739679172.0,-69445921031.0,-67281410425.0,-59399705105.0,-50613445035.0,-44616078134.0,-35900551007.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,0.0,-213090359.0,-451382500.0,451382500.0,0.0,-203640000.0,1318856160.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-91682995665.0,-73952769531.0,-69897303531.0,-66830027925.0,-59399705105.0,-50817085035.0,-43297221974.0,-35900551007.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,368418492265.0,301338435382.0,275323834153.0,271754310520.0,242696495191.0,209382069696.0,184160413267.0,147484206758.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,368418492265.0,301338435382.0,275323834153.0,271754310520.0,242696495191.0,209382069696.0,184160413267.0,147484206758.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,3721.0,3044.0,2781.0,2745.0,2451.0,2115.0,1860.0,1624.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,3044.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
