item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,177371772890.0,123106972488.0,94267289222.0,106304363959.0,41594693926.0,100998196355.0,294856362884.0,297267470219.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,-156832551.0,-20000.0,-353310293.0,-2265548538.0,-2407484130.0
Doanh thu thuần,Net sales,net_sales,177371772890.0,123106972488.0,94267289222.0,106147531408.0,41594673926.0,100644886062.0,292590814346.0,294859986089.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-118768384505.0,-88732103393.0,-76260411125.0,-103070133036.0,-68610618302.0,-114162266634.0,-211771938381.0,-211003147221.0
Lợi nhuận gộp,Gross Profit,gross_profit,58603388385.0,34374869095.0,18006878097.0,3077398372.0,-27015944376.0,-13517380572.0,80818875965.0,83856838868.0
Doanh thu hoạt động tài chính,Financial income,financial_income,11010055289.0,9143485954.0,11155403834.0,88156201770.0,5153359044.0,8895209193.0,5492022351.0,6506429250.0
Chi phí tài chính,Financial expenses,financial_expenses,-2147870913.0,2888229039.0,2244833886.0,-5912090619.0,-2741220959.0,-9345872524.0,-5146894349.0,-8396265680.0
Chi phí lãi vay,Interest expenses,interest_expenses,0.0,0.0,0.0,-3021203251.0,-3418007260.0,-3231390112.0,-4195938926.0,-5932942064.0
Chi phí bán hàng,Selling expenses,selling_expenses,-18308402867.0,-16258209833.0,-12310414405.0,-8262497579.0,-5050666289.0,-6922418515.0,-14602213843.0,-9825880875.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-25802630192.0,-19913523139.0,-13597529035.0,-17337714019.0,-19071735825.0,-23131195590.0,-29858444141.0,-26283187814.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,26129986302.0,7889446804.0,5950594654.0,61330131685.0,-52150178217.0,-43759358568.0,36932330016.0,46315901816.0
Thu nhập khác,Other incomes,other_incomes,104544563.0,73894219.0,162747201.0,289506085.0,177477041.0,70132746.0,48014337.0,377635845.0
Chi phí khác,Other expenses,other_expenses,-2299011083.0,-2007004037.0,-57522304.0,-238058356.0,-16834514.0,-240591981.0,-511266857.0,-254904063.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-2194466520.0,-1933109818.0,105224897.0,51447729.0,160642527.0,-170459235.0,-463252520.0,122731782.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,23935519782.0,5956336986.0,6055819551.0,61381579414.0,-51989535690.0,-43929817803.0,36469077496.0,46438633598.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-4373590096.0,-1957627929.0,-1075251646.0,-1539888107.0,-100630684.0,-124386645.0,-7367768011.0,-9265499441.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,-863496454.0,525169448.0,507100014.0,-352572509.0,1683174789.0,-2940475744.0,6886361.0,195151795.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-5237086550.0,-1432458481.0,-568151632.0,-1892460616.0,1582544105.0,-3064862389.0,-7360881650.0,-9070347646.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,18698433232.0,4523878505.0,5487667919.0,59489118798.0,-50406991585.0,-46994680192.0,29108195846.0,37368285952.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,0.0,0.0,-78560718.0,-6028035922.0,-10586499193.0,-8484422502.0,5519640736.0,5152638924.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,18698433232.0,4523878505.0,5566228637.0,65517154720.0,-39820492392.0,-38510257690.0,23588555110.0,32215647028.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,1002.0,242.0,298.0,3418.0,-2105.0,-1856.0,1936.0,3258.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,-1856.0,2017.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,2775446600.0,-2345404312.0,451422277.0,1608833760.0,-3423969812.0,262299440.0,228984033.0,457968067.0
