item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,3063213441857.0,3182495930678.0,3195316563683.0,5901690577210.0,2908693562956.0,5408405794386.0,1848725839113.0,2702951883818.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-102945840304.0,-154752974558.0,-105606623638.0,-153699908920.0,-48659514547.0,-34314129866.0,-35564717422.0,-16949205980.0
Doanh thu thuần,Net sales,net_sales,2960267601553.0,3027742956120.0,3089709940045.0,5747990668290.0,2860034048409.0,5374091664520.0,1813161121691.0,2686002677838.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-1298480136720.0,-1363536334642.0,-1934641230864.0,-4404023358553.0,-2036064393949.0,-4229385489945.0,-1242910738099.0,-1937276901153.0
Lợi nhuận gộp,Gross Profit,gross_profit,1661787464833.0,1664206621478.0,1155068709181.0,1343967309737.0,823969654460.0,1144706174575.0,570250383592.0,748725776685.0
Doanh thu hoạt động tài chính,Financial income,financial_income,829666612700.0,1132887018819.0,1524757721553.0,1521971642064.0,1069631920450.0,1361784408056.0,1156598475397.0,547936385635.0
Chi phí tài chính,Financial expenses,financial_expenses,-1438257831929.0,-1530082740833.0,-1660256933884.0,-1358947815603.0,-1416444228424.0,-1214708824499.0,-1137989318636.0,-649685337919.0
Chi phí lãi vay,Interest expenses,interest_expenses,-1278865233363.0,-1299557806901.0,-1314472998728.0,-1119155480993.0,-1133805564396.0,-901113135134.0,-729269062304.0,-632222454399.0
Chi phí bán hàng,Selling expenses,selling_expenses,-82761752031.0,-83761287417.0,-79931706748.0,-76865705532.0,-62945222581.0,-157032487871.0,-40199009381.0,-34923399670.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-489780461418.0,-540779453177.0,-468374365569.0,-461975667642.0,-494236687562.0,-532995652932.0,-542395441037.0,-515112107921.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,480654032155.0,642590686697.0,450884295911.0,1043958028701.0,-74491318984.0,605684623934.0,30813061204.0,167739222281.0
Thu nhập khác,Other incomes,other_incomes,22185006807.0,13492308602.0,9143949530.0,9572335815.0,29641769777.0,40147315172.0,518973991208.0,243964177608.0
Chi phí khác,Other expenses,other_expenses,-105994869832.0,-60166246830.0,-33076603530.0,-12215402133.0,-60963028764.0,-23807915375.0,-26975416059.0,-19543734324.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-83809863025.0,-46673938228.0,-23932654000.0,-2643066318.0,-31321258987.0,16339399797.0,491998575149.0,224420443284.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,396844169130.0,595916748469.0,426951641911.0,1041314962383.0,-105812577971.0,622024023731.0,522811636353.0,392159665565.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-101180481246.0,-75509656139.0,-62786976760.0,-129311827162.0,-210768343468.0,-225802321427.0,-178075083991.0,-174679575630.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,71947579149.0,100335078622.0,5787605430.0,-51454853881.0,74504553104.0,75801931107.0,177115094740.0,-2352389609.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-29232902097.0,24825422483.0,-56999371330.0,-180766681043.0,-136263790364.0,-150000390320.0,-959989251.0,-177031965239.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,367611267033.0,620742170952.0,369952270581.0,860548281340.0,-242076368335.0,472023633411.0,521851647102.0,215127700326.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,243548130798.0,361061209935.0,191713219462.0,165401340198.0,90326834307.0,218100709817.0,326007909681.0,120118219537.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,124063136235.0,259680961017.0,178239051119.0,695146941142.0,-332403202642.0,253922923594.0,195843737421.0,95009480789.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,196.0,731.0,583.0,2648.0,-1392.0,1000.0,751.0,367.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,196.0,731.0,0.0,0.0,0.0,0.0,735.0,363.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,120527827.0,-20379128622.0,75808265677.0,5533244673.0,3931006605.0,24547971269.0,70797905471.0
