item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,16362080038960.0,17533257477305.0,17924626562822.0,13227263649453.0,2678653426642.0,7489000360710.0,5414971129443.0,1977117807013.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,-75000000.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,16362080038960.0,17533257477305.0,17924551562822.0,13227263649453.0,2678653426642.0,7489000360710.0,5414971129443.0,1977117807013.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-15975173584223.0,-17133471045400.0,-17451201149204.0,-12445494034541.0,-2415534704254.0,-7138010059210.0,-5134427461659.0,-1829569609629.0
Lợi nhuận gộp,Gross Profit,gross_profit,386906454737.0,399786431905.0,473350413618.0,781769614912.0,263118722388.0,350990301500.0,280543667784.0,147548197384.0
Doanh thu hoạt động tài chính,Financial income,financial_income,57789792730.0,56691517873.0,102282179671.0,48794605775.0,26133654337.0,35722972471.0,18801287605.0,12825182752.0
Chi phí tài chính,Financial expenses,financial_expenses,-76698483238.0,-64526166795.0,-93686691929.0,-70401170775.0,-23988522696.0,-33220642002.0,-25440752548.0,-21612972624.0
Chi phí lãi vay,Interest expenses,interest_expenses,-49203181992.0,-37452591017.0,-40843517417.0,-16247395870.0,-17056238852.0,-30139603938.0,-17525311991.0,-14716377238.0
Chi phí bán hàng,Selling expenses,selling_expenses,-212974766394.0,-140042533374.0,-198750100263.0,-232910966816.0,-159055731686.0,-224917647505.0,-187881280572.0,-83614193871.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-83588349067.0,-90205470215.0,-88432894732.0,-101054713070.0,-65593314947.0,-69587523678.0,-48505260104.0,-34782801079.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,71434648768.0,161703779394.0,194762906365.0,426197370026.0,40614807396.0,58987460786.0,37517662165.0,20363412562.0
Thu nhập khác,Other incomes,other_incomes,31039384981.0,33931160803.0,31983380510.0,1483078301.0,1078783112.0,5483372158.0,30729576075.0,6242136144.0
Chi phí khác,Other expenses,other_expenses,-2803296850.0,-3382007195.0,-894906571.0,-2205725592.0,-1577894270.0,-4867260040.0,-19427787686.0,-6574965099.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,28236088131.0,30549153608.0,31088473939.0,-722647291.0,-499111158.0,616112118.0,11301788389.0,-332828955.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,99670736899.0,192252933002.0,225851380304.0,425474722735.0,40115696238.0,59603572904.0,48819450554.0,20030583607.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-21476296225.0,-45998790246.0,-46541835799.0,-86640481645.0,-11805936317.0,-13316436711.0,-11277198190.0,-6439255247.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,-2579954301.0,2579954301.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-24056250526.0,-43418835945.0,-46541835799.0,-86640481645.0,-11805936317.0,-13316436711.0,-11277198190.0,-6439255247.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,75614486373.0,148834097057.0,179309544505.0,338834241090.0,28309759921.0,46287136193.0,37542252364.0,13591328360.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,75614486373.0,148834097057.0,179309544505.0,338834241090.0,28309759921.0,46287136193.0,37542252364.0,13591328360.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,6874.0,13530.0,16301.0,30803.0,2779.0,4208.0,3413.0,1236.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
