item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,9111140925785.0,7936684217718.0,7511889409464.0,7608525903508.0,5847653852577.0,4923857290906.0,4999137609514.0,4998867711678.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,-2768659600.0,-7126116631.0,-11760000.0,-1519786233.0,41863680.0,32644404957.0,-43229508840.0
Doanh thu thuần,Net sales,net_sales,9111140925785.0,7933915558118.0,7504763292833.0,7608514143508.0,5846134066344.0,4923899154586.0,5031782014471.0,4955638202838.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-7411425759834.0,-6486869922465.0,-6127289389072.0,-6189330123035.0,-4810201707347.0,-3998539994767.0,-4116093473355.0,-4167038029445.0
Lợi nhuận gộp,Gross Profit,gross_profit,1699715165951.0,1447045635653.0,1377473903761.0,1419184020473.0,1035932358997.0,925359159819.0,915688541116.0,788600173393.0
Doanh thu hoạt động tài chính,Financial income,financial_income,117596355513.0,108286423524.0,126620780334.0,89739679158.0,87061776429.0,95732434470.0,46561489646.0,20890964059.0
Chi phí tài chính,Financial expenses,financial_expenses,-119898504386.0,-104866387273.0,-121728769674.0,-105945656135.0,-69656002973.0,-83020346641.0,-66540016455.0,-42686920215.0
Chi phí lãi vay,Interest expenses,interest_expenses,-101042890268.0,-78903947755.0,-105555500340.0,-88318350455.0,-66388581451.0,-80431713492.0,-62739940436.0,-41305297458.0
Chi phí bán hàng,Selling expenses,selling_expenses,-551595698950.0,-528827726636.0,-523279765820.0,-542362798997.0,-410843041418.0,-381271863049.0,-343948530668.0,-303981080239.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-604119673762.0,-502627976109.0,-477985621149.0,-461304559088.0,-299718276929.0,-300238969461.0,-310948581635.0,-270716384377.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,592665516302.0,454060289357.0,422416539562.0,430433711790.0,367440250972.0,277634946955.0,265528989849.0,211344009819.0
Thu nhập khác,Other incomes,other_incomes,6500464492.0,8623718002.0,9770271725.0,141207796.0,13797931913.0,6178823400.0,8336584905.0,24015871628.0
Chi phí khác,Other expenses,other_expenses,-3797152403.0,-11419015817.0,-4543453462.0,-26493474216.0,-10485899278.0,-502494782.0,-7123344817.0,-3481984772.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,2703312089.0,-2795297815.0,5226818263.0,-26352266420.0,3312032635.0,5676328618.0,1213240088.0,20533886856.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,595368828391.0,451264991542.0,427643357825.0,404081445370.0,370752283607.0,283311275573.0,266742229937.0,231877896675.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-98084048676.0,-67554782729.0,-46498319544.0,-50967667607.0,-57714271263.0,-46700448061.0,-529335519.0,-43975509107.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,1311958508.0,591655937.0,-1537051486.0,2427797070.0,-82888629.0,-49653240.0,-47622184620.0,37142949.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-96772090168.0,-66963126792.0,-48035371030.0,-48539870537.0,-57797159892.0,-46750101301.0,-48151520139.0,-43938366158.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,498596738223.0,384301864750.0,379607986795.0,355541574833.0,312955123715.0,236561174272.0,218590709798.0,187939530517.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,103165594987.0,72151356965.0,55174263464.0,54314717255.0,76559035646.0,65961449358.0,81839604347.0,50198972431.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,395431143236.0,312150507785.0,324433723331.0,301226857578.0,236396088069.0,170599724914.0,136751105451.0,137740558086.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,1507.0,0.0,1739.0,1847.0,2142.0,1453.0,1562.0,0.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,1507.0,0.0,1739.0,1847.0,2142.0,1453.0,1562.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,50967871936.0,35050320198.0,41316012110.0,31123026379.0,24663436866.0,21074531817.0,24716087845.0,19237257198.0
