item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,2966348822699.0,2981374735211.0,2047751677931.0,2923640737100.0,2097799555425.0,1436523157972.0,958169121975.0,1062838261171.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-25205497147.0,-496682505.0,-7661292522.0,-23533074010.0,-4154132115.0,-11935715831.0,-7036998488.0,-635416906.0
Doanh thu thuần,Net sales,net_sales,2941143325552.0,2980878052706.0,2040090385409.0,2900107663090.0,2093645423310.0,1424587442141.0,951132123487.0,1062202844265.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-2403087559646.0,-2603130935981.0,-1736214889927.0,-2541242579254.0,-1804745307392.0,-1236202547165.0,-750497423337.0,-867949038021.0
Lợi nhuận gộp,Gross Profit,gross_profit,538055765906.0,377747116725.0,303875495482.0,358865083836.0,288900115918.0,188384894976.0,200634700150.0,194253806244.0
Doanh thu hoạt động tài chính,Financial income,financial_income,40150773236.0,23620672789.0,44138254860.0,59414162562.0,13502935776.0,10330298079.0,6036056006.0,5142406979.0
Chi phí tài chính,Financial expenses,financial_expenses,-204171581178.0,-137838539655.0,-119659904669.0,-122731712261.0,-55865624378.0,-50678893200.0,-44686844132.0,-31788526930.0
Chi phí lãi vay,Interest expenses,interest_expenses,-147013079035.0,-88371144856.0,-75190596454.0,-60847957545.0,-46171514160.0,-40469578698.0,-35318876083.0,-25952390226.0
Chi phí bán hàng,Selling expenses,selling_expenses,-150705688212.0,-103385870567.0,-56003672813.0,-119018749355.0,-91920420442.0,-40090530359.0,-41752168510.0,-31389939594.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-111454930384.0,-95298182923.0,-77603350580.0,-63021439829.0,-59129213296.0,-36499701360.0,-49261010742.0,-40343494044.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,115134756399.0,66079755115.0,91972113886.0,112935183022.0,95487793578.0,71495487102.0,71307371350.0,95874252655.0
Thu nhập khác,Other incomes,other_incomes,2876073551.0,35181569470.0,803345383.0,1397737696.0,15375651600.0,525549059.0,23017792272.0,1129143630.0
Chi phí khác,Other expenses,other_expenses,-7364059106.0,-11885773798.0,-10868341722.0,-8279952138.0,-11716573694.0,-5168548015.0,-1886304258.0,-3251307234.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-4487985555.0,23295795672.0,-10064996339.0,-6882214442.0,3659077906.0,-4642998956.0,21131488014.0,-2122163604.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,110646770844.0,89375550787.0,81907117547.0,106052968580.0,99146871484.0,66852488146.0,92438859364.0,93752089051.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-22191978208.0,-24166247997.0,-12172310490.0,-17438017305.0,-15071202460.0,-7541631376.0,-13673575620.0,-14434035357.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,1087191780.0,1040281825.0,-2783249964.0,2263834207.0,-551479344.0,833870042.0,-1015240982.0,1450298737.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-21104786428.0,-23125966172.0,-14955560454.0,-15174183098.0,-15622681804.0,-6707761334.0,-14688816602.0,-12983736620.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,89541984416.0,66249584615.0,66951557093.0,90878785482.0,83524189680.0,60144726812.0,77750042762.0,80768352431.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,22272878436.0,10262609326.0,18116126052.0,25033171929.0,15363560932.0,13191560347.0,36611058372.0,47575405.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,67269105980.0,55986975289.0,48835431041.0,65845613553.0,68160628748.0,46953166465.0,41138984390.0,80720777026.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,660.0,549.0,479.0,651.0,1595.0,1767.0,3112.0,6105.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,660.0,549.0,479.0,651.0,1595.0,1767.0,0.0,6105.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,3260417031.0,1234558746.0,-2774708394.0,-572161931.0,0.0,49418966.0,336638578.0,0.0
