item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,4681429729036.0,3517120563949.0,3112008051235.0,4185416899775.0,3057743882845.0,2337891198666.0,2130387704894.0,1819225869221.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,4681429729036.0,3517120563949.0,3112008051235.0,4185416899775.0,3057743882845.0,2337891198666.0,2130387704894.0,1819225869221.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-4320187694618.0,-3232970473960.0,-2847125723970.0,-3890183082843.0,-2849127824804.0,-2187590899055.0,-1941146371979.0,-1582629897065.0
Lợi nhuận gộp,Gross Profit,gross_profit,361242034418.0,284150089989.0,264882327265.0,295233816932.0,208616058041.0,150300299611.0,189241332915.0,236595972156.0
Doanh thu hoạt động tài chính,Financial income,financial_income,3257528858.0,4235801569.0,10684727566.0,8297608742.0,4257681901.0,10724922113.0,13483094198.0,11638298715.0
Chi phí tài chính,Financial expenses,financial_expenses,-5242520528.0,-3692149396.0,-5310554016.0,-4024569416.0,-422972574.0,-1423610.0,-17603159.0,-71924861.0
Chi phí lãi vay,Interest expenses,interest_expenses,-4172837540.0,-3062341000.0,-4852970897.0,-4024352896.0,-421917808.0,0.0,-17349700.0,-71522308.0
Chi phí bán hàng,Selling expenses,selling_expenses,-142720532949.0,-58180792329.0,-38718792390.0,-35807847288.0,-26782423836.0,-25533230826.0,-24925377766.0,-34449632635.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-132200337187.0,-112790433235.0,-109380639638.0,-109411662802.0,-76464820254.0,-72644516748.0,-72901261903.0,-75138849257.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,84336172612.0,113722516598.0,122157068787.0,154287346168.0,109203523278.0,62846050540.0,104880184285.0,138573864118.0
Thu nhập khác,Other incomes,other_incomes,2227096045.0,253276294.0,18065118014.0,1489625456.0,76526413.0,2532736891.0,2868783037.0,7304156531.0
Chi phí khác,Other expenses,other_expenses,-629899907.0,-183440193.0,-1786882742.0,-1880011254.0,-1685376784.0,-8432009.0,-139286856.0,-660589195.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,1597196138.0,69836101.0,16278235272.0,-390385798.0,-1608850371.0,2524304882.0,2729496181.0,6643567336.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,85933368750.0,113792352699.0,138435304059.0,153896960370.0,107594672907.0,65370355422.0,107609680466.0,145217431454.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-18460924253.0,-22235827537.0,-24622303860.0,-35156917824.0,-27194453825.0,-14940645638.0,-21945915260.0,-28814683871.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,1141006325.0,-567126985.0,-3544274709.0,-1129228988.0,1894843554.0,577757608.0,-1316488276.0,-2098396276.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-17319917928.0,-22802954522.0,-28166578569.0,-36286146812.0,-25299610271.0,-14362888030.0,-23262403536.0,-30913080147.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,68613450822.0,90989398177.0,110268725490.0,117610813558.0,82295062636.0,51007467392.0,84347276930.0,114304351307.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,68613450822.0,90989398177.0,110268725490.0,117610813558.0,82295062636.0,51007467392.0,84347276930.0,114304351307.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,1544.0,2202.0,2778.0,3946.0,2422.0,1556.0,2620.0,3652.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,2202.0,2778.0,3946.0,2422.0,1556.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
