item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,3652928497374.0,4106869520109.0,4342646964846.0,4815945175081.0,2660299645974.0,2900020881710.0,4207042555977.0,4242284847644.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-474849567.0,-325590196.0,-308650022.0,-314784546.0,-617540956.0,-728789697.0,-3432006018.0,-266204395.0
Doanh thu thuần,Net sales,net_sales,3652453647807.0,4106543929913.0,4342338314824.0,4815630390535.0,2659682105018.0,2899292092013.0,4203610549959.0,4242018643249.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-3461910153605.0,-3908259310801.0,-4154700197820.0,-4683228396568.0,-2482573180287.0,-2721440191223.0,-3997204869191.0,-3976743272004.0
Lợi nhuận gộp,Gross Profit,gross_profit,190543494202.0,198284619112.0,187638117004.0,132401993967.0,177108924731.0,177851900790.0,206405680768.0,265275371245.0
Doanh thu hoạt động tài chính,Financial income,financial_income,2066171506.0,2552503043.0,3600820251.0,7918647840.0,1511350808.0,1070931480.0,1670573029.0,2016417710.0
Chi phí tài chính,Financial expenses,financial_expenses,128206510.0,464659638.0,-1682926931.0,-2080058230.0,1277061428.0,681279966.0,-104197888.0,-1259429645.0
Chi phí lãi vay,Interest expenses,interest_expenses,0.0,0.0,-66301370.0,-40684932.0,0.0,-53756164.0,-18739726.0,-13356164.0
Chi phí bán hàng,Selling expenses,selling_expenses,-145879369484.0,-148545662940.0,-143535126468.0,-121723024289.0,-119485431602.0,-126357433885.0,-130462813766.0,-137670881156.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-10930575483.0,-18044571293.0,-17389651449.0,-15760050617.0,-13770672295.0,-14667615683.0,-13956737842.0,-16771010918.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,35927927251.0,34711547560.0,28631232407.0,757508671.0,46641233070.0,38579062668.0,63552504301.0,111590467236.0
Thu nhập khác,Other incomes,other_incomes,1895284352.0,685585382.0,14809092302.0,680286721.0,3283125478.0,7779678001.0,105907148.0,940264615.0
Chi phí khác,Other expenses,other_expenses,-1794205054.0,-1178091852.0,-482977436.0,-502367021.0,-835480.0,-152487635.0,-54757287.0,-5238019.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,101079298.0,-492506470.0,14326114866.0,177919700.0,3282289998.0,7627190366.0,51149861.0,935026596.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,36029006549.0,34219041090.0,42957347273.0,935428371.0,49923523068.0,46206253034.0,63603654162.0,112525493832.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-7062367910.0,-7716826988.0,-8873722297.0,-30899596.0,-10102987222.0,-9544685943.0,-13167944437.0,-22255386787.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,0.0,373965924.0,373965924.0,373965924.0,373965924.0,373965924.0,594169685.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-7062367910.0,-7342861064.0,-8499756373.0,343066328.0,-9729021298.0,-9170720019.0,-12573774752.0,-22255386787.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,28966638639.0,26876180026.0,34457590900.0,1278494699.0,40194501770.0,37035533015.0,51029879410.0,90270107045.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,28966638639.0,26876180026.0,34457590900.0,1278494699.0,40194501770.0,37035533015.0,51029879410.0,90270107045.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,1165.0,1316.0,2440.0,54.0,2810.0,2587.0,3614.0,6393.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
