item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,584375119381.0,684754473081.0,991302588796.0,1020989319711.0,610346054119.0,462252255952.0,582379396083.0,827431559891.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,-8319555.0,-44793000.0,-59927772.0,0.0,0.0,-345204110.0
Doanh thu thuần,Net sales,net_sales,584375119381.0,684754473081.0,991294269241.0,1020944526711.0,610286126347.0,462252255952.0,582379396083.0,827086355781.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-469368301199.0,-547327276961.0,-845426030550.0,-877316768849.0,-527243792005.0,-346859181361.0,-426213091754.0,-685463950972.0
Lợi nhuận gộp,Gross Profit,gross_profit,115006818182.0,137427196120.0,145868238691.0,143627757862.0,83042334342.0,115393074591.0,156166304329.0,141622404809.0
Doanh thu hoạt động tài chính,Financial income,financial_income,4763916790.0,3621990180.0,4199864107.0,3705706134.0,5717951506.0,4082343345.0,4644759059.0,13069828553.0
Chi phí tài chính,Financial expenses,financial_expenses,-3326659418.0,-2692399907.0,-16071095309.0,-13847062093.0,-13736368764.0,-4336972833.0,-529848346.0,-22383015804.0
Chi phí lãi vay,Interest expenses,interest_expenses,-3167891417.0,-2254038478.0,-13245021838.0,-13145093777.0,-13117648605.0,-3109795110.0,-3931475300.0,-7345205944.0
Chi phí bán hàng,Selling expenses,selling_expenses,-19466668375.0,-29448325074.0,-27784706915.0,-27092785586.0,-770746776.0,-29805197161.0,-78043416441.0,-65694474383.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-44920045471.0,-49041032382.0,-41324370818.0,-44944119730.0,-41028867352.0,-42934273681.0,-47085694034.0,-30193144450.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,52057361708.0,59867428937.0,64887929756.0,61449496587.0,33224302956.0,42398974261.0,35152104567.0,36421598725.0
Thu nhập khác,Other incomes,other_incomes,1306359689.0,372005749.0,876742747.0,56614563.0,459017958.0,886196201.0,3425788944.0,22240900.0
Chi phí khác,Other expenses,other_expenses,-1848240391.0,-573539080.0,-215273127.0,-95365314.0,-577351066.0,-544370955.0,-1764373748.0,-244896744.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-541880702.0,-201533331.0,661469620.0,-38750751.0,-118333108.0,341825246.0,1661415196.0,-222655844.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,51515481006.0,59665895606.0,65549399376.0,61410745836.0,33105969848.0,42740799507.0,36813519763.0,36198942881.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-11736225453.0,-13722710650.0,-14746163858.0,-12495356048.0,-6851207906.0,-9827600508.0,-7869537193.0,-7615307851.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,-1147134424.0,1374104045.0,-5362026.0,872672532.0,-522948188.0,1005484332.0,0.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-12883359877.0,-12348606605.0,-14751525884.0,-11622683516.0,-7374156094.0,-8822116176.0,-7869537193.0,-7615307851.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,38632121129.0,47317289001.0,50797873492.0,49788062320.0,25731813754.0,33918683331.0,28943982570.0,28583635030.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,38632121129.0,47317289001.0,50797873492.0,49788062320.0,25731813754.0,33918683331.0,28943982570.0,28583635030.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,2619.0,3316.0,3713.0,3639.0,1881.0,2479.0,2580.0,3324.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
