item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,13939517269142.0,12609519560081.0,11370408272724.0,9466997451987.0,7446888026068.0,6359187330750.0,5099889976331.0,4276731191297.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,13939517269142.0,12609519560081.0,11370408272724.0,9466997451987.0,7446888026068.0,6359187330750.0,5099889976331.0,4276731191297.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-12957576695759.0,-11725297850560.0,-10468527869775.0,-8710415826649.0,-6818891327642.0,-5884630071525.0,-4795987908617.0,-4017972089257.0
Lợi nhuận gộp,Gross Profit,gross_profit,981940573383.0,884221709521.0,901880402949.0,756581625338.0,627996698426.0,474557259225.0,303902067714.0,258759102040.0
Doanh thu hoạt động tài chính,Financial income,financial_income,99622477637.0,49062943375.0,97125701649.0,27209582580.0,12676612508.0,19586770401.0,21353040253.0,17582525881.0
Chi phí tài chính,Financial expenses,financial_expenses,-106666641646.0,-90149396469.0,-93271291919.0,-24247418911.0,-7229618380.0,-2608407896.0,-1773103713.0,-488298535.0
Chi phí lãi vay,Interest expenses,interest_expenses,-92827413128.0,-60826401868.0,-84837242075.0,-23036834469.0,-6429800020.0,0.0,0.0,-218901727.0
Chi phí bán hàng,Selling expenses,selling_expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-247615045763.0,-168599256242.0,-247881386173.0,-189088231316.0,-160527970661.0,-147543777064.0,-101088212373.0,-104692667102.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,727281363611.0,674536000185.0,657853426506.0,570455557691.0,472915721893.0,343991844666.0,222393791881.0,171160662284.0
Thu nhập khác,Other incomes,other_incomes,18526414871.0,3981915908.0,2821202051.0,1095349823.0,1625343709.0,1595992402.0,19417038416.0,18716149791.0
Chi phí khác,Other expenses,other_expenses,-152042170.0,-6502088527.0,-4962920976.0,-1255335941.0,-2967824877.0,-484153496.0,-2105070582.0,-215683015.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,18374372701.0,-2520172619.0,-2141718925.0,-159986118.0,-1342481168.0,1111838906.0,17311967834.0,18500466776.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,745655736312.0,672015827566.0,655711707581.0,570295571573.0,471573240725.0,345103683572.0,239705759715.0,189661129060.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-145999424509.0,-135296498794.0,-131807814033.0,-113448466450.0,-97248213654.0,-70003826167.0,-51982557758.0,-42822727810.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,60813833.0,1501849486.0,693501657.0,-1662466796.0,948215272.0,-925476721.0,1232134209.0,119463274.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-145938610676.0,-133794649308.0,-131114312376.0,-115110933246.0,-96299998382.0,-70929302888.0,-50750423549.0,-42703264536.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,599717125636.0,538221178258.0,524597395205.0,455184638327.0,375273242343.0,274174380684.0,188955336166.0,146957864524.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,0.0,0.0,0.0,29447388.0,20142752.0,11782030.0,14748552.0,48741077.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,599717125636.0,538221178258.0,524597395205.0,455155190939.0,375253099591.0,274162598654.0,188940587614.0,146909123447.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,5243.0,4705.0,4586.0,3979.0,4038.0,3892.0,2684.0,2834.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
