item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,2246083482724.0,1872286382309.0,2002486096252.0,2065191370532.0,1519086060089.0,1360411318964.0,1581181750693.0,1553029407368.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-131627254314.0,-160436522392.0,-170684760818.0,-43649911512.0,-75989661688.0,-53053857950.0,-113120784163.0,-102129020506.0
Doanh thu thuần,Net sales,net_sales,2114456228410.0,1711849859917.0,1831801335434.0,2021541459020.0,1443096398401.0,1307357461014.0,1468060966530.0,1450900386862.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-1892300391627.0,-1448409999268.0,-1525365749332.0,-1679197826984.0,-1197226904173.0,-1083262226039.0,-1182579973817.0,-1164516263111.0
Lợi nhuận gộp,Gross Profit,gross_profit,222155836783.0,263439860649.0,306435586102.0,342343632036.0,245869494228.0,224095234975.0,285480992713.0,286384123751.0
Doanh thu hoạt động tài chính,Financial income,financial_income,105563267904.0,125651365864.0,124968978169.0,99425366868.0,13268205430.0,1240233882.0,972783373.0,900280080.0
Chi phí tài chính,Financial expenses,financial_expenses,-137720533221.0,-165854586170.0,-207718600083.0,-182026644354.0,-57650796973.0,-17403905961.0,-29224728348.0,-37507939932.0
Chi phí lãi vay,Interest expenses,interest_expenses,-130957273069.0,-155612993285.0,193322081453.0,-161717506427.0,-50923663644.0,-16768480261.0,-28343321708.0,-34797390518.0
Chi phí bán hàng,Selling expenses,selling_expenses,-81920692666.0,-66239923897.0,-83165589950.0,-75182114824.0,-27679801413.0,-9750588431.0,-12548260033.0,-11137446496.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-60231298335.0,-68733999761.0,-75456321651.0,-60093678531.0,-52935043107.0,-47539669921.0,-40961937378.0,-39112183055.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,47846580465.0,88262716685.0,65064052587.0,124466561195.0,120872058165.0,150641304544.0,203718850327.0,199526834348.0
Thu nhập khác,Other incomes,other_incomes,54634937684.0,4917872348.0,1116506042.0,160298402.0,1042031904.0,508422807.0,2381424914.0,5954779347.0
Chi phí khác,Other expenses,other_expenses,-18234174601.0,-8641599183.0,-3722453047.0,-173766526.0,-3528370912.0,-94010534.0,-54393627.0,-2308804407.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,36400763083.0,-3723726835.0,-2605947005.0,-13468124.0,-2486339008.0,414412273.0,2327031287.0,3645974940.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,84247343548.0,84538989850.0,62458105582.0,124453093071.0,118385719157.0,151055716817.0,206045881614.0,203172809288.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-34267467393.0,-24721090024.0,-21838587047.0,-29506726057.0,-24190250112.0,-30431295972.0,-41385709655.0,-41186310250.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-34267467393.0,-24721090024.0,-21838587047.0,-29506726057.0,-24190250112.0,-30431295972.0,-41385709655.0,-41186310250.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,49979876155.0,59817899826.0,40619518535.0,94946367014.0,94195469045.0,120624420845.0,164660171959.0,161986499038.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,9417611.0,9642995.0,9580138.0,8462928.0,0.0,0.0,0.0,0.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,49970458544.0,59808256831.0,40609938397.0,94937904086.0,94195469045.0,120624420845.0,164660171959.0,161986499038.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,1362.0,1630.0,1107.0,2588.0,2567.0,3123.21,4263.38,4194.15
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,1362.0,1630.0,1107.0,2588.0,2567.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
