item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,2533776163916.0,2938534598760.0,2939736406597.0,2999734896573.0,2259977295424.0,2159885103816.0,2493275737226.0,1586843348214.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,-5091179788.0,-5354440.0,0.0,-7364380.0,-51526440.0
Doanh thu thuần,Net sales,net_sales,2533776163916.0,2938534598760.0,2939736406597.0,2994643716785.0,2259971940984.0,2159885103816.0,2493268372846.0,1586791821774.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-2432638648595.0,-2853646191584.0,-2813913995924.0,-2856697128555.0,-2173050227026.0,-2046150706417.0,-2367922108593.0,-1469961036640.0
Lợi nhuận gộp,Gross Profit,gross_profit,101137515321.0,84888407176.0,125822410673.0,137946588230.0,86921713958.0,113734397399.0,125346264253.0,116830785134.0
Doanh thu hoạt động tài chính,Financial income,financial_income,29741314529.0,35704720288.0,49746173329.0,33014182763.0,22046952608.0,31514939373.0,23262287240.0,29862231266.0
Chi phí tài chính,Financial expenses,financial_expenses,-25000865019.0,-38865683546.0,-68675993454.0,-60556315911.0,-53111687883.0,-69245533980.0,-54748007258.0,-45504981671.0
Chi phí lãi vay,Interest expenses,interest_expenses,-23672056892.0,-35660729653.0,-60897297334.0,-53948378777.0,-52972619514.0,-67766046630.0,-53563862212.0,-42051844439.0
Chi phí bán hàng,Selling expenses,selling_expenses,-9959269263.0,-6162323586.0,-8289163967.0,-12221292741.0,-7731330323.0,-11466120364.0,-14211625382.0,-27944729833.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-13775298429.0,-10003400961.0,-13410952272.0,-9239298725.0,-8302777138.0,-6514450351.0,-10292078253.0,-12217760585.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,82143397139.0,65561719371.0,85192474309.0,88943863616.0,39822871222.0,58023232077.0,69356840600.0,61025544311.0
Thu nhập khác,Other incomes,other_incomes,63064483.0,27360908.0,730020000.0,14348500.0,33768250.0,83.0,1803.0,650558.0
Chi phí khác,Other expenses,other_expenses,-596752335.0,-45502462.0,-2616337716.0,-289939262.0,-396060356.0,-349281448.0,-144996198.0,-2066748218.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-533687852.0,-18141554.0,-1886317716.0,-275590762.0,-362292106.0,-349281365.0,-144994395.0,-2066097660.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,81609709287.0,65543577817.0,83306156593.0,88668272854.0,39460579116.0,57673950712.0,69211846205.0,58959446651.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-9758767868.0,-6666886394.0,-7992611909.0,-8569313392.0,-4800128732.0,-5753332191.0,-6939963362.0,-7445744064.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-9758767868.0,-6666886394.0,-7992611909.0,-8569313392.0,-4800128732.0,-5753332191.0,-6939963362.0,-7445744064.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,71850941419.0,58876691423.0,75313544684.0,80098959462.0,34660450384.0,51920618521.0,62271882843.0,51513702587.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,71850941419.0,58876691423.0,75313544684.0,80098959462.0,34660450384.0,51920618521.0,62271882843.0,51513702587.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,1038.0,898.0,1197.0,1433.0,753.0,1129.0,1392.0,1176.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,1038.0,898.0,1197.0,1433.0,753.0,1129.0,1392.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
