item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,15109273137980.0,13739362734289.0,11241164150311.0,11687827152346.0,10961929700091.0,10189067019482.0,7299931189964.0,6795512334046.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-211602683506.0,-165839502391.0,-131163393499.0,-130232486099.0,-149135106950.0,-167483513799.0,-113174016215.0,-121206863230.0
Doanh thu thuần,Net sales,net_sales,14897670454474.0,13573523231898.0,11110000756812.0,11557594666247.0,10812794593141.0,10021583505683.0,7186757173749.0,6674305470816.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-12151103304950.0,-11640078007663.0,-9995759533961.0,-10598058965427.0,-8959835563715.0,-7463897833139.0,-6020208085226.0,-5595581185533.0
Lợi nhuận gộp,Gross Profit,gross_profit,2746567149524.0,1933445224235.0,1114241222851.0,959535700820.0,1852959029426.0,2557685672544.0,1166549088523.0,1078724285283.0
Doanh thu hoạt động tài chính,Financial income,financial_income,78444010150.0,39213381756.0,35776736369.0,28797705334.0,25013151689.0,29935190655.0,27480285000.0,40781927222.0
Chi phí tài chính,Financial expenses,financial_expenses,-261242536014.0,-274645107584.0,-280735411591.0,-200733624698.0,-199009893014.0,-319611291711.0,-294872857938.0,-192635924873.0
Chi phí lãi vay,Interest expenses,interest_expenses,-261108596916.0,-263668549326.0,-261799262786.0,-179749859502.0,-182280276266.0,-309819328258.0,-281784606072.0,-188946659079.0
Chi phí bán hàng,Selling expenses,selling_expenses,-510241872945.0,-469098857795.0,-432440161015.0,-403169934750.0,-405236274419.0,-380425428122.0,-267546339711.0,-258384611438.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-447545834363.0,-391719812986.0,-356355906770.0,-343520530816.0,-344480753443.0,-339149837912.0,-293922671278.0,-281328855897.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,1605455937982.0,835764450626.0,77721029178.0,40918137191.0,934149863644.0,1549363667961.0,338937269596.0,387156820297.0
Thu nhập khác,Other incomes,other_incomes,22078626115.0,21626693797.0,21669113433.0,44442129827.0,47120526924.0,5749436871.0,6690778889.0,14617568062.0
Chi phí khác,Other expenses,other_expenses,-4060999223.0,-3142598219.0,-1640931259.0,-6382198621.0,-1585776115.0,-1139770529.0,-576601928.0,-8415674046.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,18017626892.0,18484095578.0,20028182174.0,38059931206.0,45534750809.0,4609666342.0,6114176961.0,6201894016.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,1623473564874.0,854248546204.0,97749211352.0,78978068397.0,979684614453.0,1553973334303.0,345051446557.0,393358714313.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-123385084269.0,-107594297295.0,-72742017137.0,-73783481300.0,-150126680007.0,-153677301975.0,-39921204333.0,-33123360160.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,6679518021.0,22429503546.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-116705566248.0,-85164793749.0,-72742017137.0,-73783481300.0,-150126680007.0,-153677301975.0,-39921204333.0,-33123360160.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,1506767998626.0,769083752455.0,25007194215.0,5194587097.0,829557934446.0,1400296032328.0,305130242224.0,360235354153.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,1506767998626.0,769083752455.0,25007194215.0,5194587097.0,829557934446.0,1400296032328.0,305130242224.0,360235354153.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,3915.0,2626.0,103.0,21.0,7199.0,13366.0,3349.0,4350.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,3915.0,2626.0,103.0,21.0,7199.0,0.0,3349.0,4350.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,-524978370.0,-1430377000.0,-2765450666.0,8821301.0,4904603405.0,929362507.0,1249765000.0,0.0
