item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,1946612659958.0,1817259164083.0,1731725782465.0,1617008973558.0,1634683825343.0,1329775162011.0,1321006229560.0,1474019031146.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-81233070327.0,-89710776512.0,-79956203506.0,-62187478342.0,-76179492060.0,-72822790468.0,-59277208076.0,-72994714895.0
Doanh thu thuần,Net sales,net_sales,1865379589631.0,1727548387571.0,1651769578959.0,1554821495216.0,1558504333283.0,1256952371543.0,1261729021484.0,1401024316251.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-981000795265.0,-894975138716.0,-853249521398.0,-787169807482.0,-935938713151.0,-765813093618.0,-846933080364.0,-972896278931.0
Lợi nhuận gộp,Gross Profit,gross_profit,884378794366.0,832573248855.0,798520057561.0,767651687734.0,622565620132.0,491139277925.0,414795941120.0,428128037320.0
Doanh thu hoạt động tài chính,Financial income,financial_income,25189164182.0,13359148358.0,14239581472.0,12518937428.0,6320183853.0,7751782188.0,13251147259.0,16074493083.0
Chi phí tài chính,Financial expenses,financial_expenses,-14617224889.0,-16928510396.0,-17891582754.0,-11969951763.0,-8647017046.0,-14325530898.0,-14622931346.0,-12200034045.0
Chi phí lãi vay,Interest expenses,interest_expenses,-3846557387.0,-4058137920.0,-6998419238.0,-1915641694.0,-1324527353.0,-6588854737.0,-10314154786.0,-8365839665.0
Chi phí bán hàng,Selling expenses,selling_expenses,-418308462079.0,-404195096035.0,-375562332884.0,-357370999827.0,-278389055175.0,-220855128023.0,-169937788281.0,-174049858919.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-139794488425.0,-122785668843.0,-125976158264.0,-136941483830.0,-127048044656.0,-88501075564.0,-84108597929.0,-67521210099.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,349127958039.0,329086211870.0,322033584800.0,298674259499.0,230884815741.0,190447729871.0,173817260344.0,201011196080.0
Thu nhập khác,Other incomes,other_incomes,767103104.0,1077222036.0,774352098.0,913945186.0,1869685717.0,2873418777.0,346451564.0,231410778.0
Chi phí khác,Other expenses,other_expenses,-3813024763.0,-5027909575.0,-2721576613.0,-1030440265.0,-306601568.0,-129833251.0,-150425206.0,-216262760.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-3045921659.0,-3950687539.0,-1947224515.0,-116495079.0,1563084149.0,2743585526.0,196026358.0,15148018.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,346082036380.0,325135524331.0,320086360285.0,298557764420.0,232447899890.0,193191315397.0,174013286702.0,201026344098.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-56610180760.0,-55276507052.0,-54408081256.0,-56710430657.0,-46115823912.0,-35316611783.0,-31894302205.0,-38021545804.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,2468308986.0,5322931908.0,3376591417.0,1707783211.0,2791502467.0,-15138798.0,108432740.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-54141871774.0,-49953575144.0,-51031489839.0,-55002647446.0,-43324321445.0,-35331750581.0,-31785869465.0,-38021545804.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,291940164606.0,275181949187.0,269054870446.0,243555116974.0,189123578445.0,157859564816.0,142227417237.0,163004798294.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,291940164606.0,275181949187.0,269054870446.0,243555116974.0,189123578445.0,157859564816.0,142227417237.0,163004798294.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,2674.0,2530.0,2473.0,2799.0,2825.0,2712.0,2444.0,2801.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,2674.0,2530.0,2473.0,2799.0,0.0,2712.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,12280174884.0,27063089931.0,28704019669.0,24786069757.0,16083128633.0,15238404243.0,14439489521.0,10579768740.0
