item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,1349319783540.0,1332626539204.0,1170473131362.0,1036161984911.0,715486224953.0,690600452595.0,756656943174.0,812363794235.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-27730671275.0,-25829097184.0,-26526831118.0,-20476472153.0,-11851884376.0,-19354245629.0,-4642714575.0,-8184180268.0
Doanh thu thuần,Net sales,net_sales,1321589112265.0,1306797442020.0,1143946300244.0,1015685512758.0,703634340577.0,671246206966.0,752014228599.0,804179613967.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-1117345298157.0,-1102093457343.0,-934032409930.0,-733585167845.0,-493482286596.0,-483608912606.0,-564819880378.0,-595819477877.0
Lợi nhuận gộp,Gross Profit,gross_profit,204243814108.0,204703984677.0,209913890314.0,282100344913.0,210152053981.0,187637294360.0,187194348221.0,208360136090.0
Doanh thu hoạt động tài chính,Financial income,financial_income,31862847183.0,34553853539.0,40015732912.0,52991799386.0,59673763675.0,71963631406.0,137492149492.0,54198600982.0
Chi phí tài chính,Financial expenses,financial_expenses,-49399169888.0,-25616815027.0,-33583940979.0,-39829651630.0,-36566954695.0,-34566340332.0,-46522602205.0,-44635647881.0
Chi phí lãi vay,Interest expenses,interest_expenses,-49128551992.0,-25386683521.0,-29170083104.0,-36283010813.0,-31510829843.0,-33263749041.0,-37582151274.0,-34510913496.0
Chi phí bán hàng,Selling expenses,selling_expenses,-80553865161.0,-90926780238.0,-87867999033.0,-104006556577.0,-74481402601.0,-97995858008.0,-128025670549.0,-143884690203.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-65204542290.0,-53947000700.0,-51320009991.0,-49808561587.0,-48889799085.0,-41737260884.0,-46380964339.0,-53723721023.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,40949083952.0,68767242251.0,77157673223.0,141447374505.0,109887661275.0,85301466542.0,103757260620.0,20314677965.0
Thu nhập khác,Other incomes,other_incomes,3492938108.0,490402302.0,1029588506.0,864602475.0,753058200.0,1050144757.0,2935423649.0,3366380727.0
Chi phí khác,Other expenses,other_expenses,-9730676924.0,-480842296.0,-76571439.0,-770411609.0,-356617576.0,-407241009.0,-1959820991.0,-3653205107.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-6237738816.0,9560006.0,953017067.0,94190866.0,396440624.0,642903748.0,975602658.0,-286824380.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,34711345136.0,68776802257.0,78110690290.0,141541565371.0,110284101899.0,85944370290.0,104732863278.0,20027853585.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-9631457102.0,-13138626358.0,-14925818284.0,-32138445139.0,-21195510374.0,-18388989991.0,-17820819933.0,-7100335627.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,-4988685637.0,-1492676197.0,-1050507630.0,3510842301.0,-1332287097.0,1372300463.0,91584503.0,-229488314.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-14620142739.0,-14631302555.0,-15976325914.0,-28627602838.0,-22527797471.0,-17016689528.0,-17729235430.0,-7329823941.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,20091202397.0,54145499702.0,62134364376.0,112913962533.0,87756304428.0,68927680762.0,87003627848.0,12698029644.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,574704570.0,574399649.0,416964245.0,1273066633.0,1795647251.0,2536652011.0,-1470065182.0,163480169.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,19516497827.0,53571100053.0,61717400131.0,111640895900.0,85960657177.0,66391028751.0,88473693030.0,12534549475.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,267.0,733.0,845.0,1591.0,1495.0,1168.0,1557.0,221.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,267.0,733.0,845.0,1591.0,1495.0,966.0,1244.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
