item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,17223063258575.0,13942548247107.0,12949489162606.0,16380039770909.0,10088157082401.0,7716890477631.0,7176575481550.0,6827333782705.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-592132969745.0,-486963097467.0,-378947072778.0,-455512896510.0,-218394177764.0,-155615377213.0,-133608551433.0,-138005245929.0
Doanh thu thuần,Net sales,net_sales,16630930288830.0,13455585149640.0,12570542089828.0,15924526874399.0,9869762904637.0,7561275100418.0,7042966930117.0,6689328536776.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-12582272851807.0,-10942100894031.0,-10538742407968.0,-10221097432231.0,-7088825980325.0,-6244427300529.0,-6083774733267.0,-5252270494230.0
Lợi nhuận gộp,Gross Profit,gross_profit,4048657437023.0,2513484255609.0,2031799681860.0,5703429442168.0,2780936924312.0,1316847799889.0,959192196850.0,1437058042546.0
Doanh thu hoạt động tài chính,Financial income,financial_income,394907720595.0,381803898252.0,577088490762.0,301008063317.0,167531907804.0,128316681426.0,127016141703.0,176153015449.0
Chi phí tài chính,Financial expenses,financial_expenses,-97431215423.0,-76569107528.0,-27372487527.0,-60402056552.0,-45072929624.0,-63234525222.0,-102753481637.0,-260130153544.0
Chi phí lãi vay,Interest expenses,interest_expenses,-70405254339.0,-44380805249.0,-10155714106.0,-10274784277.0,-18580201013.0,-43301059166.0,-87172530234.0,-142052771852.0
Chi phí bán hàng,Selling expenses,selling_expenses,-1175971610853.0,-1014369800748.0,-800631458171.0,-698294873644.0,-420401252844.0,-369000315151.0,-364058697253.0,-336114695573.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-967950624433.0,-481047001909.0,-548556889165.0,-652594258961.0,-528491737615.0,-304406663012.0,-201319201758.0,-320103363112.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,2202211706909.0,1323302243676.0,1232327337759.0,4593146316328.0,1954502912033.0,708522977930.0,418076957905.0,696862845766.0
Thu nhập khác,Other incomes,other_incomes,7039593354.0,199876759197.0,24751516067.0,15225626021.0,4371195381.0,10735344253.0,48483380378.0,14253913513.0
Chi phí khác,Other expenses,other_expenses,-1816308796.0,-1115514682.0,-2269270186.0,-12059177506.0,-2604118573.0,-2724517878.0,-3472166901.0,-4918116503.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,5223284558.0,198761244515.0,22482245881.0,3166448515.0,1767076808.0,8010826375.0,45011213477.0,9335797010.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,2207434991467.0,1522063488191.0,1254809583640.0,4596312764843.0,1956269988841.0,716533804305.0,463088171382.0,706198642776.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-260385153457.0,-99848202450.0,-146468525391.0,-269999355705.0,-138029455566.0,-52561609356.0,-41017685327.0,-45721096790.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,14787786575.0,5791295701.0,1801658643.0,-5232674603.0,7883753661.0,-1525860678.0,5653243037.0,-1418130142.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-245597366882.0,-94056906749.0,-144666866748.0,-275232030308.0,-130145701905.0,-54087470034.0,-35364442290.0,-47139226932.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,1961837624585.0,1428006581442.0,1110142716892.0,4321080734535.0,1826124286936.0,662446334271.0,427723729092.0,659059415844.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,2025190089.0,8348643400.0,1249891810.0,5127444946.0,2665229221.0,1400260079.0,1548499702.0,2914465115.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,1959812434496.0,1419657938042.0,1108892825082.0,4315953289589.0,1823459057715.0,661046074192.0,426175229390.0,656144950729.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,3203.0,2394.0,1797.0,7701.0,3073.0,1017.0,595.0,1114.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,3073.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
