item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,27242826032601.0,22561138071715.0,18867240821638.0,22107364604910.0,21302662313033.0,12709255795237.0,8603202748708.0,5998266652845.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-611280262354.0,-482305929549.0,-49765473917.0,-79229675376.0,-379848844254.0,-173617957807.0,-115134138593.0,-60896006044.0
Doanh thu thuần,Net sales,net_sales,26631545770247.0,22078832142166.0,18817475347721.0,22028134929534.0,20922813468779.0,12535637837430.0,8488068610115.0,5937370646801.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-24320550712820.0,-20023348736267.0,-17257979824162.0,-20365038536063.0,-19414819300276.0,-11732855520719.0,-7939942178839.0,-5568464365609.0
Lợi nhuận gộp,Gross Profit,gross_profit,2310995057427.0,2055483405899.0,1559495523559.0,1663096393471.0,1507994168503.0,802782316711.0,548126431276.0,368906281192.0
Doanh thu hoạt động tài chính,Financial income,financial_income,264415037965.0,191523696921.0,194553722080.0,209046617972.0,180130142609.0,82757303963.0,60625155829.0,32404635435.0
Chi phí tài chính,Financial expenses,financial_expenses,-317285550590.0,-162847478137.0,-139371754796.0,-144032907196.0,-42367478869.0,-33181287473.0,-51400224746.0,-38818358718.0
Chi phí lãi vay,Interest expenses,interest_expenses,-138276822812.0,-96102142900.0,-122212057838.0,-94462125254.0,-31886522705.0,-27018043416.0,-47582349664.0,-32134890085.0
Chi phí bán hàng,Selling expenses,selling_expenses,-1368530734060.0,-1284703148478.0,-943855496764.0,-722407497398.0,-708282903403.0,-434359274700.0,-248282992922.0,-134531147963.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-224313930431.0,-244263029014.0,-198420426467.0,-135818669800.0,-113703929084.0,-90216582365.0,-100526980788.0,-91237772756.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,667779538129.0,556488874659.0,469337679478.0,868057505984.0,821392399676.0,331959203750.0,209916860861.0,137313270181.0
Thu nhập khác,Other incomes,other_incomes,36357518682.0,21876282047.0,11079388836.0,2080047652.0,1251414527.0,3265352454.0,4819211033.0,4272101687.0
Chi phí khác,Other expenses,other_expenses,-15047152641.0,-9414383954.0,-9847644196.0,-7769877426.0,-2804554398.0,-1466670448.0,-4382507063.0,-1949388374.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,21310366041.0,12461898093.0,1231744640.0,-5689829774.0,-1553139871.0,1798682006.0,436703970.0,2322713313.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,689089904170.0,568950772752.0,470569424118.0,862367676210.0,819839259805.0,333757885756.0,210353564831.0,139635983494.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-173900781264.0,-142724165244.0,-91481029554.0,-175167174169.0,-220854928421.0,-85719653100.0,-60339651533.0,-31502510487.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,39708036712.0,22320702746.0,-16497260293.0,-3598155250.0,55914320232.0,19298926092.0,13165554931.0,1391316185.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-134192744552.0,-120403462498.0,-107978289847.0,-178765329419.0,-164940608189.0,-66420727008.0,-47174096602.0,-30111194302.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,554897159618.0,448547310254.0,362591134271.0,683602346791.0,654898651616.0,267337158748.0,163179468229.0,109524789192.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,7565923076.0,4670291977.0,8198656205.0,-180940291.0,525847650.0,165387319.0,-1277570260.0,-1405805895.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,547331236542.0,443877018277.0,354392478066.0,683783287082.0,654372803966.0,267171771429.0,164457038489.0,110930595087.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,2492.0,2003.0,1655.0,4219.0,4157.0,6259.0,3961.0,2735.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,2492.0,2003.0,1655.0,4219.0,4157.0,6259.0,3961.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,2499657818.0,1295427468.0,-3063888134.0,-1826431065.0,-2377600080.0,4176727614.0,1375472212.0,589632991.0
