item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,3633053711641.0,3597426318483.0,3261255035745.0,3935865493523.0,4164826385369.0,2887713712689.0,1430030972251.0,926843746364.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-2014292945.0,-919173754.0,-2346494143.0,-1138734067.0,-495850816.0,-143188500.0,-144865700.0,-190041900.0
Doanh thu thuần,Net sales,net_sales,3631039418696.0,3596507144729.0,3258908541602.0,3934726759456.0,4164330534553.0,2887570524189.0,1429886106551.0,926653704464.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-3043637017374.0,-3170476832202.0,-2755379718199.0,-3323855691165.0,-3491679314664.0,-2339353334338.0,-1126524279929.0,-722034204484.0
Lợi nhuận gộp,Gross Profit,gross_profit,587402401322.0,426030312527.0,503528823403.0,610871068291.0,672651219889.0,548217189851.0,303361826622.0,204619499980.0
Doanh thu hoạt động tài chính,Financial income,financial_income,64297215734.0,34469814218.0,29113353819.0,20631569074.0,14732993119.0,9949607631.0,3809918583.0,2366792683.0
Chi phí tài chính,Financial expenses,financial_expenses,-38640008373.0,-38593394632.0,-38098931655.0,-42009199350.0,-17141484680.0,-40710822367.0,-30207216323.0,-14798276150.0
Chi phí lãi vay,Interest expenses,interest_expenses,-33529232355.0,-22885715787.0,-33205155630.0,-19111142447.0,-15763593086.0,-38736882563.0,-29931705195.0,-11279446826.0
Chi phí bán hàng,Selling expenses,selling_expenses,-123029454669.0,-112803009661.0,-108078537833.0,-119423890402.0,-120440937631.0,-87998170475.0,-49009092405.0,-26367617096.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-40501206156.0,-39651125697.0,-37809201984.0,-38049892173.0,-41692957953.0,-23754855757.0,-19778850170.0,-14339414308.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,450065190258.0,271089341970.0,350550348467.0,432349018066.0,508543998282.0,406818736316.0,208176586307.0,151480985109.0
Thu nhập khác,Other incomes,other_incomes,7280558780.0,8274184800.0,7856443647.0,5480525221.0,3119005663.0,3995596254.0,12188273828.0,4834321597.0
Chi phí khác,Other expenses,other_expenses,-15566449.0,-140725777.0,-308737825.0,-670686768.0,-98721417.0,-753786831.0,-29511039.0,-1353848931.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,7264992331.0,8133459023.0,7547705822.0,4809838453.0,3020284246.0,3241809423.0,12158762789.0,3480472666.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,457330182589.0,279222800993.0,358098054289.0,437158856519.0,511564282528.0,410060545739.0,220335349096.0,154961457775.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-64313115425.0,-37951251211.0,-47428673145.0,-58223965763.0,-30334428236.0,-18136957853.0,-38747732891.0,-20845579465.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,71268403.0,925102430.0,-1330992405.0,523693661.0,110376323.0,0.0,0.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-64241847022.0,-37026148781.0,-48759665550.0,-57700272102.0,-30224051913.0,-18136957853.0,-38747732891.0,-20845579465.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,393088335567.0,242196652212.0,309338388739.0,379458584417.0,481340230615.0,391923587886.0,181587616205.0,134115878310.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,21943852.0,129668740.0,0.0,0.0,0.0,0.0,0.0,0.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,393066391715.0,242066983472.0,309338388739.0,379458584417.0,481340230615.0,391923587886.0,181587616205.0,134115878310.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,3988.0,2460.0,3766.0,4620.0,5860.0,6999.0,3383.0,3178.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,3988.0,2460.0,3766.0,4620.0,5860.0,6999.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,536242400.0,1636745215.0,1894842717.0,329362626.0,435165538.0,1115787433.0,0.0,0.0
