item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,6136905368338.0,5714422855630.0,5767734511921.0,5181739797774.0,4522014622470.0,4206732382220.0,4413958643618.0,4421559894432.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-869942684288.0,-829555200538.0,-752339471200.0,-505723789947.0,-518844205371.0,-451113070896.0,-517204814394.0,-539431684721.0
Doanh thu thuần,Net sales,net_sales,5266962684050.0,4884867655092.0,5015395040721.0,4676016007827.0,4003170417099.0,3755619311324.0,3896753829224.0,3882128209711.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-2760593928931.0,-2747101521942.0,-2671849997386.0,-2418521064699.0,-2082259824914.0,-1944243042082.0,-2184461607643.0,-2165405025080.0
Lợi nhuận gộp,Gross Profit,gross_profit,2506368755119.0,2137766133150.0,2343545043335.0,2257494943128.0,1920910592185.0,1811376269242.0,1712292221581.0,1716723184631.0
Doanh thu hoạt động tài chính,Financial income,financial_income,133235749052.0,148119966008.0,217890286468.0,137142907707.0,122939313054.0,140432017346.0,122487815915.0,107785026956.0
Chi phí tài chính,Financial expenses,financial_expenses,-81590241255.0,-89739210554.0,-90909165233.0,-101162960616.0,-99190812380.0,-119182682485.0,-98859012607.0,-96053992493.0
Chi phí lãi vay,Interest expenses,interest_expenses,-25635277644.0,-24810529888.0,-29529505062.0,-12558694966.0,-12080103631.0,-14029596510.0,-22715202068.0,-28523706808.0
Chi phí bán hàng,Selling expenses,selling_expenses,-1157316021444.0,-904667099165.0,-978424470755.0,-913204497923.0,-802955208315.0,-699298275858.0,-687045221994.0,-724884959648.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-396384204006.0,-312823418686.0,-312839173012.0,-268212758590.0,-257171743291.0,-302861761740.0,-333829908766.0,-285637232611.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,1004314037466.0,978656370753.0,1179262520803.0,1112057633706.0,884532141253.0,829964929048.0,714933264423.0,717845099044.0
Thu nhập khác,Other incomes,other_incomes,10448790264.0,5315643375.0,5105942083.0,9673632221.0,1931180500.0,6031473208.0,15583127368.0,18209846265.0
Chi phí khác,Other expenses,other_expenses,-28163560553.0,-79487447312.0,-25194077802.0,-22117946991.0,-22461429911.0,-14972488544.0,-17321295887.0,-4272517757.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-17714770289.0,-74171803937.0,-20088135719.0,-12444314770.0,-20530249411.0,-8941015336.0,-1738168519.0,13937328508.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,986599267177.0,904484566816.0,1159174385084.0,1099613318936.0,864001891842.0,821023913712.0,713195095904.0,731782427552.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-141835055480.0,-127031756728.0,-109539123098.0,-109468546668.0,-89184316760.0,-86210837298.0,-83855680646.0,-55332650287.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,7589895885.0,-1467309872.0,1027396709.0,-1690126196.0,1467218705.0,3720732628.0,1924038290.0,-25360746447.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-134245159595.0,-128499066600.0,-108511726389.0,-111158672864.0,-87717098055.0,-82490104670.0,-81931642356.0,-80693396734.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,852354107582.0,775985500216.0,1050662658695.0,988454646072.0,776284793787.0,738533809042.0,631263453548.0,651089030818.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,0.0,0.0,0.0,0.0,-934932246.0,-1341091303.0,-4124642566.0,-1940415499.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,852354107582.0,775985500216.0,1050662658695.0,988454646072.0,777219726033.0,739874900345.0,635388096114.0,653029446317.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,6308.0,5763.0,7780.0,7318.0,5720.0,5443.0,4668.0,4445.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,5763.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,-500637457.0,-112629706.0,-86927791.0
