item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,2402749241489.0,2087096726853.0,2000599327142.0,1837469503390.0,1609495349224.0,2007078938478.0,2042749649511.0,1705344941651.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-709049230.0,-743902240.0,-1295659587.0,-74898746.0,-131339365.0,-603768936.0,-514326541.0,0.0
Doanh thu thuần,Net sales,net_sales,2402040192259.0,2086352824613.0,1999303667555.0,1837394604644.0,1609364009859.0,2006475169542.0,2042235322970.0,1705344941651.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-2192851071656.0,-1866534425409.0,-1795972302356.0,-1650138175756.0,-1455341542511.0,-1767422172628.0,-1790834772019.0,-1464033579166.0
Lợi nhuận gộp,Gross Profit,gross_profit,209189120603.0,219818399204.0,203331365199.0,187256428888.0,154022467348.0,239052996914.0,251400550951.0,241311362485.0
Doanh thu hoạt động tài chính,Financial income,financial_income,30213306880.0,19543979095.0,19613969199.0,25119593408.0,30724604694.0,14354544701.0,19555222770.0,20663377592.0
Chi phí tài chính,Financial expenses,financial_expenses,-19808001279.0,-20128937334.0,-23744283467.0,-16435313942.0,-14099188588.0,-16401441493.0,-14774915030.0,-13453610464.0
Chi phí lãi vay,Interest expenses,interest_expenses,-13056306308.0,-13449114864.0,-20099340372.0,-14303549138.0,-13993022062.0,-13323351965.0,-14672444516.0,-12863068845.0
Chi phí bán hàng,Selling expenses,selling_expenses,-36607550186.0,-30073124462.0,-27171762848.0,-23611608588.0,-25876254960.0,-55395213547.0,-86870321168.0,-81779767034.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-131870702998.0,-113232711497.0,-76943526555.0,-61194688833.0,-66076396117.0,-74237448035.0,-66370986735.0,-71068005277.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,58505083820.0,82683615726.0,99256443426.0,114105294075.0,80691633605.0,108736430585.0,103656534489.0,96759479310.0
Thu nhập khác,Other incomes,other_incomes,15684061260.0,13745762236.0,11410459960.0,9451734850.0,9243892239.0,11894463346.0,9036347799.0,9129079150.0
Chi phí khác,Other expenses,other_expenses,-879677350.0,-1207631687.0,-323320429.0,-333475220.0,-422578596.0,-95000000.0,-32900565.0,-1010769.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,14804383910.0,12538130549.0,11087139531.0,9118259630.0,8821313643.0,11799463346.0,9003447234.0,9128068381.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,73309467730.0,95221746275.0,110343582957.0,123223553705.0,89512947248.0,120535893931.0,112659981723.0,105887547691.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-15454737731.0,-20027682840.0,-21382483365.0,-24259059410.0,-18122945188.0,-23772713505.0,-22666912340.0,-20705854782.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,1185726662.0,0.0,0.0,0.0,0.0,-654305794.0,29742954.0,-212556713.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-14269011069.0,-20027682840.0,-21382483365.0,-24259059410.0,-18122945188.0,-24427019299.0,-22637169386.0,-20918411495.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,59040456661.0,75194063435.0,88961099592.0,98964494295.0,71390002060.0,96108874632.0,90022812337.0,84969136196.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,5383623054.0,3422243983.0,3905546227.0,3753148359.0,3444483033.0,4061379152.0,3789615713.0,3888807567.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,53656833607.0,71771819452.0,85055553365.0,95211345936.0,67945519027.0,92047495480.0,86233196624.0,81080328629.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,645.0,872.0,1682.0,3605.0,2593.0,4357.1,4242.39,4985.88
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,3485.68,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,7388910800.0,6756010720.0,4170681898.0,2970883142.0,1996401228.0,1362992045.0,716983701.0,1086122008.0
