item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,4789105206000.0,1531489886037.0,1039100785050.0,1930222593732.0,2585736268742.0,2503768921575.0,2139478786862.0,2459138866544.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-71437967173.0,-230490942709.0,-13354083325.0,-33533871455.0,-17047424303.0,-16594906022.0,-23734413231.0,-114130721025.0
Doanh thu thuần,Net sales,net_sales,4717667238827.0,1300998943328.0,1025746701725.0,1896688722277.0,2568688844439.0,2487174015553.0,2115744373631.0,2345008145519.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-3601415457075.0,-1002803572463.0,-782177229183.0,-1264377255725.0,-1729198714955.0,-1846705794144.0,-1475079355633.0,-1780424589133.0
Lợi nhuận gộp,Gross Profit,gross_profit,1116251781752.0,298195370865.0,243569472542.0,632311466552.0,839490129484.0,640468221409.0,640665017998.0,564583556386.0
Doanh thu hoạt động tài chính,Financial income,financial_income,65972872839.0,117144956019.0,227609195429.0,86806112261.0,36549319322.0,26858495762.0,197545575808.0,154963084314.0
Chi phí tài chính,Financial expenses,financial_expenses,-100718815894.0,-28480620434.0,-118446839583.0,-264888595709.0,-107050252422.0,-56725752191.0,-26619168032.0,-60482178639.0
Chi phí lãi vay,Interest expenses,interest_expenses,-97242285512.0,-47361629699.0,-97694058059.0,-243164900279.0,-96056007775.0,-37386634438.0,-37280602441.0,-21663032812.0
Chi phí bán hàng,Selling expenses,selling_expenses,-65503843189.0,-43616009912.0,-42315124804.0,-102059681942.0,-197134334653.0,-144047086829.0,-114152311617.0,-107969204566.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-206032413963.0,-180302907673.0,-153551923652.0,-173817663571.0,-154539356736.0,-150149648357.0,-150401335317.0,-142520178119.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,821417550516.0,162504720117.0,138879179502.0,184160682449.0,484025512934.0,287390072272.0,533148993670.0,339398173750.0
Thu nhập khác,Other incomes,other_incomes,38602868802.0,20871285186.0,83469205680.0,28616094181.0,886742886827.0,626902746353.0,49846064763.0,112238227784.0
Chi phí khác,Other expenses,other_expenses,-35770298067.0,-25287593359.0,-56462284024.0,-13989752029.0,-89211450948.0,-14447731555.0,-111713857888.0,-23353061440.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,2832570735.0,-4416308173.0,27006921656.0,14626342152.0,797531435879.0,612455014798.0,-61867793125.0,88885166344.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,824250121251.0,158088411944.0,165886101158.0,198787024601.0,1281556948813.0,899845087070.0,471281200545.0,428283340094.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-186158243727.0,-76029395092.0,-52587951582.0,-41429529642.0,-291120609581.0,-133178726195.0,-128380729770.0,-89843842261.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,-31685069936.0,19845281860.0,-1674941019.0,34008541512.0,-495066446.0,-44770230443.0,28922160839.0,-5514419546.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-217843313663.0,-56184113232.0,-54262892601.0,-7420988130.0,-291615676027.0,-177948956638.0,-99458568931.0,-95358261807.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,606406807588.0,101904298712.0,111623208557.0,191366036471.0,989941272786.0,721896130432.0,371822631614.0,332925078287.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,-40052424044.0,-12631627838.0,-7103871126.0,47237777683.0,3786992001.0,10658224669.0,-19167012971.0,8933172334.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,646459231632.0,114535926550.0,118727079683.0,144128258788.0,986154280785.0,711237905763.0,390989644585.0,323991905953.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,988.0,188.0,195.0,225.0,1689.0,2157.0,1286.0,1233.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,2157.0,1286.0,1233.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,11447968971.0,-436068748.0,-17985600430.0,5809044858.0,66710007939.0,-29014157522.0,-13888785170.0,-69176905626.0
