item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,793055455819.0,525470723348.0,281272879044.0,279285104532.0,100694340695.0,188610514367.0,201026788860.0,184438455334.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-1084850.0,-2721335.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,793054370969.0,525468002013.0,281272879044.0,279285104532.0,100694340695.0,188610514367.0,201026788860.0,184438455334.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-639522477454.0,-342532281754.0,-143361920645.0,-154405590014.0,-94707327895.0,-184304673679.0,-194036663359.0,-172715240214.0
Lợi nhuận gộp,Gross Profit,gross_profit,153531893515.0,182935720259.0,137910958399.0,124879514518.0,5987012800.0,4305840688.0,6990125501.0,11723215120.0
Doanh thu hoạt động tài chính,Financial income,financial_income,42458451947.0,32192806953.0,71445902439.0,71867559186.0,44441723316.0,50999008828.0,56578775390.0,62943319689.0
Chi phí tài chính,Financial expenses,financial_expenses,-59076585018.0,-130952776250.0,-128872791447.0,-125460106806.0,-18104455851.0,-15592605552.0,-20598197951.0,-16954494622.0
Chi phí lãi vay,Interest expenses,interest_expenses,-61642362981.0,-69459817485.0,-105462046335.0,-122424127308.0,-13487506920.0,-15592605552.0,-20598197851.0,-16954494622.0
Chi phí bán hàng,Selling expenses,selling_expenses,-8641595533.0,-3110007165.0,-1272553559.0,-1480396089.0,-937314637.0,-1304688537.0,-1168153123.0,-1248812652.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-107662508939.0,-71188953374.0,-29193312660.0,-26223747337.0,-1761183532.0,2759343244.0,-12752665991.0,-9040976847.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,55161801453.0,33131608039.0,70483387616.0,69051102735.0,49804551985.0,41281051050.0,29047442972.0,47422250688.0
Thu nhập khác,Other incomes,other_incomes,2852007341.0,184955451.0,1377185376.0,30649507.0,28050880.0,0.0,90000000.0,1626202384.0
Chi phí khác,Other expenses,other_expenses,-755569925.0,-2221016609.0,-79300582.0,-815932128.0,-196167282.0,-35339377.0,-10408425520.0,-23708748869.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,2096437416.0,-2036061158.0,1297884794.0,-785282621.0,-168116402.0,-35339377.0,-10318425520.0,-22082546485.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,57258238869.0,31095546881.0,71781272410.0,68265820114.0,49636435583.0,41245711673.0,18729017452.0,25339704203.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-12120262043.0,-2984448997.0,-1211691668.0,-1393530438.0,-4219469114.0,-5821175960.0,-2723552754.0,-6667628874.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,-67849916.0,-1723776187.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-12188111959.0,-4708225184.0,-1211691668.0,-1393530438.0,-4219469114.0,-5821175960.0,-2723552754.0,-6667628874.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,45070126910.0,26387321697.0,70569580742.0,66872289676.0,45416966469.0,35424535713.0,16005464698.0,18672075329.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,41015846237.0,25000836114.0,28381956868.0,21570283144.0,164804020.0,25147319.0,112273837.0,557710113.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,4054280673.0,1386485583.0,42187623874.0,45302006532.0,45252162449.0,35399388394.0,15893190861.0,18114365216.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,35.0,13.0,397.0,426.0,447.0,350.0,157.0,179.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,22.0,13.0,397.0,249.0,426.0,350.0,157.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,34552145481.0,23254817616.0,20465184444.0,25468279263.0,20178769889.0,114152379.0,-2440854.0,0.0
