item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,2069012016718.0,1903750269217.0,1721604258102.0,1593498072152.0,1567817504900.0,1542266916248.0,1533850591042.0,1463997591211.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-1694606102.0,-4323396996.0,-2572436084.0,-771324149.0,-69422658310.0,-90313130697.0,-65460281351.0,-78909099754.0
Doanh thu thuần,Net sales,net_sales,2067317410616.0,1899426872221.0,1719031822018.0,1592726748003.0,1498394846590.0,1451953785551.0,1468390309691.0,1385088491457.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-1658209047767.0,-1481946549656.0,-1346931240310.0,-1139838059083.0,-1096779308875.0,-1013487938481.0,-975656507824.0,-896095666781.0
Lợi nhuận gộp,Gross Profit,gross_profit,409108362849.0,417480322565.0,372100581708.0,452888688920.0,401615537715.0,438465847070.0,492733801867.0,488992824676.0
Doanh thu hoạt động tài chính,Financial income,financial_income,29875326846.0,29682960938.0,44221788788.0,23557046390.0,14267642239.0,17662647779.0,20007170351.0,21072473719.0
Chi phí tài chính,Financial expenses,financial_expenses,-6299633021.0,-6124369794.0,-5209506345.0,-10108004704.0,-2709042592.0,756533454.0,-1353416323.0,-2523401458.0
Chi phí lãi vay,Interest expenses,interest_expenses,-92688396.0,0.0,0.0,0.0,0.0,-374528767.0,-1159333999.0,-203968772.0
Chi phí bán hàng,Selling expenses,selling_expenses,-108984973461.0,-113723949053.0,-113670541095.0,-146216724157.0,-144898379173.0,-153381251974.0,-145891689430.0,-138614539773.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-79323359185.0,-77727968859.0,-74986552020.0,-72188363768.0,-70312214024.0,-81909040607.0,-79894674347.0,-86454724444.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,244375724028.0,249586995797.0,222455771036.0,247932642681.0,197963544165.0,221594735722.0,285601192118.0,282472632720.0
Thu nhập khác,Other incomes,other_incomes,4138666826.0,3867932791.0,6720800470.0,2321768829.0,1240924310.0,3150819263.0,5375202019.0,3792367987.0
Chi phí khác,Other expenses,other_expenses,-361845887.0,-5350057.0,-1805924.0,-55979457.0,-137994.0,-179675063.0,-60781490.0,-175391669.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,3776820939.0,3862582734.0,6718994546.0,2265789372.0,1240786316.0,2971144200.0,5314420529.0,3616976318.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,248152544967.0,253449578531.0,229174765582.0,250198432053.0,199204330481.0,224565879922.0,290915612647.0,286089609038.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-49754813383.0,-50742920930.0,-45842004804.0,-50122573035.0,-39922462186.0,-45030678894.0,-54386519134.0,-52285625200.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,0.0,0.0,0.0,0.0,0.0,0.0,-3894501049.0,-5032336448.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-49754813383.0,-50742920930.0,-45842004804.0,-50122573035.0,-39922462186.0,-45030678894.0,-58281020183.0,-57317961648.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,198397731584.0,202706657601.0,183332760778.0,200075859018.0,159281868295.0,179535201028.0,232634592464.0,228771647390.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,198397731584.0,202706657601.0,183332760778.0,200075859018.0,159281868295.0,179535201028.0,232634592464.0,228771647390.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,4856.0,4962.0,4487.0,5761.0,4128.0,5170.0,6699.0,6588.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,4856.0,4962.0,4487.0,5761.0,4128.0,5170.0,6699.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
