item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,4483983693366.0,3577535172372.0,3450139573539.0,3319477249236.0,2545455736494.0,2118335540207.0,1973182830498.0,1572626987410.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,4483983693366.0,3577535172372.0,3450139573539.0,3319477249236.0,2545455736494.0,2118335540207.0,1973182830498.0,1572626987410.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-3806406745660.0,-3030788007008.0,-2865193333270.0,-2398467125688.0,-1670366356209.0,-1524079432151.0,-1411722745827.0,-1220434075004.0
Lợi nhuận gộp,Gross Profit,gross_profit,677576947706.0,546747165364.0,584946240269.0,921010123548.0,875089380285.0,594256108056.0,561460084671.0,352192912406.0
Doanh thu hoạt động tài chính,Financial income,financial_income,17307490098.0,17788235041.0,28441627345.0,36146069592.0,23969227390.0,19657415413.0,16860531267.0,11744901335.0
Chi phí tài chính,Financial expenses,financial_expenses,-117818991393.0,-113676571732.0,-201060042051.0,-181741813596.0,-166595804142.0,-193094609642.0,-212699443331.0,-131496194103.0
Chi phí lãi vay,Interest expenses,interest_expenses,-116270914765.0,-113018336516.0,-181379090447.0,-181070575358.0,-166070016642.0,-192559677468.0,-211331030803.0,-129200655186.0
Chi phí bán hàng,Selling expenses,selling_expenses,-10433926363.0,-1728069412.0,-9831759665.0,-99951682011.0,-166689469264.0,-72074897906.0,-36399325798.0,0.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-87586805655.0,-95198383107.0,-84716421626.0,-90496134744.0,-61926549088.0,-61283495658.0,-63039668862.0,-58359304441.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,492414813956.0,353932376154.0,317779644272.0,584966562789.0,503846785181.0,287460520263.0,266182177947.0,174082315197.0
Thu nhập khác,Other incomes,other_incomes,1614274698.0,3472363701.0,805042288.0,3421401351.0,17027163019.0,4504004656.0,18982916124.0,14929561708.0
Chi phí khác,Other expenses,other_expenses,-7900048448.0,-13549549753.0,-1476924128.0,-4284939666.0,-1724713467.0,-650204070.0,-631335128.0,-747975374.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-6285773750.0,-10077186052.0,-671881840.0,-863538315.0,15302449552.0,3853800586.0,18351580996.0,14181586334.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,486129040206.0,343855190102.0,317107762432.0,584103024474.0,519149234733.0,291314320849.0,284533758943.0,188263901531.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-48607383600.0,-40041056358.0,-36806251741.0,-67125174282.0,-70957267857.0,-48939214061.0,-77668804991.0,-48041673827.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,7616232606.0,281028299.0,2385212812.0,2334880088.0,934649792.0,-6429198647.0,15880087214.0,17161910773.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-40991150994.0,-39760028059.0,-34421038929.0,-64790294194.0,-70022618065.0,-55368412708.0,-61788717777.0,-30879763054.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,445137889212.0,304095162043.0,282686723503.0,519312730280.0,449126616668.0,235945908141.0,222745041166.0,157384138477.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,118008697808.0,80226863464.0,79643243618.0,136057547079.0,107177022170.0,40935946794.0,29182161098.0,19101824565.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,327129191404.0,223868298579.0,203043479885.0,383255183201.0,341949594498.0,195009961347.0,193562880068.0,138282313912.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,3207.0,3553.0,3223.0,6047.0,5438.0,4392.0,4201.0,4484.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,3207.0,3553.0,3223.0,6047.0,5438.0,4392.0,4201.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,13370099563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
