item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,1188730846501.0,1225313177658.0,1041911277064.0,1211541255258.0,1217826616841.0,1138040948029.0,1033254234073.0,1030080220175.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-725729691.0,-857966815.0,-788875959.0,-809423681.0,-985491573.0,-442888715.0,-175395455.0,-29408251.0
Doanh thu thuần,Net sales,net_sales,1188005116810.0,1224455210843.0,1041122401105.0,1210731831577.0,1216841125268.0,1137598059314.0,1033078838618.0,1030050811924.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-725996456825.0,-834797705801.0,-766697449738.0,-843545850393.0,-786532015939.0,-817653058668.0,-762643927813.0,-685179592014.0
Lợi nhuận gộp,Gross Profit,gross_profit,462008659985.0,389657505042.0,274424951367.0,367185981184.0,430309109329.0,319945000646.0,270434910805.0,344871219910.0
Doanh thu hoạt động tài chính,Financial income,financial_income,113761036032.0,97934843374.0,120128343531.0,67658674202.0,47456547396.0,64066605701.0,68669022883.0,65197162556.0
Chi phí tài chính,Financial expenses,financial_expenses,-2806834059.0,-9364312603.0,-5774049016.0,-2018402871.0,-6898180726.0,-14747266684.0,-22917326767.0,-15694124623.0
Chi phí lãi vay,Interest expenses,interest_expenses,0.0,0.0,0.0,-956705419.0,-4985930163.0,-14314552756.0,-18173462191.0,-9660481458.0
Chi phí bán hàng,Selling expenses,selling_expenses,-14311422913.0,-20101086432.0,-22057210239.0,-26842981825.0,-32850338103.0,-19322999825.0,-19411163034.0,-16193621013.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-174205743165.0,-139738536359.0,-94235246278.0,-95332797276.0,-85666204569.0,-91544469309.0,-81561485357.0,-87237744199.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,384445695880.0,318388413022.0,272486789365.0,310650473414.0,352350933327.0,258396870529.0,215213958530.0,290942892631.0
Thu nhập khác,Other incomes,other_incomes,57751576764.0,85253375988.0,54547454864.0,62835514328.0,261818524550.0,24025827094.0,37481743158.0,34393278812.0
Chi phí khác,Other expenses,other_expenses,-17070001659.0,-25954235348.0,-23070515919.0,-16856952548.0,-36824535873.0,-13077379748.0,-8827904183.0,-23692615664.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,40681575105.0,59299140640.0,31476938945.0,45978561780.0,224993988677.0,10948447346.0,28653838975.0,10700663148.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,425127270985.0,377687553662.0,303963728310.0,356629035194.0,577344922004.0,269345317875.0,243867797505.0,301643555779.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-84056632184.0,-52466215723.0,-42909137943.0,-58660965355.0,-108618382158.0,-56677573515.0,-53320592026.0,-67438007587.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,-480930339.0,-966618898.0,-6949972137.0,-2450377381.0,3850994863.0,-979544130.0,617199378.0,832868842.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-84537562523.0,-53432834621.0,-49859110080.0,-61111342736.0,-104767387295.0,-57657117645.0,-52703392648.0,-66605138745.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,340589708462.0,324254719041.0,254104618230.0,295517692458.0,472577534709.0,211688200230.0,191164404857.0,235038417034.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,51654600922.0,62261605913.0,45263315814.0,43225691217.0,41502340516.0,33749260785.0,8265272153.0,-309823479.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,288935107540.0,261993113128.0,208841302416.0,252292001241.0,431075194193.0,177938939445.0,182899132704.0,235348240513.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,3325.0,2491.0,3388.0,5083.0,10335.0,4435.0,4558.0,5865.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,3325.0,2491.0,3388.0,2528.0,5089.0,4435.0,4558.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
