item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,929191193705.0,824040711992.0,871690534552.0,1001212764349.0,749314622206.0,946476171179.0,830514780559.0,1190420955653.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-9437038650.0,-10412679905.0,-12672316301.0,-11568102731.0,-15483257044.0,-6254483348.0,-5604798161.0,-3037563020.0
Doanh thu thuần,Net sales,net_sales,919754155055.0,813628032087.0,859018218251.0,989644661618.0,733831365162.0,940221687831.0,824909982398.0,1187383392633.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-720141067014.0,-629273657582.0,-579947125904.0,-668697369174.0,-511228392918.0,-707940870334.0,-610778631654.0,-953185103103.0
Lợi nhuận gộp,Gross Profit,gross_profit,199613088041.0,184354374505.0,279071092347.0,320947292444.0,222602972244.0,232280817497.0,214131350744.0,234198289530.0
Doanh thu hoạt động tài chính,Financial income,financial_income,6108019460.0,9282485040.0,8465410548.0,9073212886.0,14400754895.0,20237355181.0,22263170450.0,40908229462.0
Chi phí tài chính,Financial expenses,financial_expenses,-31072901302.0,-28242333991.0,-17691003573.0,-16118919246.0,-1081833282.0,-1189622903.0,-13321062861.0,-7509606659.0
Chi phí lãi vay,Interest expenses,interest_expenses,-7676767990.0,-6059314583.0,-19580793669.0,-9738922274.0,-4086828079.0,-4687067522.0,-4935403164.0,-5190875340.0
Chi phí bán hàng,Selling expenses,selling_expenses,-121645400560.0,-104677919537.0,-203271479530.0,-198479086739.0,-144759306120.0,-156151844030.0,-121477030498.0,-94855715778.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-59112509856.0,-185511607638.0,-103628615392.0,-94751547394.0,-81248255807.0,-82538998279.0,-63767376937.0,-58853021796.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,-2594956836.0,-123582631043.0,-36607573094.0,13915882659.0,24647379819.0,16264961285.0,32990635216.0,110384085660.0
Thu nhập khác,Other incomes,other_incomes,18131505108.0,3045165829.0,6078317631.0,2017830043.0,208182874.0,7232521226.0,5019827265.0,2406430592.0
Chi phí khác,Other expenses,other_expenses,-104588823.0,-296998748.0,-92483410.0,-182391157.0,-56980018.0,-1072795260.0,-1105298344.0,-194816082.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,18026916285.0,2748167081.0,5985834221.0,1835438886.0,151202856.0,6159725966.0,3914528921.0,2211614510.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,15431959449.0,-120834463962.0,-30621738873.0,15751321545.0,24798582675.0,22424687251.0,36905164137.0,112595700170.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-8958869397.0,-1049220974.0,-1015344724.0,-896628505.0,-2039889218.0,-4135033715.0,-6109788328.0,-22612457155.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,-1605385140.0,-22791712.0,-1777208288.0,0.0,0.0,-25776007.0,-1234695671.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-10564254537.0,-1072012686.0,-2792553012.0,-896628505.0,-2039889218.0,-4160809722.0,-7344483999.0,-22612457155.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,4867704912.0,-121906476648.0,-33414291885.0,14854693040.0,22758693457.0,18263877529.0,29560680138.0,89983243015.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,1471773575.0,657756359.0,984315923.0,1090993225.0,1074919993.0,2434605811.0,1025631957.0,1127552043.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,3395931337.0,-122564233007.0,-34398607808.0,13763699815.0,21683773464.0,15829271718.0,28535048181.0,88855690972.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,123.0,-4447.0,-1248.0,499.0,787.0,574.0,1013.0,2558.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,-4447.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,3514747381.0,1212370578.0,447022506.0,-6755069292.0,14733047889.0,3627253819.0,-4838415682.0,-3504089099.0
