item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,5174294179735.0,4852424350104.0,4657643187359.0,5139167142537.0,4635525403051.0,3818765154762.0,4036959549938.0,3749144115471.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-170696771179.0,-179163347156.0,-162468666417.0,-240579419618.0,-256007166877.0,-172124023201.0,-178852120183.0,-198046294401.0
Doanh thu thuần,Net sales,net_sales,5003597408556.0,4673261002948.0,4495174520942.0,4898587722919.0,4379518236174.0,3646641131561.0,3858107429755.0,3551097821070.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-4326116821921.0,-3933319714816.0,-3846521057561.0,-4087848994369.0,-3632392425864.0,-3047252893348.0,-3286729456919.0,-3120380362149.0
Lợi nhuận gộp,Gross Profit,gross_profit,677480586635.0,739941288132.0,648653463381.0,810738728550.0,747125810310.0,599388238213.0,571377972836.0,430717458921.0
Doanh thu hoạt động tài chính,Financial income,financial_income,53140946538.0,69949317232.0,55173602640.0,62020157084.0,37188692933.0,18032626121.0,11738419318.0,11602269446.0
Chi phí tài chính,Financial expenses,financial_expenses,-77671990523.0,-65414281766.0,-57184539532.0,-92250339919.0,-51017528139.0,-67881320205.0,-82130098178.0,-98185565424.0
Chi phí lãi vay,Interest expenses,interest_expenses,-39888433714.0,-20518629626.0,-21101389030.0,-18773589085.0,-9234767876.0,-20188994945.0,-40480489627.0,-49464908341.0
Chi phí bán hàng,Selling expenses,selling_expenses,-366293008066.0,-347899453400.0,-267776629376.0,-318162074032.0,-303043803506.0,-165424975517.0,-127153281621.0,-112775354088.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-136260886450.0,-94522930660.0,-71901263344.0,-77030507250.0,-65133158428.0,-62018637199.0,-61437000824.0,-54100577742.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,150395648134.0,302053939538.0,306964633769.0,385315964433.0,365120013170.0,322095931413.0,312396011531.0,177258231113.0
Thu nhập khác,Other incomes,other_incomes,449234913.0,259669637.0,301545298.0,1403365065.0,38326994.0,67702115.0,794040729.0,4472620194.0
Chi phí khác,Other expenses,other_expenses,-814483173.0,-1792387865.0,-199021286.0,-258694051.0,-1036198119.0,-1635875082.0,-36428911.0,-4275298823.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-365248260.0,-1532718228.0,102524012.0,1144671014.0,-997871125.0,-1568172967.0,757611818.0,197321371.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,150030399874.0,300521221310.0,307067157781.0,386460635447.0,364122142045.0,320527758446.0,313153623349.0,177455552484.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-31540434684.0,-59704174792.0,-60732725023.0,-79275958191.0,-73293845559.0,-64210980293.0,-62627181199.0,-36506599336.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-31540434684.0,-59704174792.0,-60732725023.0,-79275958191.0,-73293845559.0,-64210980293.0,-62627181199.0,-36506599336.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,118489965190.0,240817046518.0,246334432758.0,307184677256.0,290828296486.0,256316778153.0,250526442150.0,140948953148.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,118489965190.0,240817046518.0,246334432758.0,307184677256.0,290828296486.0,256316778153.0,250526442150.0,140948953148.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,767.0,1559.0,2074.0,2323.0,2448.0,2158.0,2109.0,1187.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,2448.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
