item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,5916855233.0,3571276701.0,8798071703.0,60238137242.0,74959981804.0,77912065587.0,369159685107.0,162654317803.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,-2746873082.0,0.0
Doanh thu thuần,Net sales,net_sales,5916855233.0,3571276701.0,8798071703.0,60238137242.0,74959981804.0,77912065587.0,366412812025.0,162654317803.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-14142259797.0,-7391918399.0,-6929339211.0,-7049548702.0,-37866673490.0,-56640238648.0,-300002299825.0,-79895926846.0
Lợi nhuận gộp,Gross Profit,gross_profit,-8225404564.0,-3820641698.0,1868732492.0,53188588540.0,37093308314.0,21271826939.0,66410512200.0,82758390957.0
Doanh thu hoạt động tài chính,Financial income,financial_income,172031359142.0,47764552499.0,35472176802.0,37781982693.0,11566995634.0,8694755604.0,742416716.0,5638827298.0
Chi phí tài chính,Financial expenses,financial_expenses,-132442309526.0,-221309962413.0,-126137110050.0,-93336307523.0,-54301267388.0,-24250804927.0,-31567732023.0,-20187342494.0
Chi phí lãi vay,Interest expenses,interest_expenses,-128137165161.0,-127761273511.0,-108602374854.0,-78132356123.0,-49650434754.0,-20386012718.0,-28319029947.0,-24405268814.0
Chi phí bán hàng,Selling expenses,selling_expenses,0.0,0.0,-299312342.0,0.0,-1521129786.0,-5222481643.0,-28132128899.0,-46300906839.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-16937624474.0,-21951075961.0,-23991917737.0,-22547018091.0,-9719199523.0,-27671683509.0,-17889569636.0,-25603491397.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,41297342100.0,-188707862712.0,-96166993908.0,9418288723.0,37859515372.0,47128158866.0,63419799484.0,73184561101.0
Thu nhập khác,Other incomes,other_incomes,438490357.0,10181016.0,681993049.0,279415621.0,251531564.0,941561667.0,3102318209.0,48123653.0
Chi phí khác,Other expenses,other_expenses,-2715115748.0,-4009175489.0,-3844385830.0,5046099319.0,-18687670464.0,-2012539429.0,-1747559145.0,-3140164204.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-2276625391.0,-3998994473.0,-3162392781.0,5325514940.0,-18436138900.0,-1070977762.0,1354759064.0,-3092040551.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,39020716709.0,-192706857185.0,-99329386689.0,14743803663.0,19423376472.0,46057181104.0,64774558548.0,70092520550.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-29357571302.0,-3657666477.0,-1383072901.0,-15218323081.0,-6179942395.0,4867199350.0,-7570771729.0,-6740491743.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,7101923749.0,-7001363778.0,-3091166961.0,1165667356.0,0.0,8298896.0,-2513110942.0,2922977931.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-22255647553.0,-10659030255.0,-4474239862.0,-14052655725.0,-6179942395.0,4875498246.0,-10083882671.0,-3817513812.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,16765069156.0,-203365887440.0,-103803626551.0,691147938.0,13243434077.0,50932679350.0,54690675877.0,66275006738.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,1119919580.0,-202976457.0,-53323885.0,624997058.0,-6681236.0,-27860454.0,-2824192.0,525058019.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,15645149576.0,-203162910983.0,-103750302666.0,66150880.0,13250115313.0,50960539804.0,54693500069.0,65749948719.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,126.0,-1635.0,-835.0,1.0,220.0,717.0,763.0,992.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,126.0,0.0,0.0,1.0,220.0,717.0,763.0,951.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,26871321522.0,10609264861.0,16920436927.0,34331043104.0,54740808121.0,74306546402.0,73856301126.0,76879083576.0
