item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,12754776082592.0,12839301284671.0,11830033488478.0,10769902148670.0,13059307162962.0,12768778189832.0,12584361969826.0,11498922699071.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,12754776082592.0,12839301284671.0,11830033488478.0,10769902148670.0,13059307162962.0,12768778189832.0,12584361969826.0,11498922699071.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-11617440174228.0,-11611330946505.0,-10595351764607.0,-9438649098509.0,-11571698306466.0,-11021487992022.0,-10833202234462.0,-9557335156474.0
Lợi nhuận gộp,Gross Profit,gross_profit,1137335908364.0,1227970338166.0,1234681723871.0,1331253050161.0,1487608856496.0,1747290197810.0,1751159735364.0,1941587542597.0
Doanh thu hoạt động tài chính,Financial income,financial_income,199990043255.0,227943014945.0,228488433692.0,362991102761.0,421621115613.0,279236708110.0,46773611905.0,26549529742.0
Chi phí tài chính,Financial expenses,financial_expenses,-183200092833.0,-315466421080.0,-471341200805.0,-515579719862.0,-718026280932.0,-1010718231362.0,-917121632382.0,-1168358031777.0
Chi phí lãi vay,Interest expenses,interest_expenses,-155917724245.0,-219998428909.0,-371501457645.0,-362884730754.0,-381297834324.0,-511976325877.0,-656730884623.0,-767045391538.0
Chi phí bán hàng,Selling expenses,selling_expenses,-93443343.0,-420932768.0,-2218711007.0,-2370156654.0,-2579519376.0,-2197216586.0,-2894025005.0,-2498619271.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-447056615731.0,-394732190521.0,-376243287375.0,-313166442997.0,-300424274544.0,-304733502381.0,-294122390114.0,-218110171379.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,706975799712.0,745293808742.0,613366958376.0,863127833409.0,888199897257.0,708877955591.0,583795299768.0,579170249912.0
Thu nhập khác,Other incomes,other_incomes,9236978890.0,22295256031.0,4861617393.0,3092443024.0,80241228229.0,1430435496.0,23728438048.0,12897948883.0
Chi phí khác,Other expenses,other_expenses,-3306139324.0,-16927158354.0,-2881134406.0,-8159014707.0,-3642547150.0,-11731429118.0,-7597350583.0,-8439724627.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,5930839566.0,5368097677.0,1980482987.0,-5066571683.0,76598681079.0,-10300993622.0,16131087465.0,4458224256.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,712906639278.0,750661906419.0,615347441363.0,858061261726.0,964798578336.0,698576961969.0,599926387233.0,583628474168.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-58010760305.0,-60185404628.0,-75336615002.0,-79334316477.0,-65869644398.0,-185597469924.0,-147397969271.0,-46820100682.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,165962648.0,-1268616141.0,0.0,0.0,8341875242.0,73085802832.0,110434894390.0,-73867428541.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-57844797657.0,-61454020769.0,-75336615002.0,-79334316477.0,-57527769156.0,-112511667092.0,-36963074881.0,-120687529223.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,655061841621.0,689207885650.0,540010826361.0,778726945249.0,907270809180.0,586065294877.0,562963312352.0,462940944945.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,104965654.0,-2110436206.0,-891440763.0,276899606.0,-1175713444.0,76035545246.0,1463465093.0,-35719477607.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,654956875967.0,691318321856.0,540902267124.0,778450045643.0,908446522624.0,510029749631.0,561499847259.0,498660422552.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,959.0,1013.0,792.0,1140.0,1336.0,750.0,826.0,733.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
