item,item_en,item_id,2025,2024,2023,2022,2021
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,1452762828308.0,1580015291142.0,1482341922333.0,1180074552995.0,1051439125647.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-1860735316.0,-46032000.0,-622238801.0,-1123380440.0,-2519420060.0
Doanh thu thuần,Net sales,net_sales,1450902092992.0,1579969259142.0,1481719683532.0,1178951172555.0,1048919705587.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-1311030439841.0,-1439371590106.0,-1323480020325.0,-1013761838164.0,-926331284564.0
Lợi nhuận gộp,Gross Profit,gross_profit,139871653151.0,140597669036.0,158239663207.0,165189334391.0,122588421023.0
Doanh thu hoạt động tài chính,Financial income,financial_income,1557828047.0,4592777323.0,6130105302.0,2961052513.0,1465269729.0
Chi phí tài chính,Financial expenses,financial_expenses,-42430767006.0,-47700455832.0,-58874378815.0,-44120167623.0,-32701744125.0
Chi phí lãi vay,Interest expenses,interest_expenses,-42430767006.0,-47700455832.0,-58596999362.0,-42424903383.0,-31767767537.0
Chi phí bán hàng,Selling expenses,selling_expenses,-6938542677.0,-11254728685.0,-25672546257.0,-31921668329.0,-16415334625.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-41911862582.0,-28419639298.0,-30829595637.0,-28720817891.0,-22710744974.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,50148308933.0,57815622544.0,48993247800.0,63387733061.0,52225867028.0
Thu nhập khác,Other incomes,other_incomes,138724998.0,764986315.0,655912019.0,555193282.0,3612953410.0
Chi phí khác,Other expenses,other_expenses,-3268725659.0,-3179149538.0,-152891592.0,-239865095.0,-1391946855.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-3130000661.0,-2414163223.0,503020427.0,315328187.0,2221006555.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,47018308272.0,55401459321.0,49496268227.0,63703061248.0,54446873583.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-7062555153.0,-7526574665.0,-6333919392.0,-9287830303.0,-4305981822.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,0.0,0.0,0.0,0.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-7062555153.0,-7526574665.0,-6333919392.0,-9287830303.0,-4305981822.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,39955753119.0,47874884656.0,43162348835.0,54415230945.0,50140891761.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,0.0,0.0,0.0,0.0,0.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,39955753119.0,47874884656.0,43162348835.0,54415230945.0,50140891761.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,921.0,1119.0,1211.0,1648.0,2279.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,921.0,1119.0,1211.0,1648.0,2279.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0
