item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,4490024427662.0,4795471317826.0,3724825944342.0,5555817962463.0,10131420687101.0,2898850191353.0,5814792550202.0,4645499698895.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-298139253768.0,0.0,0.0,-44102810269.0,-42035949263.0,-8196307626.0,-1214818184.0,-181136363.0
Doanh thu thuần,Net sales,net_sales,4191885173894.0,4795471317826.0,3724825944342.0,5511715152194.0,10089384737838.0,2890653883727.0,5813577732018.0,4645318562532.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-1903346811036.0,-2489822897505.0,-2014444091532.0,-2541687160903.0,-4491591910436.0,-1016048215123.0,-2729975508597.0,-2030544378590.0
Lợi nhuận gộp,Gross Profit,gross_profit,2288538362858.0,2305648420321.0,1710381852810.0,2970027991291.0,5597792827402.0,1874605668604.0,3083602223421.0,2614774183942.0
Doanh thu hoạt động tài chính,Financial income,financial_income,151977660315.0,47770698279.0,409150647017.0,464365454289.0,352726616506.0,72635022559.0,270472044756.0,206731318326.0
Chi phí tài chính,Financial expenses,financial_expenses,-315354590162.0,-470094545225.0,-593252985005.0,-521090342619.0,-543611625605.0,-858283502622.0,-209031029465.0,-190754523920.0
Chi phí lãi vay,Interest expenses,interest_expenses,-288260271286.0,-420300072166.0,-536714234843.0,-462171780556.0,-467967195740.0,-308766244179.0,-198518758945.0,-162515347183.0
Chi phí bán hàng,Selling expenses,selling_expenses,-817897350912.0,-734577364641.0,-585675082461.0,-1056802243719.0,-1887483177447.0,-488535848176.0,-483126308561.0,-433804796676.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-598276169102.0,-430767842398.0,-390860153660.0,-1083002678333.0,-997632206311.0,-594046060241.0,-501464017669.0,-345927634999.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,708780860598.0,679558263110.0,437362156881.0,775132911543.0,2522117470989.0,-4209035677.0,2309789414723.0,2107285530938.0
Thu nhập khác,Other incomes,other_incomes,87931142045.0,140092198937.0,108335337626.0,72189584218.0,70053075590.0,109570449983.0,125728345714.0,21208505992.0
Chi phí khác,Other expenses,other_expenses,-72303526102.0,-89404813087.0,-92544416700.0,-79504795496.0,-76151228264.0,-78471133521.0,-47004000462.0,-26709544872.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,15627615943.0,50687385850.0,15790920926.0,-7315211278.0,-6098152674.0,31099316462.0,78724345252.0,-5501038880.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,724408476541.0,730245648960.0,453153077807.0,767817700265.0,2516019318315.0,26890280785.0,2388513759975.0,2101784492058.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-227618738009.0,-169251445590.0,-171914882384.0,-275208141014.0,-849225776906.0,-349838023653.0,-505980349738.0,-381773261869.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,98033264950.0,-107566099569.0,-130998156825.0,41097108857.0,-71737236074.0,148878066733.0,3685247085.0,2783512358.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-129585473059.0,-276817545159.0,-302913039209.0,-234111032157.0,-920963012980.0,-200959956920.0,-502295102653.0,-378989749511.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,594823003482.0,453428103801.0,150240038598.0,533706668108.0,1595056305335.0,-174069676135.0,1886218657322.0,1722794742547.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,363941990827.0,197493101996.0,-21743250633.0,318837477882.0,437795977004.0,321675716089.0,669703901400.0,544367757284.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,230881012655.0,255935001805.0,171983289231.0,214869190226.0,1157260328331.0,-495745392224.0,1216514755922.0,1178426985263.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,214.0,352.0,273.0,355.0,1942.0,-957.0,2672.0,3427.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,214.0,352.0,273.0,359.0,1931.0,-913.0,2653.0,3427.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,-207052399.0,-38421103226.0,-112382121820.0,1634730634.0,325036444.0,-10584315801.0,149336502241.0,256266984265.0
