item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,3966804027163.0,2609745694557.0,1997404377548.0,4140392579342.0,4370953925441.0,3256082866956.0,4091947786098.0,2479333720204.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-505514308.0,-171858947836.0,0.0,-44102810269.0,-42147770528.0,-6870425242.0,-1214818184.0,-181136363.0
Doanh thu thuần,Net sales,net_sales,3966298512855.0,2437886746721.0,1997404377548.0,4096289769073.0,4328806154913.0,3249212441714.0,4090732967914.0,2479152583841.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-2252520038599.0,-1259975327160.0,-1287102210270.0,-1767542915787.0,-1667462508756.0,-912937070795.0,-1413486197625.0,-617985899140.0
Lợi nhuận gộp,Gross Profit,gross_profit,1713778474256.0,1177911419561.0,710302167278.0,2328746853286.0,2661343646157.0,2336275370919.0,2677246770289.0,1861166684701.0
Doanh thu hoạt động tài chính,Financial income,financial_income,38737547943.0,31380199206.0,47665734279.0,54745468416.0,49521699846.0,34325077964.0,127240317654.0,6260313002.0
Chi phí tài chính,Financial expenses,financial_expenses,-103682463821.0,-102609363505.0,-134239550690.0,-148127588351.0,-79373792219.0,-46411605105.0,-32941742365.0,-19332756153.0
Chi phí lãi vay,Interest expenses,interest_expenses,-96217032272.0,-97857939660.0,-126397721563.0,-125203855484.0,-77053586524.0,-45138141049.0,-32880835365.0,-19332756153.0
Chi phí bán hàng,Selling expenses,selling_expenses,-640230300877.0,-443420829768.0,-325472011043.0,-955267186030.0,-689419343886.0,-485329088001.0,-435182318611.0,-330999672914.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-399374259320.0,-289973077947.0,-278366045981.0,-644594737749.0,-706172615429.0,-436563121900.0,-324584509342.0,-190120988756.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,610190121656.0,334728796888.0,-87253076525.0,635502809572.0,1235899594469.0,1402296633877.0,2011778517625.0,1326973579880.0
Thu nhập khác,Other incomes,other_incomes,85541583191.0,40997693209.0,37942281466.0,53021791210.0,33931152852.0,95445019089.0,73557726086.0,10299304895.0
Chi phí khác,Other expenses,other_expenses,-33366942311.0,-34394197119.0,-30226336280.0,-27573568506.0,-69773740002.0,-53577558022.0,-36864439302.0,-22802076958.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,52174640880.0,6603496090.0,7715945186.0,25448222704.0,-35842587150.0,41867461067.0,36693286784.0,-12502772063.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,662364762536.0,341332292978.0,-79537131339.0,660951032276.0,1200057007319.0,1444164094944.0,2048471804409.0,1314470807817.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-142977606513.0,-84575602133.0,-29952562262.0,-192954885555.0,-259901753348.0,-313628732003.0,-421029817752.0,-277070374928.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,4055196459.0,-8677381471.0,-50772218010.0,61944152873.0,-66692843972.0,5003122787.0,5502158408.0,3774066480.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-138922410054.0,-93252983604.0,-80724780272.0,-131010732682.0,-326594597320.0,-308625609216.0,-415527659344.0,-273296308448.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,523442352482.0,248079309374.0,-160261911611.0,529940299594.0,873462409999.0,1135538485728.0,1632944145065.0,1041174499369.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,171930157188.0,107408459617.0,7858180853.0,185411231952.0,334666878490.0,262287806786.0,571550667746.0,529928225420.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,351512195294.0,140670849757.0,-168120092464.0,344529067642.0,538795531509.0,873250678942.0,1061393477319.0,511246273949.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,589.0,236.0,-293.0,760.0,1103.0,2817.0,4289.0,8814.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,589.0,236.0,-293.0,760.0,1103.0,2817.0,4289.0,8814.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,961123475.0,-38559550659.0,-107143370368.0,0.0,0.0,0.0,0.0,0.0
