item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,62323850763.0,72619116292.0,79823730503.0,99558915276.0,118801174527.0,114445725003.0,170371851063.0,184770448665.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-326046888.0,0.0,-134444520.0,-369061650.0,-208859920.0,-228963820.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,61997803875.0,72619116292.0,79689285983.0,99189853626.0,118592314607.0,114216761183.0,170371851063.0,184770448665.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-36171432349.0,-43920919249.0,-51295484845.0,-66977769512.0,-87146236778.0,-96075519182.0,-117749776478.0,-129290391139.0
Lợi nhuận gộp,Gross Profit,gross_profit,25826371526.0,28698197043.0,28393801138.0,32212084114.0,31446077829.0,18141242001.0,52622074585.0,55480057526.0
Doanh thu hoạt động tài chính,Financial income,financial_income,13536930441.0,7983009831.0,7854171482.0,7721149915.0,8827921524.0,12466883798.0,1262185565.0,1082113405.0
Chi phí tài chính,Financial expenses,financial_expenses,-3021684494.0,-819587879.0,-1303501382.0,-2730619287.0,-3015459981.0,-190966159.0,-316021605.0,-21528488.0
Chi phí lãi vay,Interest expenses,interest_expenses,-575096032.0,-753571168.0,-1207700087.0,-1355164694.0,-1939249896.0,-210181824.0,-51712463.0,-21528488.0
Chi phí bán hàng,Selling expenses,selling_expenses,-13925410810.0,-13523252378.0,-13036706357.0,-15123618217.0,-13686138497.0,-13122387107.0,-27163090905.0,-30948521345.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-7550717396.0,-6125813889.0,-6609821808.0,-6597288958.0,-9008772079.0,-7864386348.0,-13338951396.0,-10570494495.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,14270540162.0,16708702576.0,14817295049.0,16028914801.0,14900798424.0,9332094672.0,13066196244.0,15021626603.0
Thu nhập khác,Other incomes,other_incomes,209092150.0,4552975.0,6634936.0,1355718804.0,47730076.0,19001067.0,29627741.0,5378.0
Chi phí khác,Other expenses,other_expenses,-37912409.0,-2372.0,-19428802.0,-53194488.0,-47156817.0,-61286061.0,-40260039.0,-312924.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,171179741.0,4550603.0,-12793866.0,1302524316.0,573259.0,-42284994.0,-10632298.0,-307546.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,14441719903.0,16713253179.0,14804501183.0,17331439117.0,14901371683.0,9289809678.0,13055563946.0,15021319057.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-2037777523.0,-1396594883.0,-1719104027.0,-2098293543.0,-1245559238.0,-1262087702.0,-2769076505.0,-2975770853.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,142219.0,853317.0,853316.0,-2040624.0,15471019.0,-15279247.0,0.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-2037635304.0,-1395741566.0,-1718250711.0,-2100334167.0,-1230088219.0,-1277366949.0,-2769076505.0,-2975770853.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,12404084599.0,15317511613.0,13086250472.0,15231104950.0,13671283464.0,8012442729.0,10286487441.0,12045548204.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,5213125969.0,5972291034.0,3204854778.0,3109607203.0,3325977671.0,-33868288.0,0.0,0.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,7190958630.0,9345220579.0,9881395694.0,12121497747.0,10345305793.0,8046311017.0,10286487441.0,12045548204.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,722.0,938.0,992.0,1216.0,1038.0,807.0,929.0,1088.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,722.0,938.0,992.0,1216.0,1038.0,807.0,929.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,-594949105.0,496149848.0,-480648024.0,547207234.0,337169628.0,-98291513.0,0.0,0.0
