item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,462031175937.0,469074237334.0,463642989019.0,591414524511.0,599686317334.0,571836632554.0,750844106558.0,886132002365.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,-4671412500.0,-126895200.0,-460922000.0,-77740455.0,-300159727.0,-1945309977.0
Doanh thu thuần,Net sales,net_sales,462031175937.0,469074237334.0,458971576519.0,591287629311.0,599225395334.0,571758892099.0,750543946831.0,884186692388.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-416623550170.0,-420429399543.0,-403697919841.0,-536052857428.0,-549179013719.0,-505625361128.0,-648448787850.0,-764615779221.0
Lợi nhuận gộp,Gross Profit,gross_profit,45407625767.0,48644837791.0,55273656678.0,55234771883.0,50046381615.0,66133530971.0,102095158981.0,119570913167.0
Doanh thu hoạt động tài chính,Financial income,financial_income,1124712075.0,1585323760.0,3529474348.0,2132463631.0,611622653.0,989717559.0,690878462.0,544575297.0
Chi phí tài chính,Financial expenses,financial_expenses,-1058631485.0,-21338479039.0,-11722854411.0,-9737645874.0,-9272260928.0,-10915639403.0,-16625377858.0,-24164050778.0
Chi phí lãi vay,Interest expenses,interest_expenses,0.0,-2509396125.0,-9783093083.0,-9186848177.0,-8961904225.0,-10814351359.0,-16349842933.0,-19439309659.0
Chi phí bán hàng,Selling expenses,selling_expenses,0.0,-664649479.0,-919041396.0,-1344597660.0,-1636263819.0,-2151172631.0,-3684688993.0,-3724667733.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-23197752500.0,-23698387907.0,-26021905668.0,-21680643673.0,-23833252263.0,-20045499365.0,-26392267613.0,-36276377895.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,22275953857.0,4528645126.0,20139329551.0,24604348307.0,15916227258.0,34010937131.0,56083702979.0,55950392058.0
Thu nhập khác,Other incomes,other_incomes,1481481480.0,208622939.0,305675972.0,1619738103.0,912686991.0,1728818459.0,2701873133.0,3566147428.0
Chi phí khác,Other expenses,other_expenses,-230876191.0,-1981625365.0,-77170249.0,-100557148.0,-262199132.0,-410313997.0,-1198181478.0,-11348696295.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,1250605289.0,-1773002426.0,228505723.0,1519180955.0,650487859.0,1318504462.0,1503691655.0,-7782548867.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,23526559146.0,2755642700.0,20367835274.0,26123529262.0,16566715117.0,35329441593.0,57587394634.0,48167843191.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-4755791682.0,-1750389398.0,-4715378673.0,-5227143277.0,-3209896167.0,-7460481970.0,-10143835018.0,-13208542607.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753129925.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-4755791682.0,-1750389398.0,-4715378673.0,-5227143277.0,-3209896167.0,-7460481970.0,-10143835018.0,-11455412682.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,18770767464.0,1005253302.0,15652456601.0,20896385985.0,13356818950.0,27868959623.0,47443559616.0,36712430509.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,-8609.0,-534273285.0,1414390572.0,132693791.0,284070373.0,-1269504896.0,4536843351.0,-244059851.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,18770776073.0,1539526587.0,14238066029.0,20763692194.0,13072748577.0,29138464519.0,42906716265.0,36956490360.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,365.0,31.0,344.0,414.0,260.0,640.0,941.0,812.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,365.0,31.0,344.0,414.0,260.0,640.0,941.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
