item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,128755459253.0,69910645359.0,168078229770.0,366506857016.0,232838477859.0,149610772639.0,282503699380.0,243003801180.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,128755459253.0,69910645359.0,168078229770.0,366506857016.0,232838477859.0,149610772639.0,282503699380.0,243003801180.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-61121168875.0,-24519231756.0,-74162683790.0,-129903728370.0,-80234670846.0,-38090609541.0,-135813098245.0,-144837385338.0
Lợi nhuận gộp,Gross Profit,gross_profit,67634290378.0,45391413603.0,93915545980.0,236603128646.0,152603807013.0,111520163098.0,146690601135.0,98166415842.0
Doanh thu hoạt động tài chính,Financial income,financial_income,162384174.0,41991518.0,12547943142.0,4804515174.0,9902642.0,20828964.0,6334037.0,29002473.0
Chi phí tài chính,Financial expenses,financial_expenses,-27280089947.0,-38757465692.0,-51775039153.0,-30211437273.0,-12172221477.0,-3106838327.0,-1005255855.0,-1945924786.0
Chi phí lãi vay,Interest expenses,interest_expenses,-27280089947.0,-38622339138.0,-47517965707.0,-27506267561.0,-5312324484.0,-3106838327.0,-1005255855.0,-1476121930.0
Chi phí bán hàng,Selling expenses,selling_expenses,-802443663.0,-1562435539.0,-11377783179.0,-44365633372.0,-42051951049.0,-30403310952.0,-1253566008.0,-14155689419.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-9486813696.0,-21940845584.0,-16689005040.0,-26662909592.0,-18030801008.0,-31093748977.0,-28042971056.0,-38894588172.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,30540322309.0,-16787728427.0,26621661750.0,140167663583.0,80358736121.0,46937093806.0,116395142253.0,43199215938.0
Thu nhập khác,Other incomes,other_incomes,94839006.0,387.0,1000000.0,645454545.0,1000050693.0,1079486698.0,4063855616.0,73531718185.0
Chi phí khác,Other expenses,other_expenses,-2959749169.0,-257896787.0,-5213732917.0,-5704524897.0,-7460823063.0,-4000166589.0,-6618273695.0,-6720949221.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-2864910163.0,-257896400.0,-5212732917.0,-5059070352.0,-6460772370.0,-2920679891.0,-2554418079.0,66810768964.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,27675412146.0,-17045624827.0,21408928833.0,135108593231.0,73897963751.0,44016413915.0,113840724174.0,110009984902.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-8826102119.0,-5114329085.0,-7440387967.0,-27340727478.0,-13460802395.0,-7133210985.0,-24397511783.0,-22137810202.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,-614010.0,-241522851.0,0.0,0.0,0.0,-11000000.0,0.0,-1000000.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-8826716129.0,-5355851936.0,-7440387967.0,-27340727478.0,-13460802395.0,-7144210985.0,-24397511783.0,-22138810202.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,18848696017.0,-22401476763.0,13968540866.0,107767865753.0,60437161356.0,36872202930.0,89443212391.0,87871174700.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,-578600.0,-1354535.0,0.0,270341.0,-56252862.0,-142743549.0,349375102.0,-17521114.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,18849274617.0,-22400122228.0,13968540866.0,107767595412.0,60493414218.0,37014946479.0,89093837289.0,87888695814.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,289.0,-348.0,115.0,2584.0,2237.0,1216.0,6854.0,0.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,289.0,0.0,115.0,2584.0,2365.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,312995063.0,39613267.0,0.0,0.0,0.0,0.0,0.0,0.0
