item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,333869816381.0,336789909965.0,313867666225.0,401582500817.0,340145626776.0,402975121341.0,345633977802.0,392848907745.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-1038531296.0,-1152976614.0,-2871408257.0,-1819825566.0,-1516244078.0,-2570296197.0,-3788043414.0,-3014676675.0
Doanh thu thuần,Net sales,net_sales,332831285085.0,335636933351.0,310996257968.0,399762675251.0,338629382698.0,400404825144.0,341845934388.0,389834231070.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-192932550028.0,-209454829816.0,-220756327042.0,-266593722324.0,-237385555678.0,-275640723125.0,-229849409196.0,-250106307122.0
Lợi nhuận gộp,Gross Profit,gross_profit,139898735057.0,126182103535.0,90239930926.0,133168952927.0,101243827020.0,124764102019.0,111996525192.0,139727923948.0
Doanh thu hoạt động tài chính,Financial income,financial_income,9321304810.0,9150870599.0,10387526365.0,15421752561.0,16560470109.0,17209838910.0,14260133729.0,12458354997.0
Chi phí tài chính,Financial expenses,financial_expenses,-11597280192.0,-10207517787.0,-10321811088.0,-9871746624.0,-3519005167.0,-4222077016.0,-1423290016.0,-3150327660.0
Chi phí lãi vay,Interest expenses,interest_expenses,-7128472558.0,-6011840256.0,-3177875378.0,-1746451339.0,-950735950.0,-764259528.0,-632547202.0,-206966592.0
Chi phí bán hàng,Selling expenses,selling_expenses,-13556955415.0,-17057212748.0,-17249650459.0,-18038802215.0,-14748419315.0,-18463050825.0,-16978182425.0,-16923181608.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-27491783392.0,-37783335132.0,-27624956562.0,-32557754127.0,-23006786668.0,-19711407867.0,-15502150901.0,-20786250179.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,96574020868.0,70284908467.0,45431039182.0,88122402522.0,76530085979.0,99577405221.0,92353035579.0,111326519498.0
Thu nhập khác,Other incomes,other_incomes,1328251504.0,986309952.0,614251365.0,369680722.0,1926958818.0,544729910.0,539897933.0,1206205853.0
Chi phí khác,Other expenses,other_expenses,-4903816693.0,-424782512.0,-8757573.0,-1535170116.0,-2116486575.0,-36908091.0,-143782600.0,-163599280.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-3575565189.0,561527440.0,605493792.0,-1165489394.0,-189527757.0,507821819.0,396115333.0,1042606573.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,92998455679.0,70846435907.0,46036532974.0,86956913128.0,76340558222.0,100085227040.0,92749150912.0,112369126071.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-20442054689.0,-15952509129.0,-9344201283.0,-17642030850.0,-15529372593.0,-20059520400.0,-18524886711.0,-22712230906.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,947940060.0,0.0,0.0,-44656275.0,-25171435.0,-48733534.0,-3418059.0,47818943.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-19494114629.0,-15952509129.0,-9344201283.0,-17686687125.0,-15554544028.0,-20108253934.0,-18528304770.0,-22664411963.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,73504341050.0,54893926778.0,36692331691.0,69270226003.0,60786014194.0,79976973106.0,74220846142.0,89704714108.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,73504341050.0,54893926778.0,36692331691.0,69270226003.0,60786014194.0,79976973106.0,74220846142.0,89704714108.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,2927.0,2167.0,1452.0,3154.0,3034.0,4584.0,4276.0,5492.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,2167.0,1452.0,3154.0,3034.0,4584.0,4276.0,5492.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
