item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,2998867342581.0,2325314422750.0,2163456147696.0,2093232835402.0,1381118770011.0,1494522681791.0,1159374278952.0,559488474875.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,0.0,0.0,-1199328000.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,2998867342581.0,2325314422750.0,2163456147696.0,2093232835402.0,1381118770011.0,1493323353791.0,1159374278952.0,559488474875.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-1284499646212.0,-1252130796010.0,-1042528569954.0,-1081833401633.0,-613939972394.0,-732667176739.0,-509711047062.0,-253487961656.0
Lợi nhuận gộp,Gross Profit,gross_profit,1714367696369.0,1073183626740.0,1120927577742.0,1011399433769.0,767178797617.0,760656177052.0,649663231890.0,306000513219.0
Doanh thu hoạt động tài chính,Financial income,financial_income,141973185102.0,38028122572.0,100599754753.0,213920427160.0,37462828457.0,30534655288.0,24241133071.0,19454754655.0
Chi phí tài chính,Financial expenses,financial_expenses,-683259056290.0,-801100868886.0,-870734223835.0,-657088144981.0,-408629277678.0,-371239616425.0,-257818850423.0,-41137903234.0
Chi phí lãi vay,Interest expenses,interest_expenses,-664973670829.0,-785725023247.0,-841733441926.0,-591825481199.0,-383781656592.0,-354411197128.0,-244931515892.0,-40157402594.0
Chi phí bán hàng,Selling expenses,selling_expenses,0.0,-25000000.0,-985267357.0,-379174918.0,-471454958.0,-1699625268.0,-624900198.0,-588486215.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-200053742755.0,-135489654026.0,-158479036896.0,-160341431872.0,-113864130849.0,-114323940038.0,-111170664590.0,-76636113903.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,978015058883.0,179963344399.0,196539183844.0,420339076421.0,287998759513.0,303927650609.0,304289949750.0,207092764522.0
Thu nhập khác,Other incomes,other_incomes,2464065959.0,4866550788.0,5140742377.0,597421797.0,90906719725.0,5833789856.0,972920848.0,2423137964.0
Chi phí khác,Other expenses,other_expenses,-1814529453.0,-3299299015.0,-6666182497.0,-14170122935.0,-10189812148.0,-1175195994.0,-1315105672.0,-2577130502.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,649536506.0,1567251773.0,-1525440120.0,-13572701138.0,80716907577.0,4658593862.0,-342184824.0,-153992538.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,978664595389.0,181530596172.0,195013743724.0,406766375283.0,368715667090.0,308586244471.0,303947764926.0,206938771984.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-71152947253.0,-55371388939.0,-46864367463.0,-41127952128.0,-44652211054.0,-14128972505.0,-13686317528.0,-20639269039.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,39267204984.0,-34085817151.0,-4825429149.0,4941157006.0,1370338666.0,505583285.0,254299999.0,967227728.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-31885742269.0,-89457206090.0,-51689796612.0,-36186795122.0,-43281872388.0,-13623389220.0,-13432017529.0,-19672041311.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,946778853120.0,92073390082.0,143323947112.0,370579580161.0,325433794702.0,294962855251.0,290515747397.0,187266730673.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,238257041320.0,-22749638463.0,6080272840.0,54886172244.0,42602257262.0,37607443073.0,39515763599.0,42573505503.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,708521811800.0,114823028545.0,137243674272.0,315693407917.0,282831537440.0,257355412178.0,250999983798.0,144693225170.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,1738.0,174.0,214.0,880.0,880.0,1029.0,1146.0,1078.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,1738.0,174.0,214.0,855.0,880.0,1029.0,1146.0,1121.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,4986976457.0,5367117999.0,5210379437.0,12827967263.0,6321996924.0,0.0,0.0,0.0
