item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,422741104828.0,188489137588.0,105270958156.0,593836131184.0,168162339604.0,91602518671.0,91509671511.0,130448875182.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,-18562500.0,-43563000.0,0.0,-28459000.0,-34000000.0
Doanh thu thuần,Net sales,net_sales,422741104828.0,188489137588.0,105270958156.0,593817568684.0,168118776604.0,91602518671.0,91481212511.0,130414875182.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-348628238011.0,-149977702988.0,-71112069623.0,-547628440862.0,-120933500954.0,-52207768210.0,-57101774237.0,-87294481125.0
Lợi nhuận gộp,Gross Profit,gross_profit,74112866817.0,38511434600.0,34158888533.0,46189127822.0,47185275650.0,39394750461.0,34379438274.0,43120394057.0
Doanh thu hoạt động tài chính,Financial income,financial_income,555507876.0,2899847524.0,7247788675.0,4342037803.0,57708204633.0,1349848102.0,2087015914.0,1559466366.0
Chi phí tài chính,Financial expenses,financial_expenses,-3833185118.0,-1930887341.0,-571446881.0,-744346065.0,-962754659.0,-483718182.0,-333909782.0,-258917918.0
Chi phí lãi vay,Interest expenses,interest_expenses,-2979977448.0,-564130361.0,-239877200.0,-581245097.0,-562874147.0,-286151909.0,-246548610.0,-201656654.0
Chi phí bán hàng,Selling expenses,selling_expenses,-25321072121.0,-19593373170.0,-14848377446.0,-11145493150.0,-16775929296.0,-10952379039.0,-12018196180.0,-13089129886.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-16272471418.0,-10278088786.0,-12679485273.0,-13743957470.0,-14012941828.0,-7866330271.0,-9036581174.0,-9514305255.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,29241646036.0,9608932827.0,13307367608.0,24897368940.0,73141854500.0,21442171071.0,15077767052.0,21817507364.0
Thu nhập khác,Other incomes,other_incomes,1270505847.0,24319815.0,331135048.0,15914834.0,267588981.0,27452465.0,8281082.0,6637483.0
Chi phí khác,Other expenses,other_expenses,-408184007.0,-177550584.0,-183816138.0,-761171786.0,-97494500.0,-169482875.0,-162491803.0,-154196125.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,862321840.0,-153230769.0,147318910.0,-745256952.0,170094481.0,-142030410.0,-154210721.0,-147558642.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,30103967876.0,9455702058.0,13454686518.0,24152111988.0,73311948981.0,21300140661.0,14923556331.0,21669948722.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-6059850261.0,-2231464871.0,-2829572033.0,-4344304027.0,-14592511559.0,-3036474827.0,-2869939538.0,-4403411874.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,6061400.0,-2105001.0,4877207.0,-462678500.0,375375843.0,0.0,-41162000.0,-783750.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-6053788861.0,-2233569872.0,-2824694826.0,-4806982527.0,-14217135716.0,-3036474827.0,-2911101538.0,-4404195624.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,24050179015.0,7222132186.0,10629991692.0,19345129461.0,59094813265.0,18263665834.0,12012454793.0,17265753098.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,1811704585.0,397993712.0,292773437.0,3100134949.0,1023462827.0,1383616084.0,194670830.0,1747094897.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,22238474430.0,6824138474.0,10337218255.0,16244994512.0,58071350438.0,16880049750.0,11817783963.0,15518658201.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,2294.0,724.0,883.0,1998.0,6995.0,2076.0,1453.0,1909.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,1998.0,6995.0,2076.0,1453.0,1909.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
