item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,7484526405000.0,5894531814000.0,6492569736000.0,5197982826000.0,2187415636000.0,3189964886000.0,2091833174000.0,5388200400000.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-52252163000.0,-111481812000.0,-50172537000.0,-87200939000.0,-89997270000.0,-13318930000.0,-16389150000.0,0.0
Doanh thu thuần,Net sales,net_sales,7432274242000.0,5783050002000.0,6442397199000.0,5110781887000.0,2097418366000.0,3176645956000.0,2075444024000.0,5388200400000.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-4726829019000.0,-3611137012000.0,-5148941719000.0,-3937380869000.0,-1590448139000.0,-2970915613000.0,-1847659651000.0,-3013495226000.0
Lợi nhuận gộp,Gross Profit,gross_profit,2705445223000.0,2171912990000.0,1293455480000.0,1173401018000.0,506970227000.0,205730343000.0,227784373000.0,2374705174000.0
Doanh thu hoạt động tài chính,Financial income,financial_income,295376240000.0,280428437000.0,602752483000.0,486143713000.0,735078612000.0,1287363665000.0,2137143442000.0,1404799179000.0
Chi phí tài chính,Financial expenses,financial_expenses,284396200000.0,-688075391000.0,215432853000.0,-1649147246000.0,-1090293038000.0,-1318161483000.0,-1963934151000.0,-1721684164000.0
Chi phí lãi vay,Interest expenses,interest_expenses,-742062782000.0,-716094685000.0,270599417000.0,-793176972000.0,-971878185000.0,-1253570666000.0,-1263369664000.0,-1532928450000.0
Chi phí bán hàng,Selling expenses,selling_expenses,-452887383000.0,-396487002000.0,-255058076000.0,-251938809000.0,-129287166000.0,-354584206000.0,-308856859000.0,-192446215000.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-159239442000.0,-165284639000.0,-155100623000.0,1349894514000.0,174279229000.0,-1851240106000.0,-772469582000.0,-989336089000.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,2673261788000.0,1202494395000.0,1690412815000.0,1108353190000.0,190928104000.0,-2022124320000.0,-667770430000.0,940878373000.0
Thu nhập khác,Other incomes,other_incomes,19366185000.0,35942854000.0,281127775000.0,35975907000.0,79670972000.0,98148465000.0,42577126000.0,21546363000.0
Chi phí khác,Other expenses,other_expenses,-490993445000.0,-215615117000.0,-178663887000.0,-116111269000.0,-401205709000.0,-427484407000.0,-1380140330000.0,-914727898000.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-471627260000.0,-179672263000.0,102463888000.0,-80135362000.0,-321534737000.0,-329335942000.0,-1337563204000.0,-893181535000.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,2201634528000.0,1022822132000.0,1792876703000.0,1028217828000.0,-130606633000.0,-2351460262000.0,-2005333634000.0,47696838000.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,0.0,-922479000.0,-30945417000.0,-3649540000.0,-885768000.0,-3440989000.0,-2253490000.0,-2998375000.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,38516857000.0,38222168000.0,19754499000.0,100106552000.0,259098512000.0,-28438599000.0,98914750000.0,-38454058000.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,38516857000.0,37299689000.0,-11190918000.0,96457012000.0,258212744000.0,-31879588000.0,96661260000.0,-41452433000.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,2240151385000.0,1060121821000.0,1781685785000.0,1124674840000.0,127606111000.0,-2383339850000.0,-1908672374000.0,6244405000.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,117342613000.0,46688738000.0,117714832000.0,-4070556000.0,-75424050000.0,-1127678506000.0,-2025322017000.0,-111262364000.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,2122808772000.0,1013433083000.0,1663970953000.0,1128745396000.0,203030161000.0,-1255661344000.0,116649643000.0,117506769000.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,1910.0,997.0,1794.0,1217.0,219.0,-1354.0,126.0,127.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,1910.0,997.0,1794.0,1217.0,219.0,-1354.0,126.0,57.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,170950000.0,0.0,-11069302000.0,0.0,-5819760000.0,8767467000.0,12562347000.0,64840488000.0
