item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,318064048714.0,333313835572.0,278080140147.0,322823598533.0,359868807808.0,335640312750.0,341790174440.0,240430046731.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-38464449339.0,-58799186684.0,-63136135188.0,-79331491617.0,-91443243541.0,-74158020832.0,-49379501865.0,-11428301358.0
Doanh thu thuần,Net sales,net_sales,279599599375.0,274514648888.0,214944004959.0,243492106916.0,268425564267.0,261482291918.0,292410672575.0,229001745373.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-171588972895.0,-171682737830.0,-140971740970.0,-150642144826.0,-150506816235.0,-146970271049.0,-156465620974.0,-132986916175.0
Lợi nhuận gộp,Gross Profit,gross_profit,108010626480.0,102831911058.0,73972263989.0,92849962090.0,117918748032.0,114512020869.0,135945051601.0,96014829198.0
Doanh thu hoạt động tài chính,Financial income,financial_income,12437925909.0,659413173.0,294128902.0,167898663.0,217627091.0,56414770.0,19185509.0,17922484.0
Chi phí tài chính,Financial expenses,financial_expenses,-5072323172.0,-4138509066.0,-5722279438.0,-5455196012.0,-4491330351.0,-12636186375.0,-13307978249.0,-10015002604.0
Chi phí lãi vay,Interest expenses,interest_expenses,-5064546955.0,-4138509066.0,-5722279438.0,-5454932199.0,-4491330351.0,-5904252973.0,-5097033640.0,-3475564636.0
Chi phí bán hàng,Selling expenses,selling_expenses,-66484544637.0,-64112115409.0,-54224833493.0,-60964885301.0,-59532643492.0,-60099926006.0,-80969420738.0,-49090981282.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-21464723374.0,-18115202017.0,-29451430052.0,-21695519182.0,-19461049671.0,-28481390093.0,-19482898849.0,-15086820417.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,27426961206.0,17125497739.0,-15132150092.0,4902260258.0,34651351609.0,13350933165.0,22203939274.0,21839947379.0
Thu nhập khác,Other incomes,other_incomes,1040485141.0,1489312741.0,1036014219.0,636070324.0,596064065.0,208802544.0,218096398.0,206759906.0
Chi phí khác,Other expenses,other_expenses,-207517069.0,-300094317.0,-566791194.0,-512115592.0,-338173901.0,-451159382.0,-479785154.0,-264007735.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,832968072.0,1189218424.0,469223025.0,123954732.0,257890164.0,-242356838.0,-261688756.0,-57247829.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,28259929278.0,18314716163.0,-14662927067.0,5026214990.0,34909241773.0,13108576327.0,21942250518.0,21782699550.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-2808751388.0,-3391939401.0,0.0,-1525465702.0,-5788635801.0,-2491662153.0,-3896279449.0,-3310983663.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,1454670489.0,-1451895.0,-1405540156.0,-585544528.0,-649721640.0,0.0,64177112.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-1354080899.0,-3393391296.0,-1405540156.0,-2111010230.0,-6438357441.0,-2491662153.0,-3832102337.0,-3310983663.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,26905848379.0,14921324867.0,-16068467223.0,2915204760.0,28470884332.0,10616914174.0,18110148181.0,18471715887.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,2260571109.0,383266941.0,-2722014540.0,1766067600.0,2449512174.0,278491783.0,773452657.0,1079434788.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,24645277270.0,14538057926.0,-13346452683.0,1149137160.0,26021372158.0,10338422391.0,17336695524.0,17392281099.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,893.0,527.0,-484.0,57.0,2263.0,899.0,1508.0,1512.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,893.0,527.0,-484.0,57.0,2263.0,899.0,1077.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
