item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,456497816007.0,556262767958.0,666012382553.0,1303389521752.0,1410192324621.0,848756518000.0,824543665506.0,715923254111.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,-10034420565.0,-555000000.0,-5358598369.0,-57869693186.0,-9783926027.0,0.0,-662911637.0
Doanh thu thuần,Net sales,net_sales,456497816007.0,546228347393.0,665457382553.0,1298030923383.0,1352322631435.0,838972591973.0,824543665506.0,715260342474.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-359993018489.0,-325857076553.0,-367921426614.0,-818784812875.0,-866462591023.0,-464359357699.0,-585552700791.0,-539049834359.0
Lợi nhuận gộp,Gross Profit,gross_profit,96504797518.0,220371270840.0,297535955939.0,479246110508.0,485860040412.0,374613234274.0,238990964715.0,176210508115.0
Doanh thu hoạt động tài chính,Financial income,financial_income,865127238998.0,21832198074.0,6279966230.0,260011905366.0,5196313144.0,5579405780.0,7244184197.0,8169138386.0
Chi phí tài chính,Financial expenses,financial_expenses,-83012874712.0,-60315746249.0,-83905151817.0,-123802246601.0,-42326650168.0,-37729435989.0,-18145853537.0,-17904579087.0
Chi phí lãi vay,Interest expenses,interest_expenses,-80575927328.0,-55663445231.0,-83740323672.0,-82291218092.0,-41795454701.0,-37726535189.0,-16738492737.0,-17904740287.0
Chi phí bán hàng,Selling expenses,selling_expenses,-23478957217.0,-17514879255.0,-17284956789.0,-22989323571.0,-22738380107.0,-12704630813.0,-14441152274.0,-13189230875.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-80334048683.0,-39609690963.0,-40712717925.0,-47389532265.0,-40335190062.0,-40221354009.0,-34596868435.0,-33494776993.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,815091305902.0,129990282143.0,162960896605.0,537691417654.0,387094276625.0,289603024992.0,178293804326.0,120002829278.0
Thu nhập khác,Other incomes,other_incomes,2642809444.0,842752765.0,1104689247.0,2886076011.0,7056512542.0,1264501406.0,7236647375.0,10966432040.0
Chi phí khác,Other expenses,other_expenses,-4361804833.0,-41098654836.0,-240040449.0,-249906716.0,-3463483105.0,-2203358058.0,-1849475282.0,-266556434.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-1718995389.0,-40255902071.0,864648798.0,2636169295.0,3593029437.0,-938856652.0,5387172093.0,10699875606.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,813372310513.0,89734380072.0,163825545403.0,540327586949.0,390687306062.0,288664168340.0,183680976419.0,130702704884.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-171728803956.0,-25910624214.0,-35319528196.0,-119219954776.0,-80292997652.0,-57552012199.0,-37675970936.0,-24729552411.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,-415549050.0,3081206672.0,3466080837.0,-488309456.0,855042888.0,168350383.0,0.0,0.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-172144353006.0,-22829417542.0,-31853447359.0,-119708264232.0,-79437954764.0,-57383661816.0,-37675970936.0,-24729552411.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,641227957507.0,66904962530.0,131972098044.0,420619322717.0,311249351298.0,231280506524.0,146005005483.0,105973152473.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,2136878771.0,847859400.0,328646828.0,1252003783.0,1910045038.0,1124589542.0,1322117632.0,1329089277.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,639091078736.0,66057103130.0,131643451216.0,419367318934.0,309339306260.0,230155916982.0,144682887851.0,104644063196.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,3559.0,434.0,1079.0,4299.0,3721.0,3716.0,2656.0,2203.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,40285149998.0,5227129696.0,1047800967.0,-7385495783.0,1438143406.0,65805749.0,-757470340.0,211769732.0
