item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,2815579404629.0,2774708549033.0,2889383967575.0,3581190677660.0,3778411799998.0,4999229572070.0,4342940474716.0,3222455025537.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,-29038966240.0,-57095372177.0,0.0,0.0,-975656552.0,-651816635.0,-423515347.0,-1013487630.0
Doanh thu thuần,Net sales,net_sales,2786540438389.0,2717613176856.0,2889383967575.0,3581190677660.0,3777436143446.0,4998577755435.0,4342516959369.0,3221441537907.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-1040540088419.0,-1126925620303.0,-1166354221153.0,-1368819823994.0,-1457342438241.0,-2922132801729.0,-2514952079551.0,-1978731969741.0
Lợi nhuận gộp,Gross Profit,gross_profit,1746000349970.0,1590687556553.0,1723029746422.0,2212370853666.0,2320093705205.0,2076444953706.0,1827564879818.0,1242709568166.0
Doanh thu hoạt động tài chính,Financial income,financial_income,84760277670.0,60282726668.0,40301874302.0,83291140201.0,79605715651.0,45021144708.0,87416529688.0,54806912915.0
Chi phí tài chính,Financial expenses,financial_expenses,-443491747885.0,-369750510106.0,-569003134109.0,-517263975398.0,-408408687099.0,-370171307233.0,-235871643080.0,-116392910447.0
Chi phí lãi vay,Interest expenses,interest_expenses,-299780784516.0,-342746802894.0,-486557619793.0,-500688616629.0,-386784756824.0,-362157788933.0,-228017694844.0,-103465986204.0
Chi phí bán hàng,Selling expenses,selling_expenses,-10768755358.0,-4362534484.0,-14516125805.0,-4603697832.0,-118551129818.0,-14171057559.0,-52471268487.0,-68363540764.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-273920073365.0,-445962237770.0,-218473544853.0,-159148040047.0,-221869319144.0,-191846398930.0,-229393904104.0,-196747433373.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,1102580051032.0,830895000861.0,961338815957.0,1614646280590.0,1650870284795.0,1545277334692.0,1397244593835.0,916278850440.0
Thu nhập khác,Other incomes,other_incomes,3921390645.0,24528565147.0,20258275487.0,18384564537.0,24560799142.0,5259775730.0,15583681621.0,47984930441.0
Chi phí khác,Other expenses,other_expenses,-36039977109.0,-282568518897.0,-18208075549.0,-28609350079.0,-32399804686.0,-10077393068.0,-23072403541.0,-9775907005.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,-32118586464.0,-258039953750.0,2050199938.0,-10224785542.0,-7839005544.0,-4817617338.0,-7488721920.0,38209023436.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,1070461464568.0,572855047111.0,963389015895.0,1604421495048.0,1643031279251.0,1540459717354.0,1389755871915.0,954487873876.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-79456532867.0,-122178594698.0,-90926437029.0,-231281863203.0,-307915296694.0,-286593566484.0,-249488264950.0,-190080314134.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,2464056892.0,-3405398411.0,-6171216922.0,-11236230049.0,8557076320.0,-7818740.0,-23289630370.0,23150457486.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-76992475975.0,-125583993109.0,-97097653951.0,-242518093252.0,-299358220374.0,-286601385224.0,-272777895320.0,-166929856648.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,993468988593.0,447271054002.0,866291361944.0,1361903401796.0,1343673058877.0,1253858332130.0,1116977976595.0,787558017228.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,223078714417.0,98961174512.0,201213330853.0,266285362654.0,247175421153.0,274716622811.0,185290875333.0,154125488712.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,770390274176.0,348309879490.0,665078031091.0,1095618039142.0,1096497637724.0,979141709319.0,931687101262.0,633432528516.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,2082.0,941.0,2068.0,3605.0,4627.0,6158.0,7852.0,5499.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,2082.0,941.0,2068.0,3605.0,4434.0,5752.0,0.0,0.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266253943.0
