item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,sales,121756054171.0,107881252448.0,80380729810.0,83794836147.0,90715464872.0,100402470299.0,124204084108.0,124231510674.0
Các khoản giảm trừ doanh thu,Sales deductions,sales_deductions,0.0,0.0,0.0,-900000.0,0.0,0.0,0.0,0.0
Doanh thu thuần,Net sales,net_sales,121756054171.0,107881252448.0,80380729810.0,83793936147.0,90715464872.0,100402470299.0,124204084108.0,124231510674.0
Giá vốn hàng bán,Cost of sales,cost_of_sales,-101615452574.0,-87112460338.0,-68299177899.0,-73338491645.0,-75873966100.0,-86580789819.0,-105079278207.0,-110809451360.0
Lợi nhuận gộp,Gross Profit,gross_profit,20140601597.0,20768792110.0,12081551911.0,10455444502.0,14841498772.0,13821680480.0,19124805901.0,13422059314.0
Doanh thu hoạt động tài chính,Financial income,financial_income,26694795967.0,11119973618.0,2044648789.0,4592105309.0,11829060849.0,13825519065.0,6605859066.0,18776549507.0
Chi phí tài chính,Financial expenses,financial_expenses,-7474093340.0,-4524049311.0,-1039305681.0,-3815134769.0,-1385493668.0,-1983199234.0,-2865002197.0,-12567674064.0
Chi phí lãi vay,Interest expenses,interest_expenses,-172447794.0,-21129153.0,-556000001.0,-16897223.0,0.0,-20217948.0,-223257537.0,-499124683.0
Chi phí bán hàng,Selling expenses,selling_expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi phí quản lý doanh nghiệp,General and admin expenses,general_and_admin_expenses,-9020597729.0,-7138189787.0,-11627134524.0,-9329103337.0,-6981004587.0,-7431620625.0,-8841076933.0,-9568275484.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),operating_profit_loss,30340706495.0,20226526630.0,1450764580.0,1874449336.0,18304061366.0,18232379686.0,14024585837.0,12615775020.0
Thu nhập khác,Other incomes,other_incomes,608142577.0,737309986.0,5990057592.0,601279242.0,1177841669.0,825161451.0,446415310.0,1484702186.0
Chi phí khác,Other expenses,other_expenses,-56812003.0,-185334991.0,-1819397857.0,-339838420.0,-125491693.0,-112848724.0,-578134355.0,-100906989.0
"Thu nhập khác, ròng",Net other income/(expenses),net_other_income_expenses,551330574.0,551974995.0,4170659735.0,261440822.0,1052349976.0,712312727.0,-131719045.0,1383795197.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,income_from_investments_in_other_entities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,net_accounting_profit_loss_before_tax,30892037069.0,20778501625.0,5621424315.0,2135890158.0,19356411342.0,18944692413.0,13892866792.0,13999570217.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,business_income_tax_current,-4075802933.0,-3514289589.0,-1079799995.0,-124844046.0,-2445295145.0,-2288272724.0,-1948329211.0,-2558125973.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,business_income_tax_deferred,200917802.0,850227445.0,-615013872.0,-90106752.0,-116297229.0,40745052.0,-48773747.0,-15831269.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,corporate_income_tax_expenses,-3874885131.0,-2664062144.0,-1694813867.0,-214950798.0,-2561592374.0,-2247527672.0,-1997102958.0,-2573957242.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,net_profit_loss_after_tax,27017151938.0,18114439481.0,3926610448.0,1920939360.0,16794818968.0,16697164741.0,11895763834.0,11425612975.0
Lợi ích của cổ đông thiểu số,Minority interests,minority_interests,104877244.0,98367367.0,70911276.0,-41001268.0,31786652.0,40592402.0,104314669.0,85467750.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,attributable_to_parent_company,26912274694.0,18016072114.0,3855699172.0,1961940628.0,16763032316.0,16656572339.0,11791449165.0,11340145225.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),eps_basic_vnd,2050.0,1402.0,300.0,130.0,1174.0,1166.82,841.0,815.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),eps_diluted_vnd,0.0,1365.0,300.0,130.0,1174.0,1166.82,841.0,815.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),gain_loss_from_joint_ventures_from_2015,0.0,0.0,-8995915.0,-28862369.0,0.0,0.0,0.0,2553115747.0
